# Date : 2016-10-18
# Equipment : Nikon Ti-Eclipse
# User : gchure
# Description :
# IPTG titration with RBS1027 strains in O2.
# The strains were grown in deep 96-well plates in 1 mL of LB + spec. Then they were
# diluted next morning 1:1000 into 0.5 mL of M9 + 0.5% glucose also in deep 96-well plates with the following
# IPTG concentrations and mounted on agarose pads:
# 0uM, 0.1uM, 5uM, 10uM, 25uM, 50uM, 75uM, 100uM, 250uM, 500uM, 1000uM, 5000uM
# Comments:
# These data have been thresholded such that only cells with areas between 0.5
# µm^2 and 6µm^2 and eccentricities > 0.8 are selected.
date,username,operator,binding_energy,rbs,repressors,IPTG_uM,area,eccentricity,solidity,mean_intensity
20161018,gchure,O2,-13.9,auto,0,0.0,2.5344,0.8365209603990709,0.9428571428571428,134.15462046168415
20161018,gchure,O2,-13.9,auto,0,0.0,2.7136,0.8823380895585465,0.9217391304347826,118.18134757374774
20161018,gchure,O2,-13.9,auto,0,0.0,4.3776,0.946936543191523,0.8724489795918368,120.64797149570516
20161018,gchure,O2,-13.9,auto,0,0.0,5.632000000000001,0.8313347888991107,0.9565217391304348,122.134727894997
20161018,gchure,O2,-13.9,auto,0,0.0,2.8416,0.8788143031041051,0.9487179487179487,113.35567791769216
20161018,gchure,O2,-13.9,auto,0,0.0,2.3296,0.8490309069864047,0.978494623655914,113.41595445885575
20161018,gchure,O2,-13.9,auto,0,0.0,3.2512000000000003,0.6581974795514605,0.9621212121212122,113.90674153037455
20161018,gchure,O2,-13.9,auto,0,0.0,1.9712,0.7276716181713838,0.9871794871794872,105.01623455998445
20161018,gchure,O2,-13.9,auto,0,0.0,2.4832,0.8528708409404734,0.9797979797979798,99.63037354928638
20161018,gchure,O2,-13.9,auto,0,0.0,2.4064,0.8014762127580437,0.9591836734693877,115.24005182635868
20161018,gchure,O2,-13.9,auto,0,0.0,2.6624000000000003,0.8644407466124528,0.9629629629629629,121.19817380529692
20161018,gchure,O2,-13.9,auto,0,0.0,2.3808000000000002,0.8605449774245278,0.96875,124.05790240044902
20161018,gchure,O2,-13.9,auto,0,0.0,2.7648,0.8571497012801019,0.9473684210526315,117.63079857544399
20161018,gchure,O2,-13.9,auto,0,0.0,2.3808000000000002,0.8679820234425399,0.9789473684210527,114.2851778124956
20161018,gchure,O2,-13.9,auto,0,0.0,3.2,0.9179491631634527,0.9689922480620154,106.04312908807559
20161018,gchure,O2,-13.9,auto,0,0.0,4.736000000000001,0.9593119475316125,0.8809523809523809,103.17900724166425
20161018,gchure,O2,-13.9,auto,0,0.0,5.9904,0.8166331415025907,0.752411575562701,109.56925546590064
20161018,gchure,O2,-13.9,auto,0,0.0,1.9456,0.7656381786216409,1.0,100.09745046275752
20161018,gchure,O2,-13.9,auto,0,0.0,2.6112,0.8759315149380386,0.9807692307692307,170.88688620672264
20161018,gchure,O2,-13.9,auto,0,0.0,2.0992,0.6268906853430771,0.9761904761904762,161.20794190053516
20161018,gchure,O2,-13.9,auto,0,0.0,5.4016,0.8564468190004629,0.7757352941176471,176.74043221544017
20161018,gchure,O2,-13.9,auto,0,0.0,1.8176,0.6833954491312387,0.9861111111111112,180.77316844709944
20161018,gchure,O2,-13.9,auto,0,0.0,2.3040000000000003,0.8392737569407984,0.9574468085106383,157.03162577197708
20161018,gchure,O2,-13.9,auto,0,0.0,2.2784,0.8153843260339808,0.978021978021978,173.6220218451494
20161018,gchure,O2,-13.9,auto,0,0.0,2.9952,0.9103202060981355,0.936,171.7008444438226
20161018,gchure,O2,-13.9,auto,0,0.0,1.9968000000000001,0.7050773597560582,0.9629629629629629,186.3186088552441
20161018,gchure,O2,-13.9,auto,0,0.0,3.2512000000000003,0.5992812970317574,0.9769230769230769,157.51303065126461
20161018,gchure,O2,-13.9,auto,0,0.0,3.5328000000000004,0.9386444520115167,0.9019607843137255,181.96437596753702
20161018,gchure,O2,-13.9,auto,0,0.0,2.7648,0.8652311066672381,0.972972972972973,159.07661096930258
20161018,gchure,O2,-13.9,auto,0,0.0,2.3552,0.8483482672161369,0.9787234042553191,163.60482351328488
20161018,gchure,O2,-13.9,auto,0,0.0,3.2,0.9367305095647117,0.9259259259259259,171.3857757168093
20161018,gchure,O2,-13.9,auto,0,0.0,3.7888,0.930376228045679,0.8505747126436781,162.2941113670104
20161018,gchure,O2,-13.9,auto,0,0.0,2.3040000000000003,0.7814842619611533,0.9782608695652174,165.21485165072886
20161018,gchure,O2,-13.9,auto,0,0.0,3.4304,0.9285369305018846,0.9640287769784173,154.73227871030187
20161018,gchure,O2,-13.9,auto,0,0.0,2.2016,0.6348911818853851,0.9772727272727273,178.88145784045943
20161018,gchure,O2,-13.9,auto,0,0.0,2.6112,0.8753260171262034,0.9272727272727272,151.07221446193046
20161018,gchure,O2,-13.9,auto,0,0.0,2.176,0.7637426597922052,0.9770114942528736,183.340763066767
20161018,gchure,O2,-13.9,auto,0,0.0,2.6624000000000003,0.8664070700010847,0.9629629629629629,153.871560625952
20161018,gchure,O2,-13.9,auto,0,0.0,3.0208,0.7954231706848899,0.959349593495935,186.47682222045634
20161018,gchure,O2,-13.9,auto,0,0.0,2.432,0.8417835130187858,0.979381443298969,157.23493488319136
20161018,gchure,O2,-13.9,auto,0,0.0,2.5856000000000003,0.8615495860718002,0.9901960784313726,153.55924536894196
20161018,gchure,O2,-13.9,auto,0,0.0,3.2768,0.8862304564528551,0.9552238805970149,162.28923226729427
20161018,gchure,O2,-13.9,auto,0,0.0,3.3536,0.919422022545415,0.8851351351351351,175.00028581337654
