run_number,IPTG_uM,binding_energy,date,fold_change,operator,rbs,repressors,username
1,0.0,-17,20161213,-0.03867391500208778,Oid,RBS446,62,gchure
1,0.1,-17,20161213,0.006644555559549293,Oid,RBS446,62,gchure
1,5.0,-17,20161213,0.003366147540730125,Oid,RBS446,62,gchure
1,10.0,-17,20161213,-0.001542438637749394,Oid,RBS446,62,gchure
1,25.0,-17,20161213,0.023653906529651082,Oid,RBS446,62,gchure
1,50.0,-17,20161213,0.04325727312179403,Oid,RBS446,62,gchure
1,75.0,-17,20161213,0.14347088506912292,Oid,RBS446,62,gchure
1,100.0,-17,20161213,0.07181227033715054,Oid,RBS446,62,gchure
1,250.0,-17,20161213,0.15255426609889958,Oid,RBS446,62,gchure
1,500.0,-17,20161213,0.25704884275045153,Oid,RBS446,62,gchure
1,1000.0,-17,20161213,0.29908532848007835,Oid,RBS446,62,gchure
1,5000.0,-17,20161213,0.3844841427351999,Oid,RBS446,62,gchure
1,0.0,-17,20161214,0.0009180102758479494,Oid,RBS446,62,gchure
1,0.1,-17,20161214,0.0006230973343489636,Oid,RBS446,62,gchure
1,5.0,-17,20161214,0.021060382284800984,Oid,RBS446,62,gchure
1,10.0,-17,20161214,0.011134443672116287,Oid,RBS446,62,gchure
1,25.0,-17,20161214,0.03649791151402542,Oid,RBS446,62,gchure
1,50.0,-17,20161214,0.03835437817490922,Oid,RBS446,62,gchure
1,75.0,-17,20161214,0.05440381783243455,Oid,RBS446,62,gchure
1,100.0,-17,20161214,0.12597158862350924,Oid,RBS446,62,gchure
1,250.0,-17,20161214,0.2526854142403485,Oid,RBS446,62,gchure
1,500.0,-17,20161214,0.2685683323831136,Oid,RBS446,62,gchure
1,1000.0,-17,20161214,0.36731310235833065,Oid,RBS446,62,gchure
1,5000.0,-17,20161214,0.3746598417002396,Oid,RBS446,62,gchure
1,0.0,-17,20170103,-0.0014293232246935634,Oid,RBS446,62,gchure
1,0.1,-17,20170103,0.002870931073077449,Oid,RBS446,62,gchure
1,5.0,-17,20170103,0.0019974539644652765,Oid,RBS446,62,gchure
1,10.0,-17,20170103,0.003390614507983327,Oid,RBS446,62,gchure
1,25.0,-17,20170103,0.013023985361779029,Oid,RBS446,62,gchure
1,50.0,-17,20170103,0.0238934890156724,Oid,RBS446,62,gchure
1,75.0,-17,20170103,0.05453067922058401,Oid,RBS446,62,gchure
1,250.0,-17,20170103,0.1546655432344064,Oid,RBS446,62,gchure
1,500.0,-17,20170103,0.2018814202266032,Oid,RBS446,62,gchure
1,1000.0,-17,20170103,0.28467857383535106,Oid,RBS446,62,gchure
1,5000.0,-17,20170103,0.295589400768659,Oid,RBS446,62,gchure
1,0.1,-17,20170104,0.010504102094221722,Oid,RBS446,62,gchure
1,5.0,-17,20170104,0.018295950370477085,Oid,RBS446,62,gchure
1,10.0,-17,20170104,0.007830148665477295,Oid,RBS446,62,gchure
1,25.0,-17,20170104,0.013864607898744144,Oid,RBS446,62,gchure
1,50.0,-17,20170104,0.05930302507399424,Oid,RBS446,62,gchure
1,75.0,-17,20170104,1.0947624605364703,Oid,RBS446,62,gchure
1,100.0,-17,20170104,0.04362794729649529,Oid,RBS446,62,gchure
1,250.0,-17,20170104,0.09644356832137033,Oid,RBS446,62,gchure
1,500.0,-17,20170104,0.16242917725110315,Oid,RBS446,62,gchure
1,1000.0,-17,20170104,0.2655542930141097,Oid,RBS446,62,gchure
1,5000.0,-17,20170104,0.2620673850146762,Oid,RBS446,62,gchure
1,0.0,-17,20170105,0.0029189258831799,Oid,RBS1147,30,gchure
1,0.1,-17,20170105,0.004948950277308069,Oid,RBS1147,30,gchure
1,5.0,-17,20170105,0.009217546735160505,Oid,RBS1147,30,gchure
1,10.0,-17,20170105,0.011012082932296266,Oid,RBS1147,30,gchure
1,25.0,-17,20170105,0.020706800734539937,Oid,RBS1147,30,gchure
1,50.0,-17,20170105,0.06425262908923106,Oid,RBS1147,30,gchure
1,75.0,-17,20170105,0.08669189563616912,Oid,RBS1147,30,gchure
1,100.0,-17,20170105,0.12994636190477565,Oid,RBS1147,30,gchure
1,250.0,-17,20170105,0.2978706543898409,Oid,RBS1147,30,gchure
1,500.0,-17,20170105,0.4136199865835321,Oid,RBS1147,30,gchure
1,1000.0,-17,20170105,0.42576195531727096,Oid,RBS1147,30,gchure
1,5000.0,-17,20170105,0.6161826028366856,Oid,RBS1147,30,gchure
1,0.0,-17,20170106,-0.019383071925372832,Oid,RBS1147,30,gchure
1,0.1,-17,20170106,0.002392553771569285,Oid,RBS1147,30,gchure
1,5.0,-17,20170106,0.0009954673753688787,Oid,RBS1147,30,gchure
1,10.0,-17,20170106,0.009217906781521585,Oid,RBS1147,30,gchure
1,25.0,-17,20170106,0.01313898648307567,Oid,RBS1147,30,gchure
1,50.0,-17,20170106,0.0448956905002351,Oid,RBS1147,30,gchure
1,75.0,-17,20170106,0.08138922471947989,Oid,RBS1147,30,gchure
1,100.0,-17,20170106,0.0888212002562024,Oid,RBS1147,30,gchure
1,250.0,-17,20170106,0.20910626834810286,Oid,RBS1147,30,gchure
1,500.0,-17,20170106,0.2978156407505143,Oid,RBS1147,30,gchure
1,1000.0,-17,20170106,0.4670835056339922,Oid,RBS1147,30,gchure
1,5000.0,-17,20170106,0.4466922862013128,Oid,RBS1147,30,gchure
1,0.0,-17,20170106,-0.019383071925372832,Oid,RBS1147,30,gchure
1,0.1,-17,20170106,0.002392553771569285,Oid,RBS1147,30,gchure
1,5.0,-17,20170106,0.0009954673753688787,Oid,RBS1147,30,gchure
1,10.0,-17,20170106,0.009217906781521585,Oid,RBS1147,30,gchure
1,25.0,-17,20170106,0.01313898648307567,Oid,RBS1147,30,gchure
1,50.0,-17,20170106,0.0448956905002351,Oid,RBS1147,30,gchure
1,75.0,-17,20170106,0.08138922471947989,Oid,RBS1147,30,gchure
