run_number,IPTG_uM,binding_energy,date,fold_change,operator,rbs,repressors,username
1,100.0,-17,20170106,0.0888212002562024,Oid,RBS1147,30,gchure
1,250.0,-17,20170106,0.20910626834810286,Oid,RBS1147,30,gchure
1,500.0,-17,20170106,0.2978156407505143,Oid,RBS1147,30,gchure
1,1000.0,-17,20170106,0.4670835056339922,Oid,RBS1147,30,gchure
1,5000.0,-17,20170106,0.4466922862013128,Oid,RBS1147,30,gchure
2,0.0,-17,20170106,-0.019380487612239868,Oid,RBS1147,30,gchure
2,0.1,-17,20170106,0.002128205085237993,Oid,RBS1147,30,gchure
2,5.0,-17,20170106,0.0008243689495243808,Oid,RBS1147,30,gchure
2,10.0,-17,20170106,0.007773225706608106,Oid,RBS1147,30,gchure
2,25.0,-17,20170106,0.012041698289207677,Oid,RBS1147,30,gchure
2,50.0,-17,20170106,0.03944286189525268,Oid,RBS1147,30,gchure
2,75.0,-17,20170106,0.08343723715000799,Oid,RBS1147,30,gchure
2,100.0,-17,20170106,0.09474794495565668,Oid,RBS1147,30,gchure
2,250.0,-17,20170106,0.19370558662152784,Oid,RBS1147,30,gchure
2,500.0,-17,20170106,0.27940476947619103,Oid,RBS1147,30,gchure
2,1000.0,-17,20170106,0.4092823429564128,Oid,RBS1147,30,gchure
2,5000.0,-17,20170106,0.4259003863746612,Oid,RBS1147,30,gchure
1,0.0,-17,20170107,0.0065398609026971685,Oid,HG104,11,gchure
1,0.1,-17,20170107,0.010158281983955636,Oid,HG104,11,gchure
1,5.0,-17,20170107,0.012352977198836582,Oid,HG104,11,gchure
1,10.0,-17,20170107,0.030475332582628526,Oid,HG104,11,gchure
1,25.0,-17,20170107,0.061061531200697176,Oid,HG104,11,gchure
1,50.0,-17,20170107,0.18352142629648335,Oid,HG104,11,gchure
1,75.0,-17,20170107,0.2465308087173368,Oid,HG104,11,gchure
1,100.0,-17,20170107,0.3319946032483999,Oid,HG104,11,gchure
1,250.0,-17,20170107,0.5469605155439401,Oid,HG104,11,gchure
1,500.0,-17,20170107,0.6122032068756686,Oid,HG104,11,gchure
1,1000.0,-17,20170107,0.7797271848638585,Oid,HG104,11,gchure
1,5000.0,-17,20170107,0.8519370033765843,Oid,HG104,11,gchure
3,0.0,-17,20170106,0.005916255419826988,Oid,HG104,11,gchure
3,0.1,-17,20170106,0.009071656673437407,Oid,HG104,11,gchure
3,5.0,-17,20170106,0.02010930307729607,Oid,HG104,11,gchure
3,10.0,-17,20170106,0.030400930345408243,Oid,HG104,11,gchure
3,25.0,-17,20170106,0.0690993652375873,Oid,HG104,11,gchure
3,50.0,-17,20170106,0.13057307605960353,Oid,HG104,11,gchure
3,75.0,-17,20170106,0.3170768898218573,Oid,HG104,11,gchure
3,100.0,-17,20170106,0.35018467489240573,Oid,HG104,11,gchure
3,250.0,-17,20170106,0.6182325991653687,Oid,HG104,11,gchure
3,500.0,-17,20170106,0.7516833956444585,Oid,HG104,11,gchure
3,1000.0,-17,20170106,0.8367963340433128,Oid,HG104,11,gchure
3,5000.0,-17,20170106,0.8600225703159622,Oid,HG104,11,gchure
