,operator,binding_energy,repressor,inducer_uM,lambda_m1p0,lambda_m2p0,lambda_m3p0,lambda_m0p1,lambda_m1p1,lambda_m0p2,lambda_m2p1,lambda_m1p2,lambda_m0p3
0,O1,-15.3,1.0,0.0,-0.3234538489941654,0.008610171357197395,-0.0001029488756869023,-0.0007444466715568879,8.8934839114105e-06,1.8100397859255063e-07,-3.0680023485274795e-07,1.2598558350350505e-09,-1.4033383616238214e-11
1,O1,-15.3,1.0,0.1,-0.3223542024199481,0.008561858474520878,-0.00010231357825741746,-0.0007444769643146287,8.832255756249052e-06,1.8075869624300371e-07,-3.055396073351986e-07,1.2577585340039054e-09,-1.398496444700793e-11
2,O1,-15.3,1.0,5.0,-0.15672691151081844,0.0014194546352881282,-1.088202830533546e-05,-0.0007801908535173747,3.1705125949737077e-06,1.5426315112565723e-07,-1.7862238180863808e-07,9.315931221342496e-10,-8.991765602511438e-12
3,O1,-15.3,1.0,10.0,0.0031304235408762364,-0.005491129161400298,7.589252550042635e-05,-0.0008434769348777409,1.345382341474993e-06,1.4312049217765143e-07,-1.3352038584595498e-07,7.572051691361326e-10,-6.93990389695954e-12
4,O1,-15.3,1.0,25.0,0.2043509849896677,-0.014287620412258265,0.00018533281140964956,-0.0009234555620282166,1.3166530028957808e-06,1.385683432441521e-07,-1.1735406331486287e-07,6.356074734023838e-10,-5.892871947076312e-12
5,O1,-15.3,1.0,50.0,0.28073610108038605,-0.017631174460927247,0.0002266668569599107,-0.0009502070090016552,1.6305011836022038e-06,1.3803564537233055e-07,-1.1668660607786601e-07,6.040882021743068e-10,-5.690126285890517e-12
6,O1,-15.3,1.0,75.0,0.30169469755793576,-0.01854750275327979,0.0002379693429833455,-0.0009571362144887358,1.7355962595806168e-06,1.3794538810071538e-07,-1.1684621951394881e-07,5.963895692568567e-10,-5.644953695271251e-12
7,O1,-15.3,1.0,100.0,0.31061342460456587,-0.01893708120550123,0.0002427703060541081,-0.0009600248257100308,1.7817045353857895e-06,1.379125314553857e-07,-1.1694272825416236e-07,5.932263425891065e-10,-5.626859319251614e-12
8,O1,-15.3,1.0,250.0,0.323366650416129,-0.01949307991027142,0.0002496126881464606,-0.0009641308696788009,1.8462752343878784e-06,1.3787977813487965e-07,-1.1709089027336211e-07,5.889186684833259e-10,-5.602496723039306e-12
9,O1,-15.3,1.0,500.0,0.3265426596289491,-0.019632402965781958,0.0002513313842261356,-0.0009651286579850083,1.8659452800216444e-06,1.3786619811413928e-07,-1.1715024212003374e-07,5.877418188132063e-10,-5.5963011084491945e-12
10,O1,-15.3,1.0,1000.0,0.32791251888815737,-0.019692296432856693,0.0002520693173535138,-0.0009655617082009991,1.873870863347183e-06,1.3786178370427388e-07,-1.1717407947999271e-07,5.872575805483344e-10,-5.593714240562571e-12
11,O1,-15.3,1.0,5000.0,0.32890136483413734,-0.01973550758394089,0.00025260150650974244,-0.0009658747721259159,1.879547057810094e-06,1.3785882353125627e-07,-1.1719063086913807e-07,5.869092463374925e-10,-5.591862116221563e-12
12,O1,-15.3,2.0,0.0,-0.5144221854831877,0.017407649602554195,-0.00022317255773345772,-0.0007883406930631975,2.4580087534946378e-05,2.397773640767689e-07,-6.918974810709629e-07,1.8531084375489066e-09,-2.727474208876693e-11
13,O1,-15.3,2.0,0.1,-0.5129933642004766,0.01733700819258564,-0.0002221536973064197,-0.0007876211337503116,2.4417218520881386e-05,2.3921154893493515e-07,-6.875618253893435e-07,1.8476692256997086e-09,-2.7133365750465386e-11
14,O1,-15.3,2.0,5.0,-0.3112633782543528,0.008077984174257067,-9.601683819075702e-05,-0.0007451398964593739,8.275330898449384e-06,1.783400985487733e-07,-2.926343313879647e-07,1.2290277101561731e-09,-1.3505137670536794e-11
15,O1,-15.3,2.0,10.0,-0.13099105349988388,0.00031286558861470717,3.078144657108207e-06,-0.0007894027082913128,2.7008209304405435e-06,1.517257443186305e-07,-1.6795955584546906e-07,8.961883668554136e-10,-8.534098900650855e-12
16,O1,-15.3,2.0,25.0,0.11874347223949883,-0.010538152503109044,0.0001387960162800276,-0.0008908575118264866,1.1350809478095748e-06,1.397634237615544e-07,-1.2093838435776322e-07,6.788166389208035e-10,-6.2199250214244796e-12
17,O1,-15.3,2.0,50.0,0.23670379920024934,-0.015704580337342892,0.00020286925673734872,-0.0009350828611484667,1.4358282004089455e-06,1.3829755851435726e-07,-1.1683248845190311e-07,6.215582485173058e-10,-5.798838189189624e-12
18,O1,-15.3,2.0,75.0,0.2733468688681936,-0.017307754475293927,0.0002226740853520141,-0.0009477108163855666,1.5936040916312687e-06,1.3807336855041123e-07,-1.1665137517843005e-07,6.069452842670253e-10,-5.7070883485013975e-12
19,O1,-15.3,2.0,100.0,0.28961632920514274,-0.018019644407780134,0.0002314643865584133,-0.0009531442322004366,1.6751183253345915e-06,1.3799133207330236e-07,-1.1681632889502891e-07,6.009677315620102e-10,-5.670498583205537e-12
20,O1,-15.3,2.0,250.0,0.3137528025628614,-0.019074323291504564,0.0002444609760461804,-0.0009610541394520913,1.7986266543487738e-06,1.3790409173759012e-07,-1.1698062772216038e-07,5.921126887254246e-10,-5.620726324802371e-12
21,O1,-15.3,2.0,500.0,0.3199262808981119,-0.019343840543829583,0.00024778068129634623,-0.0009630193293047049,1.8313633010636794e-06,1.3788294455422702e-07,-1.1706382750072689e-07,5.899720237590434e-10,-5.608687370113847e-12
