operator,binding_enery,repressor,channcap_mRNA,channcap_protein
O1,-15.3,0.0,-3.2034265038149186e-16,-3.2034265038149186e-16
O1,-15.3,1.0,0.1274070900119326,0.609105169247147
O1,-15.3,2.0,0.2545115434029385,0.8752537966612444
O1,-15.3,3.0,0.34955477422143333,1.0087553473178774
O1,-15.3,4.0,0.42118837886363336,1.1051312146789976
O1,-15.3,5.0,0.4765561396703314,1.1774052357983669
O1,-15.3,6.0,0.5204537154252703,1.2327574195100763
O1,-15.3,8.0,0.5854911475631134,1.3064008555247635
O1,-15.3,9.0,0.610248491627987,1.3301122124572489
O1,-15.3,10.0,0.631354265835325,1.3508238004015927
O1,-15.3,11.0,0.6495758585518161,1.3695553592725942
O1,-15.3,12.0,0.6654800600008091,1.3866401025006623
O1,-15.3,14.0,0.6919230072040091,1.4167110027715097
O1,-15.3,16.0,0.7130504951185375,1.4422841455854363
O1,-15.3,19.0,0.7378864910277623,1.473874272495944
O1,-15.3,22.0,0.7570549319787474,1.4988165265655782
O1,-15.3,26.0,0.7767450137627085,1.5238646262605091
O1,-15.3,30.0,0.7919107239566183,1.5416433046502631
O1,-15.3,35.0,0.8065959260497809,1.5562150231093586
O1,-15.3,41.0,0.8199572461870164,1.5684687693560302
O1,-15.3,48.0,0.8316966378185163,1.5808622898578273
O1,-15.3,56.0,0.8416969608226726,1.5931641699176862
O1,-15.3,60.0,0.8457227039615585,1.5986136995767164
O1,-15.3,62.0,0.8475362900503693,1.6011417114500255
O1,-15.3,66.0,0.850815167553227,1.6058523953875936
O1,-15.3,77.0,0.8590525106817999,1.6167398964071544
O1,-15.3,90.0,0.8648333407452972,1.626196805486611
O1,-15.3,105.0,0.8697574413178046,1.633984289832339
O1,-15.3,123.0,0.8738187821878435,1.6415204611900442
O1,-15.3,124.0,0.8739946051939094,1.6418900721270324
O1,-15.3,130.0,0.8749416597125785,1.6439936681797187
O1,-15.3,143.0,0.8764189080651771,1.6479483031607929
O1,-15.3,167.0,0.8775606896615962,1.6534324078032092
O1,-15.3,195.0,0.8774864625993096,1.6576088109450626
O1,-15.3,228.0,0.8757364594852547,1.6604904416700426
O1,-15.3,260.0,0.8739170471321261,1.6622998561111269
O1,-15.3,266.0,0.8734216947233412,1.66256788962597
O1,-15.3,311.0,0.869371859151852,1.6626583661399312
O1,-15.3,363.0,0.8640781239895954,1.6612138746292664
O1,-15.3,424.0,0.8566163975635248,1.6585186581378435
O1,-15.3,495.0,0.8485414605338236,1.6543389178545367
O1,-15.3,578.0,0.8388828805679139,1.648316104682997
O1,-15.3,610.0,0.8351337064986389,1.645806801258877
O1,-15.3,675.0,0.8275515513624175,1.6400783390095381
O1,-15.3,789.0,0.8143527117048294,1.6296400727194136
O1,-15.3,870.0,0.805131983190972,1.6220456242125434
O1,-15.3,921.0,0.799423980585971,1.6172494928548573
O1,-15.3,1075.0,0.7825395071215224,1.6030705122539004
O1,-15.3,1220.0,0.7672283080339266,1.5888093872845592
O1,-15.3,1256.0,0.763511222951002,1.5851745177484393
O1,-15.3,1467.0,0.7424586929196885,1.5644767738038785
O1,-15.3,1713.0,0.7193472609243245,1.5421406290985733
O1,-15.3,1740.0,0.7168982634045812,1.5398386401398674
O1,-15.3,2000.0,0.6942048758138485,1.5190320707738034
O2,-13.9,0.0,-3.2034265038149186e-16,-3.2034265038149186e-16
O2,-13.9,1.0,0.013197622716244686,0.12074245134810106
O2,-13.9,2.0,0.04333342527287031,0.3314512525100665
O2,-13.9,3.0,0.07971057469392606,0.518362737929226
O2,-13.9,4.0,0.11722028267392012,0.6587186737626056
O2,-13.9,5.0,0.15377935313498745,0.7581887037052801
O2,-13.9,6.0,0.18852422008892403,0.8276364410241063
O2,-13.9,8.0,0.25141672196776244,0.9338011654028435
O2,-13.9,9.0,0.2795272189672198,0.980558778804106
O2,-13.9,10.0,0.3055592173165774,1.0229684291794898
O2,-13.9,11.0,0.3296629164028568,1.0612188846031498
O2,-13.9,12.0,0.35199469028081576,1.0955676740649671
O2,-13.9,14.0,0.391976885134949,1.1536851587587946
O2,-13.9,16.0,0.4266111244966915,1.2014232333863817
O2,-13.9,19.0,0.4705495197337276,1.2594727158283832
O2,-13.9,22.0,0.5069430877085177,1.3046536115054403
O2,-13.9,26.0,0.5467005266579135,1.349661073254083
O2,-13.9,30.0,0.5790175962910961,1.383673373415947
O2,-13.9,35.0,0.6118233937228689,1.4194686351138521
O2,-13.9,41.0,0.6432140306193648,1.45547883253218
O2,-13.9,48.0,0.6721564203532258,1.4905734051134902
O2,-13.9,56.0,0.6982282473474153,1.5239326102642532
O2,-13.9,60.0,0.7092026778090882,1.5384112881484404
O2,-13.9,62.0,0.7142727538784426,1.5451712898254681
O2,-13.9,66.0,0.7236802226371543,1.557803774198578
O2,-13.9,77.0,0.7454877480779983,1.5870668809507789
O2,-13.9,90.0,0.765626111130425,1.6127938356472031
O2,-13.9,105.0,0.783735016327641,1.6330616091847436
O2,-13.9,123.0,0.8005956220966207,1.6484467484518932
O2,-13.9,124.0,0.8014180677026871,1.649195511307332
O2,-13.9,130.0,0.8061117176899351,1.6534887127680493
O2,-13.9,143.0,0.815165547274377,1.6621697751397155
O2,-13.9,167.0,0.8293711688005884,1.6763614221149867
O2,-13.9,195.0,0.8417491574705129,1.6906301291238948
O2,-13.9,228.0,0.8542934902036301,1.7047520046200697
O2,-13.9,260.0,0.8641247770257534,1.715746900605087
O2,-13.9,266.0,0.8657571780962642,1.717475060344512
O2,-13.9,311.0,0.8761959209048995,1.7279430409661771
O2,-13.9,363.0,0.8851073756734384,1.7370750206624244
O2,-13.9,424.0,0.8924772675969919,1.745487508285833
O2,-13.9,495.0,0.8981344447605143,1.7526197820894631
O2,-13.9,578.0,0.9020578532504907,1.758147090537466
O2,-13.9,610.0,0.9030297010148803,1.759761501081714
O2,-13.9,675.0,0.9046285920030042,1.76261290384156
O2,-13.9,789.0,0.9073459884589246,1.7664674696053562
O2,-13.9,870.0,0.9082939559131431,1.7683301095726192
O2,-13.9,921.0,0.9086150999579407,1.7691846830759903
O2,-13.9,1075.0,0.9081965170991556,1.7704117472329517
O2,-13.9,1220.0,0.9064554025804168,1.7695904588139346
O2,-13.9,1256.0,0.9058764586865127,1.7689438325587235
O2,-13.9,1467.0,0.9017808392961172,1.764053000275125
O2,-13.9,1713.0,0.8964207002631149,1.7576190334541792
O2,-13.9,1740.0,0.8957860717581204,1.756917150057924
O2,-13.9,2000.0,0.8891688721086992,1.750074638563721
O3,-9.7,0.0,-3.2034265038149186e-16,-3.2034265038149186e-16
O3,-9.7,1.0,2.2153105397806578e-06,2.2560350306337134e-05
O3,-9.7,2.0,8.793756215705234e-06,8.974964456400296e-05
O3,-9.7,3.0,1.974485441446758e-05,0.00020141953392309174
O3,-9.7,4.0,3.501166664284518e-05,0.0003568762561780944
O3,-9.7,5.0,5.456056921597809e-05,0.0005558852030669772
O3,-9.7,6.0,7.831246136274201e-05,0.0009246185729362444
O3,-9.7,8.0,0.00013826647100350468,0.0018854502174847406
O3,-9.7,9.0,0.0001744093577158863,0.0024573111905199846
O3,-9.7,10.0,0.00021461021654225757,0.0030914470560123595
O3,-9.7,11.0,0.0002588681419765714,0.0037889768208606155
O3,-9.7,12.0,0.00030711375365874427,0.00455118028496916
O3,-9.7,14.0,0.0004152432236137235,0.0062662981150724386
O3,-9.7,16.0,0.0005390278885739574,0.00823785645715613
O3,-9.7,19.0,0.0008487228164947239,0.011667352016471311
O3,-9.7,22.0,0.0012390245375541685,0.015667435610860023
O3,-9.7,26.0,0.00182903823292792,0.02185769786266978
O3,-9.7,30.0,0.0024978331023271377,0.028965484893792186
O3,-9.7,35.0,0.0034455962112545095,0.03895591054038781
O3,-9.7,41.0,0.00474200918499569,0.05234524037479038
O3,-9.7,48.0,0.0064688671602631895,0.06984987959701905
O3,-9.7,56.0,0.008710241019382333,0.09181346653229273
O3,-9.7,60.0,0.009930582354724106,0.10341140554758638
O3,-9.7,62.0,0.010568337395854636,0.10934042050608667
O3,-9.7,66.0,0.011888737428554966,0.12144713913292164
O3,-9.7,77.0,0.015827492137849418,0.15613885657650659
O3,-9.7,90.0,0.021024910023986397,0.1989708875067288
O3,-9.7,105.0,0.02764368283157159,0.24950355763183232
O3,-9.7,123.0,0.03626943886985389,0.3099603810344868
O3,-9.7,124.0,0.036772611341958056,0.31328034140573824
O3,-9.7,130.0,0.039783295458535935,0.33307578780847924
O3,-9.7,143.0,0.04647832954635467,0.37504409653804655
O3,-9.7,167.0,0.05947224843025502,0.44832728455144616
O3,-9.7,195.0,0.07527394480836971,0.5256041811010466
O3,-9.7,228.0,0.09427702834431873,0.6046214525460495
O3,-9.7,260.0,0.1127757541112124,0.6692730393938152
O3,-9.7,266.0,0.11623214531494577,0.6801806278562413
O3,-9.7,311.0,0.1418941182392925,0.7510895290726043
O3,-9.7,363.0,0.17064617387711226,0.8130746437473884
O3,-9.7,424.0,0.20274443755715116,0.8713766521368506
O3,-9.7,495.0,0.2376128126126778,0.9339529354343996
O3,-9.7,578.0,0.2749171607812943,0.999424373760623
O3,-9.7,610.0,0.28833882369129554,1.0224656163026817
O3,-9.7,675.0,0.31405139942277355,1.0656010897350092
O3,-9.7,789.0,0.3545498706288719,1.1304226213804516
O3,-9.7,870.0,0.3801830616832464,1.1689631645778382
O3,-9.7,921.0,0.3951349360947648,1.1904170648558992
O3,-9.7,1075.0,0.4354708100079793,1.2462158576155764
O3,-9.7,1220.0,0.46789968019471034,1.2890321256202983
O3,-9.7,1256.0,0.47524580109372483,1.2984216964484456
O3,-9.7,1467.0,0.5136071030254569,1.345324208205368
O3,-9.7,1713.0,0.5501916185460742,1.3863876802707695
O3,-9.7,1740.0,0.5537755766784576,1.39030897727283
O3,-9.7,2000.0,0.5847706226081545,1.4246538422624098
Oid,-17.0,0.0,-3.2034265038149186e-16,-3.2034265038149186e-16
Oid,-17.0,1.0,0.5103074738654105,0.9648122629983603
Oid,-17.0,2.0,0.6459001525368723,1.0897732800763718
Oid,-17.0,3.0,0.7100333062251378,1.1459047164899634
Oid,-17.0,4.0,0.7473924810178207,1.1762784709940557
Oid,-17.0,5.0,0.7716082683932587,1.2022837967616984
Oid,-17.0,6.0,0.7883619252203128,1.2240279075660523
Oid,-17.0,8.0,0.8094210294612011,1.256603962025783
Oid,-17.0,9.0,0.8162017064702011,1.2686210851636208
Oid,-17.0,10.0,0.821412812130094,1.278314620898696
Oid,-17.0,11.0,0.8254343257877333,1.2861194303705181
Oid,-17.0,12.0,0.8286625429942992,1.2923663944014492
Oid,-17.0,14.0,0.8330754450262264,1.3013476735030105
Oid,-17.0,16.0,0.8355634377883925,1.307054916306281
Oid,-17.0,19.0,0.8369743474285937,1.314268930333644
Oid,-17.0,22.0,0.8366078375925968,1.320959392253541
Oid,-17.0,26.0,0.8344135772777304,1.3287710334515979
Oid,-17.0,30.0,0.831044357588205,1.3353754404789255
Oid,-17.0,35.0,0.8258383686872922,1.3421040397580553
Oid,-17.0,41.0,0.8188110659452916,1.3472232224410765
Oid,-17.0,48.0,0.8100897367158945,1.3510612148468057
Oid,-17.0,56.0,0.7998879195935847,1.3542611117577188
Oid,-17.0,60.0,0.7947882712485342,1.3557199682586727
Oid,-17.0,62.0,0.7922473319952951,1.3564973860574203
Oid,-17.0,66.0,0.7871948671809671,1.3579542597684973
Oid,-17.0,77.0,0.773602267416955,1.3614442930460084
Oid,-17.0,90.0,0.7582011597181401,1.3646168495991269
Oid,-17.0,105.0,0.7414237003164089,1.3668279623691006
Oid,-17.0,123.0,0.7226693621009951,1.3676519381207377
Oid,-17.0,124.0,0.7216713132186112,1.3676506027936572
Oid,-17.0,130.0,0.7157665948285261,1.3675776398618302
Oid,-17.0,143.0,0.7034827449487411,1.3669796179510951
Oid,-17.0,167.0,0.6824872070717642,1.3630912540059104
Oid,-17.0,195.0,0.6604321389211185,1.3573560924489934
Oid,-17.0,228.0,0.6372558678437517,1.3501352696967504
Oid,-17.0,260.0,0.617188524799248,1.3432198452961603
Oid,-17.0,266.0,0.6136531268358983,1.34195080544783
Oid,-17.0,311.0,0.5891173677534022,1.3329333925299431
Oid,-17.0,363.0,0.5643923053087904,1.3235763201879105
Oid,-17.0,424.0,0.5392161298815499,1.3143446901441038
Oid,-17.0,495.0,0.5138868445507166,1.3043083594568854
Oid,-17.0,578.0,0.48836375406482063,1.2940813800895552
Oid,-17.0,610.0,0.4794613048061955,1.290540832183808
Oid,-17.0,675.0,0.4627057806434418,1.2840596644426603
Oid,-17.0,789.0,0.4368417262410857,1.2732900482382896
Oid,-17.0,870.0,0.42063971593333743,1.2662246894117357
Oid,-17.0,921.0,0.411199653875723,1.2621650395292436
Oid,-17.0,1075.0,0.38562515279132,1.2513222443661505
Oid,-17.0,1220.0,0.36477830310469245,1.2432113580250235
Oid,-17.0,1256.0,0.36000554440460314,1.2414594992636652
Oid,-17.0,1467.0,0.3346661628262177,1.2323859071549121
Oid,-17.0,1713.0,0.30970180237652367,1.2236993894263575
Oid,-17.0,1740.0,0.30720697347303116,1.2228415578188587
Oid,-17.0,2000.0,0.2852261425208752,1.2153158355716998
