kp_on,kp_off,rm,gm,rp,m0p0,m1p0,m2p0,m3p0,m4p0,m5p0,m6p0,m0p1,m1p1,m0p2,m2p1,m1p2,m0p3,m3p1,m2p2,m1p3,m0p4,m4p1,m3p2,m2p3,m1p4,m0p5,m5p1,m4p2,m3p3,m2p4,m1p5,m0p6
0.035799851204200484,0.7336417318731587,1.4286378970429308,0.005555555555555556,0.05768706295740175,1.0000008387507222,15.465072974595742,322.67579896228153,8592.938263603271,278504.42365632305,10548927.833895171,452611227.8322047,7732.571772500991,127212.95494715095,62400271.524583556,2815368.263204111,1093397396.3053868,525839578381.96704,78666450.93900572,25548468345.65807,9793618702555.29,4622234032453426.0,2639465390.9358816,743549088261.7603,240038440829183.28,9.106553798668006e+16,4.227171362788134e+19,102309463883.76477,25649529823192.344,7223464341541384.0,2.324187101675101e+18,8.751673960289851e+20,4.007274428250134e+23
0.03243051052227122,0.7395278197791516,1.3932893252613043,0.0050567476243613,0.05329920067199455,0.999999728750066,14.931711408517332,301.56464372636333,7785.472724534576,244981.55066020813,9021609.763551105,376830411.75597316,6912.124814645349,109813.96195326901,49874712.96505571,2353025.319695645,844155132.7919495,375894752276.1199,63767135.66614117,19104342868.631332,6764942782487.687,2955987478534407.0,2078324773.251226,539522170063.50507,160666759160896.25,5.63017624892106e+16,2.4192010688546836e+19,78364508824.90973,18088496449429.77,4694137598220178.0,1.3931472751120786e+18,4.8449283305690504e+20,2.0530354220405447e+23
0.03336463973287224,0.7561404899519066,1.5063377186386424,0.005693011220781198,0.05159822800418384,1.0000006359558544,14.460291800995451,286.7603516968756,7330.247697608834,229696.59671859062,8459135.32716526,354514584.801782,6485.3988942394435,99780.7552120086,43899357.99512474,2098604.837690419,719492881.6243367,310336707941.9377,56279454.50164753,15975606741.657185,5407286553373.946,2288752890362167.5,1825493773.3003397,446201181132.49207,125934330306994.14,4.219376523575154e+16,1.7564539062110894e+19,68794087060.10034,14879371092394.385,3636831811950332.5,1.0232844935936778e+18,3.403526983708994e+20,1.3975382216406345e+23
0.03262817889341797,0.837036486117765,1.6913335628918849,0.005508398067364933,0.06250574853438376,0.9999982436538555,14.887433995700341,303.27197538819416,7958.185305962201,255967.53043548466,9676743.062170682,416369141.9313927,8050.542756492005,127560.53898123738,67674292.93845072,2757151.656723082,1142659880.5671113,594368778558.7511,75935618.32941422,26084410259.851044,10672402582144.648,5448055172600130.0,2529034675.153793,748459454405.8402,255626054719699.22,1.0353001358115208e+17,5.198011214442348e+19,97858644275.02731,25633604832728.598,7586002278732798.0,2.5829018525240325e+18,1.0384770084337286e+21,5.143208601655511e+23
0.039527209352094486,0.7952058257476845,1.1987712714518624,0.005553193576338292,0.05529164864619394,1.0000002121636098,13.212645022647969,234.65764271211077,5289.40393696917,144373.7697245743,4587393.730594011,164647670.45813608,6338.661211335802,89078.8387687654,41925010.79568844,1677012.150490973,627414732.0575234,289528597576.9985,39641524.884096764,12464005500.198307,4604532580575.393,2085358583246307.5,1119889478.1454322,306751372043.9855,95903587552017.88,3.5075199534408184e+16,1.56246660752334e+19,36417002668.30962,8908470907355.344,2439813929955640.5,7.604342980169167e+17,2.7611192888114692e+20,1.2133522527024193e+23
0.03139289497959572,0.7780900359574727,1.5830872596379666,0.0045392930883918214,0.05089531438930768,1.0000005474181246,17.402680166039495,402.95360752638175,11828.795671623124,421072.23568674916,17476387.58817775,820227811.8846985,7702.71561104452,142584.7002851836,61925908.97049747,3504318.869377756,1221005303.1194694,519925701055.16376,108056499.25026418,31711594252.938347,10899827721930.607,4553969133258324.0,3986563754.4571104,1019666248725.7333,297251270606164.7,1.010481042130977e+17,4.1506525050245865e+19,169489040940.92676,38718370647648.61,9894278071475248.0,2.872800949475441e+18,9.685986229874477e+20,3.922493124156114e+23
0.03298840287290641,0.7319507857789296,1.3035125103641423,0.005375124654835911,0.06120622140926605,1.0000000331918306,13.508764643388442,249.5341224373779,5922.874005909864,171896.41918566413,5852454.335217798,226451530.07720366,7156.619191075751,102897.54456196958,53483166.41517686,2016274.4562930136,819460847.2466617,417624391028.655,50221679.245541215,16955762571.233208,6804984050223.297,3403558117093106.0,1509341431.4803586,439981165016.37415,147722725987796.7,5.869731760646209e+16,2.8874711179195527e+19,52607218494.08245,13598937947312.166,3964463438996076.0,1.32713208799398e+18,5.2356629456256526e+20,2.5405828492366138e+23
0.03638915808640592,0.6290448605793509,1.0030126255933052,0.005027181868248259,0.06825719672435861,1.00000038914136,14.072513907825451,264.38052080884415,6282.968862533843,180430.87467303933,6022126.058203004,226706174.01152197,8294.785845145207,124197.61207126123,71833068.62826067,2475147.502158983,1145817152.046945,649845777340.2717,61735721.71319989,24113547807.160797,11020736408941.754,6134411848677350.0,1836298963.9574258,626661077794.5472,243334963885882.22,1.1007876104371445e+17,6.0264417867715715e+19,62760200102.07189,19173392975658.805,6541083681613102.0,2.531551975708694e+18,1.1367158905564362e+21,6.138462409022523e+23
0.04020112523592719,0.7582218124018384,1.3837586285941923,0.005007230225981643,0.05243899729977571,0.9999998312924304,17.94534258977163,420.5055196614841,12323.346805491805,433125.1242751636,17586819.069429036,801356429.9009655,8176.671088248437,155970.5784719533,69724294.65344852,3876430.2843686226,1415556012.3669634,620422313911.0143,119225557.93004131,37146721745.95174,13380489263726.633,5754730892880042.0,4339233994.632623,1190309807013.836,368357227808898.5,1.3122702343500944e+17,5.549897534691436e+19,180351106911.54904,44551302784491.36,1.2207878989411936e+16,3.762460129265304e+18,1.3294716175260018e+21,5.544913291307505e+23
0.03965975369518877,0.8484946038062595,0.8965223923792807,0.006375603364198647,0.06395195377653737,1.000001192150927,8.137527755970508,93.67150312045993,1396.8722209383122,25540.55275038806,548999.8013602851,13445341.322008703,4499.696923529677,38987.170357852556,21150126.800548464,475072.3988187328,195319073.86809266,103907376693.05492,7419187.706334956,2508155846.2997346,1020447160956.1091,532950418438382.5,140313397.62022102,40737236588.08616,13722250091121.953,5538140148941922.0,2.8462065363240284e+18,3086725099.2611623,791667215496.1809,230188790371205.06,7.743782601745213e+16,3.1083174366933103e+19,1.5766978389164884e+22
