,operator,binding_energy,repressor,inducer_uM,lambda_m1p0,lambda_m2p0,lambda_m3p0,lambda_m0p1,lambda_m0p2,lambda_m0p3,lambda_m1p1,lambda_m2p1,lambda_m1p2
0,O1,-15.3,1.0,0.0,-0.23571216537873801,-0.00264157854836679,6.357400456626171e-05,0.0021071859460257423,-1.3225082095700712e-07,1.894974679040958e-12,2.7495468887294335e-05,-3.079413838881065e-07,-1.5723708466732332e-10
1,O1,-15.3,1.0,0.1,-0.23510489351282554,-0.002664134288791557,6.38009865248144e-05,0.0021078748064036106,-1.3205646088968273e-07,1.8883603022332536e-12,2.7456702094048402e-05,-3.074049924861934e-07,-1.56323404228892e-10
2,O1,-15.3,1.0,1.0,-0.22566421883055016,-0.003017507988028596,6.73721359563959e-05,0.00211980469801348,-1.291253989200604e-07,1.7883709043473668e-12,2.6873324310787953e-05,-2.9938138741105283e-07,-1.424448863739769e-10
3,O1,-15.3,1.0,5.0,-0.15234914967576826,-0.0059446068706039724,9.882041469118872e-05,0.002288733195308376,-1.1262435511695346e-07,1.1959970426402777e-12,2.3549988819345023e-05,-2.588073435668677e-07,-5.289072628365811e-11
4,O1,-15.3,1.0,7.5,-0.11552265029645083,-0.007673972896094764,0.0001186618543160964,0.0024821059919614926,-1.1158866073991492e-07,1.0624694615989522e-12,2.288214122229462e-05,-2.493537999091691e-07,-2.6279452045125703e-11
5,O1,-15.3,1.0,10.0,-0.08932546497849198,-0.009065630319074994,0.0001347577764608496,0.0027100639442685917,-1.16121026203704e-07,1.0668933908105877e-12,2.288840287744374e-05,-2.4444921384737716e-07,-1.8422321555377004e-11
6,O1,-15.3,1.0,25.0,-0.03135722534905235,-0.012774542624079266,0.00017602908261765557,0.0037252192606441015,-1.528917776739252e-07,1.5313491900224922e-12,2.456817002051222e-05,-2.2930776294206154e-07,-4.7667663258204315e-11
7,O1,-15.3,1.0,50.0,-0.014712188085961935,-0.01401527624448959,0.00018903101285293685,0.004216826003306662,-1.7335239328159475e-07,1.824514261203275e-12,2.5498987063047978e-05,-2.2188357793522666e-07,-7.037437827861252e-11
8,O1,-15.3,1.0,75.0,-0.010507116206145506,-0.014336423319802663,0.00019230366884298662,0.004356881605642045,-1.7929184604837547e-07,1.9107692669019684e-12,2.5756497965285325e-05,-2.1964572849334473e-07,-7.709555373932419e-11
9,O1,-15.3,1.0,100.0,-0.008787514814130159,-0.014469662402996603,0.00019365987958549,0.004416869066100816,-1.8184542935124486e-07,1.947916433920556e-12,2.5866181811285326e-05,-2.1872076441802432e-07,-7.994420853460497e-11
10,O1,-15.3,1.0,250.0,-0.0064827941540691264,-0.014656042124925415,0.00019557559631897648,0.004503661883214149,-1.8555829526860586e-07,2.0020713920287025e-12,2.6028607760378064e-05,-2.1750658448151495e-07,-8.402717674546295e-11
11,O1,-15.3,1.0,500.0,-0.005828439722981084,-0.014703293040385514,0.00019603967136863176,0.004524683966841689,-1.864544131775183e-07,2.0151517879322667e-12,2.6064386420947395e-05,-2.1710701574477406e-07,-8.50787039361869e-11
