operator,binding_energy,repressor,inducer_uM,m1p0,m2p0,m3p0,m0p1,m0p2,m0p3
O1,-15.3,0.0,0,18.720041486789363,432.6067996488456,11706.453789379495,9360.020743394769,88236784.89322227,837702994272.9501
O1,-15.3,0.0,0.1,18.720041486789363,432.6067996488456,11706.453789379495,9360.020743394769,88236784.89322227,837702994272.9501
O1,-15.3,0.0,5,18.720041486789363,432.6067996488456,11706.453789379495,9360.020743394769,88236784.89322227,837702994272.9501
O1,-15.3,0.0,10,18.720041486789363,432.6067996488456,11706.453789379495,9360.020743394769,88236784.89322227,837702994272.9501
O1,-15.3,0.0,25,18.720041486789363,432.6067996488456,11706.453789379495,9360.020743394769,88236784.89322227,837702994272.9501
O1,-15.3,0.0,50,18.720041486789363,432.6067996488456,11706.453789379495,9360.020743394769,88236784.89322227,837702994272.9501
O1,-15.3,0.0,75,18.720041486789363,432.6067996488456,11706.453789379495,9360.020743394769,88236784.89322227,837702994272.9501
O1,-15.3,0.0,100,18.720041486789363,432.6067996488456,11706.453789379495,9360.020743394769,88236784.89322227,837702994272.9501
O1,-15.3,0.0,250,18.720041486789363,432.6067996488456,11706.453789379495,9360.020743394769,88236784.89322227,837702994272.9501
O1,-15.3,0.0,500,18.720041486789363,432.6067996488456,11706.453789379495,9360.020743394769,88236784.89322227,837702994272.9501
O1,-15.3,0.0,1000,18.720041486789363,432.6067996488456,11706.453789379495,9360.020743394769,88236784.89322227,837702994272.9501
O1,-15.3,0.0,5000,18.720041486789363,432.6067996488456,11706.453789379495,9360.020743394769,88236784.89322227,837702994272.9501
O1,-15.3,1.0,0,8.40078029895354,160.8883397050674,3962.082462155001,4200.390149476798,18841004.238813728,89563105857.1287
O1,-15.3,1.0,0.1,8.42164559124139,161.4032147760938,3976.2679697809567,4210.82279562071,18931933.574023984,90193901874.60477
O1,-15.3,1.0,5,11.818499371194637,247.80988728938598,6394.9936877711125,5909.249685597371,36489921.327761605,234257389494.3258
O1,-15.3,1.0,10,14.882214262856163,328.7870508023708,8706.883953891163,7441.107131428156,56881750.04950909,445367770447.9991
O1,-15.3,1.0,25,17.600009106705556,402.10112204988627,10822.008455499603,8800.004553352966,78435983.95018977,707439340116.2615
O1,-15.3,1.0,50,18.311125039055977,421.45239231532133,11382.803445215819,9155.56251952809,84597442.19121662,788584468621.0587
O1,-15.3,1.0,75,18.481393014343052,426.09466737059586,11517.467165107832,9240.69650717164,86104312.89812706,808817002608.8728
O1,-15.3,1.0,100,18.550864137297502,427.9897087349659,11572.452830863016,9275.432068649008,86722622.12156186,817162054158.7433
O1,-15.3,1.0,250,18.647196544286356,430.61836866945384,11648.738144263676,9323.598272143243,87583345.00446324,828820300420.4689
O1,-15.3,1.0,500,18.670684274055656,431.2594437083457,11667.34485860874,9335.342137027812,87793794.46431139,831678085749.4232
O1,-15.3,1.0,1000,18.680757098321596,431.53439044242515,11675.325255923242,9340.37854916074,87884117.34196,832905497688.7092
O1,-15.3,1.0,5000,18.68800370324222,431.7321999135179,11681.066828021787,9344.001851621122,87949123.76678428,833789206384.9194
O1,-15.3,2.0,0,5.415521077757518,90.33585314001094,2061.33466577545,2707.760538878759,8026769.888886747,25772878187.700027
O1,-15.3,2.0,0.1,5.432875408757696,90.72349704398067,2071.466131301851,2716.4377043788527,8076855.362803254,26008143667.256283
O1,-15.3,2.0,5,8.6350165537688,166.6819276541058,4121.898835469674,4317.508276884395,19873826.874788873,96808072709.07285
O1,-15.3,2.0,10,12.350265532112502,261.70207394937165,6789.2323378985975,6175.132766056235,39725115.276869595,264965780208.99866
O1,-15.3,2.0,25,16.60643518044141,375.1716056560648,10043.200652803185,8303.217590220827,70186720.26555242,602961377204.1143
O1,-15.3,2.0,50,17.919691264639038,410.79293224805014,11073.782659856206,8959.845632319468,81179463.05281039,743251930023.8068
O1,-15.3,2.0,75,18.2487526673024,419.75267235841795,11333.510139926439,9124.37633365117,84048491.93879315,781251068070.6489
O1,-15.3,2.0,100,18.384717191109154,423.45844105640634,11440.989124286156,9192.358595554468,85247240.32665744,797290875942.5452
O1,-15.3,2.0,250,18.57491632457548,428.6459332765692,11591.495424861432,9287.458162287963,86937163.02408147,820063446019.6038
O1,-15.3,2.0,500,18.621586647096414,429.9194406967084,11628.453328752792,9310.793323548272,87354143.75629517,825711137614.3112
O1,-15.3,2.0,1000,18.641637242757387,430.46664180021264,11644.334520502778,9320.818621378854,87533567.54896963,828144769599.6818
O1,-15.3,2.0,5000,18.656075392309813,430.8607011350387,11655.7715526143,9328.03769615502,87662872.15285808,829899897669.5647
O1,-15.3,3.0,0,3.9956477138589284,59.90165536750323,1283.2828084325713,1997.8238569294576,4446154.144258222,10877525047.50239
O1,-15.3,3.0,0.1,4.009823317681882,60.1912218924806,1290.4910902931963,2004.9116588409252,4476816.862215353,10987156940.452381
O1,-15.3,3.0,5,6.802630240981253,122.25281322753636,2908.9367605456764,3401.315120490629,12505135.083911346,49248960237.79835
O1,-15.3,3.0,10,10.55458697151375,215.13681320427213,5472.804127234467,5277.293485756932,29323705.298502903,170532640111.52112
O1,-15.3,3.0,25,15.719047258800623,351.2393811312125,9352.838480083814,7859.523629400513,63177646.728244275,518178278746.1594
O1,-15.3,3.0,50,17.544642456716005,400.5970571106215,10778.459681550117,8772.321228357969,77965230.10364845,701346571202.1906
O1,-15.3,3.0,75,18.021896378676736,413.57441204205406,11154.392483913212,9010.948189338364,82065687.21958575,754930430588.8202
O1,-15.3,3.0,100,18.221519947477983,419.0106905260059,11311.994150300681,9110.759973739046,83809324.63362546,778062306110.6272
O1,-15.3,3.0,250,18.50319428608166,426.6893065268076,11534.72007641162,9251.597143040852,86298131.71645905,811430204073.2765
O1,-15.3,3.0,500,18.572746563412615,428.5867322429829,11589.777465383373,9286.373281706447,86917799.23665377,819801452529.8179
O1,-15.3,3.0,1000,18.602680888599,429.40352424365085,11613.480707191671,9301.340444299514,87185118.56889558,823420457404.8167
O1,-15.3,3.0,5000,18.624255993849754,429.9922873053522,11630.567487491919,9312.127996924912,87378020.84522969,826034876481.6234
O1,-15.3,4.0,0,3.1656570221943174,43.57170259498365,885.0971003603881,1582.828511097156,2831578.6595731047,5635311591.729253
O1,-15.3,4.0,0.1,3.1775234636927143,43.79574389332893,890.4337759251355,1588.7617318463526,2852147.8943047035,5694999625.421981
O1,-15.3,4.0,5,5.611785988262668,94.73882645277016,2176.678717442468,2805.892994131357,8602030.881378138,28515165959.643303
O1,-15.3,4.0,10,9.214793358835212,181.14331389255642,4522.571975777695,4607.396679417658,22543503.743414685,116320840999.57985
O1,-15.3,4.0,25,14.921686236240609,329.8433443665308,8737.233076163291,7460.843118120332,57171816.92225174,448649575566.32245
O1,-15.3,4.0,50,17.184970922016475,390.83598231137915,10495.979448133678,8592.485461008218,74938845.7359318,662549701384.5713
O1,-15.3,4.0,75,17.800611086472554,407.55379902130727,10979.933343970688,8900.305543236462,80152477.05465743,729785363402.4014
O1,-15.3,4.0,100,18.061194545899177,414.6442323994448,11185.401809672334,9030.597272949633,82407615.47402751,759450504098.3582
O1,-15.3,4.0,250,18.43202398787535,424.7483043592939,11478.406629915095,9216.011993937676,85666145.82101482,802918394806.6354
O1,-15.3,4.0,500,18.52416200187713,427.2612605883195,11551.315552283862,9262.081000938782,86484727.79305713,813948343222.3097
O1,-15.3,4.0,1000,18.56388701295301,428.3450085406135,11582.762947395488,9281.943506476555,86838753.62569886,818732212561.3434
O1,-15.3,4.0,5000,18.592544951534656,429.12694252566683,11605.454160240417,9296.272475767462,87094560.71281058,822193952977.2914
O1,-15.3,5.0,0,2.621176553368362,33.632502763009725,652.8148170429288,1310.5882766841803,1966756.5918891188,3317736716.7842436
O1,-15.3,5.0,0.1,2.6313472882597555,33.81166808656573,656.9163466745958,1315.673644129878,1981490.6457434017,3353873050.7778454
O1,-15.3,5.0,5,4.775758664115153,76.29049708231918,1697.6379974947067,2387.879332057583,6286532.979732102,18035904445.52025
O1,-15.3,5.0,10,8.176830835530062,155.37745890646,3810.4702270267585,4088.415417765078,17878285.229824577,82969717741.37764
O1,-15.3,5.0,25,14.201313453431895,310.6117083871457,8185.352008525259,7100.656726715939,51986317.03169172,391085622303.5281
O1,-15.3,5.0,50,16.83974993961793,381.48324193155025,10225.555876574914,8419.874969808963,72085934.38725547,626577602313.3679
O1,-15.3,5.0,75,17.58469406625395,401.6850419404539,10809.960674606007,8792.347033127182,78305638.0377036,705750781507.0331
O1,-15.3,5.0,100,17.90366584224741,410.35691972593105,11061.14831764487,8951.832921123905,81040905.81560895,741430868702.4016
O1,-15.3,5.0,250,18.361399087744307,422.8227455404085,11422.549700490179,9180.699543872133,85041102.00866169,794525884500.8774
O1,-15.3,5.0,500,18.475830962456005,425.9429685779807,11513.065891211518,9237.915481227941,86054896.7270509,808151132312.8914
O1,-15.3,5.0,1000,18.525254601440814,427.291065702841,11552.180379775458,9262.627300720313,86494456.11060873,814079690530.0448
O1,-15.3,5.0,5000,18.56094171281963,428.26465100552286,11580.431101668755,9280.470856409875,86812482.69887444,818376939094.2073
O1,-15.3,6.0,0,2.2365063242709655,27.058095270760564,504.9197839792298,1118.2531621354797,1449376.4718348128,2131703894.2149973
O1,-15.3,6.0,0.1,2.2453926363225096,27.2053275407998,508.171572006642,1122.6963181612516,1460450.086167419,2155308519.313241
O1,-15.3,6.0,5,4.156530944067834,63.20702926044454,1365.827301292846,2078.2654720339137,4800214.434652225,12164395800.355291
O1,-15.3,6.0,10,7.34902960196413,135.27006323858282,3261.028497140215,3674.5148009820487,14530973.52497271,61317135526.38191
O1,-15.3,6.0,25,13.54729215869513,293.2414178231811,7688.206683835518,6773.646079347527,47478120.73627679,343013793698.65314
O1,-15.3,6.0,50,16.508125788028558,372.5144602695548,9966.465063805166,8254.06289401429,69393470.85568468,593177125363.2109
O1,-15.3,6.0,75,17.37395231169631,395.96262773810844,10644.31070965124,8686.976155848226,76522131.40270503,682765884576.344
O1,-15.3,6.0,100,17.74886129134054,406.1466799830426,10939.172103785448,8874.430645670294,79708038.55263501,723979969174.938
O1,-15.3,6.0,250,18.291313340309596,420.91245160980077,11367.143985765933,9145.65667015493,84422898.83940762,786250584360.1685
O1,-15.3,6.0,500,18.427751465933998,424.63179965347643,11475.026801663382,9213.875732967015,85628273.74787739,802409152151.5673
O1,-15.3,6.0,1000,18.486782648110136,426.24166698340684,11521.732150173086,9243.391324055186,86152209.58014376,809462550721.868
O1,-15.3,6.0,5000,18.529445728910247,427.40539706187525,11555.497845781734,9264.72286445528,86531777.82035324,814583648532.1597
O1,-15.3,8.0,0,1.7290218331440808,19.05596079505314,333.25786695173053,864.5109165720362,886207.8246103909,1048577952.0735945
O1,-15.3,8.0,0.1,1.7361041298858926,19.161786006173003,335.45454883360657,868.0520649429442,893128.6872505903,1060367987.5113041
O1,-15.3,8.0,5,3.3006122370834468,46.1370202297573,946.4384284496691,1650.3061185417241,3069826.2499113777,6338736076.6569
O1,-15.3,8.0,10,6.111587031492497,106.12905221529243,2477.5937555946143,3055.7935157462434,10154174.543757243,36334083693.392365
O1,-15.3,8.0,25,12.40472794993032,263.12926565513305,6829.798001065319,6202.363974965158,40063754.4857068,268245806088.9697
O1,-15.3,8.0,50,15.8825765955022,355.64053247225615,9479.661619211707,7941.288297751271,64443660.228233896,533209137617.39606
O1,-15.3,8.0,75,16.967267752639618,384.9360694209152,10325.362314993563,8483.633876319924,73133809.06303938,639721439847.686
O1,-15.3,8.0,100,17.447146799053638,397.9494823518432,10701.815735291093,8723.573399526982,77139437.80576894,690696123719.8385
O1,-15.3,8.0,250,18.15273479517537,417.13695812300915,11257.66539410361,9076.367397587605,83206617.86878207,770043477427.7421
O1,-15.3,8.0,500,18.332339287202707,422.03060776291255,11399.57370244781,9166.169643601346,84784524.88894269,791088261142.0499
O1,-15.3,8.0,1000,18.410316133793263,424.156388103524,11461.235323842526,9205.158066896642,85473804.51370479,800333074852.1812
