operator,binding_energy,repressor,channcap,pc
O1,-15.3,0.0,0.0,"[0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333
 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333]"
O1,-15.3,1.0,0.7316990083979876,"[5.15176233e-001 4.74799583e-004 8.03848616e-209 2.01807897e-219
 5.88889027e-104 4.15445005e-041 1.26587877e-023 3.14130924e-016
 1.12650182e-005 4.78489180e-003 6.49071139e-002 4.14645697e-001]"
O1,-15.3,2.0,0.9514053213450067,"[4.32523635e-01 2.49484642e-03 7.56585669e-02 6.42647241e-02
 5.95120000e-84 8.36928548e-45 2.51454963e-27 3.69065257e-19
 8.98390859e-07 1.46317540e-03 3.80077498e-02 3.85586404e-01]"
O1,-15.3,3.0,1.082408494859098,"[3.90859736e-01 8.64947309e-03 5.28087822e-02 1.76146457e-01
 1.83727772e-88 3.73416305e-52 1.60920584e-32 5.68635963e-23
 4.33749761e-08 3.66278894e-04 1.94269791e-02 3.51742250e-01]"
O1,-15.3,4.0,1.1740179715614676,"[3.62998983e-01 1.48231173e-02 4.07879061e-02 2.21687390e-01
 1.12176297e-74 9.33157095e-52 1.08158335e-33 3.70650923e-24
 1.22577592e-08 2.04030582e-04 1.50332061e-02 3.44465355e-01]"
O1,-15.3,5.0,1.2373448345625295,"[3.47448652e-01 1.58501137e-02 3.35706211e-02 2.44945572e-01
 6.34703259e-50 2.46091083e-49 2.23372795e-34 2.86874614e-25
 2.77458084e-09 1.00501619e-04 1.08607709e-02 3.47223766e-01]"
O1,-15.3,6.0,1.2813148498198847,"[3.37374428e-01 1.57754773e-02 2.93219521e-02 2.57980494e-01
 1.75561331e-09 9.87993070e-41 5.65887768e-32 1.30131327e-24
 1.68161028e-09 7.36768344e-05 9.47283386e-03 3.50001134e-01]"
O1,-15.3,7.0,1.3144940300729886,"[3.27203905e-01 1.52797333e-02 3.58833742e-02 2.44781282e-01
 4.51756644e-02 6.78948852e-48 3.97183654e-39 1.69055080e-30
 8.33304377e-12 6.40076340e-06 3.24546228e-03 3.28424178e-01]"
O1,-15.3,8.0,1.343567692515345,"[3.18694256e-01 1.49825906e-02 3.98610882e-02 2.33879242e-01
 8.09499808e-02 5.58371145e-58 4.16136734e-48 1.39212509e-37
 1.41522866e-14 3.51596314e-07 8.97153266e-04 3.10735337e-01]"
O1,-15.3,9.0,1.3694531556396938,"[3.11711456e-01 1.47986094e-02 4.14023672e-02 2.26249650e-01
 1.06667604e-01 4.46490914e-67 1.49457851e-56 1.81053530e-44
 2.71414302e-17 2.02009490e-08 2.55383464e-04 2.98914910e-01]"
O1,-15.3,10.0,1.3926574097914821,"[3.05882237e-01 1.47316822e-02 4.12416344e-02 2.20730031e-01
 1.26080515e-01 4.05457524e-75 2.11494599e-64 5.33976769e-51
 6.03894083e-20 1.21769649e-09 7.52907682e-05 2.91258609e-01]"
O1,-15.3,11.0,1.413567816835403,"[3.00788968e-01 1.47937052e-02 4.03096183e-02 2.16335795e-01
 1.41330843e-01 8.70481328e-82 2.26293833e-71 5.76377819e-57
 1.76418442e-22 8.26648770e-11 2.32453633e-05 2.86417825e-01]"
O1,-15.3,12.0,1.4323601799349985,"[2.96502456e-01 1.49088368e-02 3.84953074e-02 2.12998926e-01
 1.53552370e-01 2.64047949e-86 3.68393272e-77 3.80345727e-62
 8.84213573e-25 7.01455891e-12 7.92045823e-06 2.83534183e-01]"
O1,-15.3,13.0,1.4494938291128159,"[2.92665309e-01 1.51039034e-02 3.64947370e-02 2.10145567e-01
 1.63680695e-01 8.41651583e-90 4.30862273e-82 8.82878247e-67
 5.45493414e-27 6.34195109e-13 2.78646140e-06 2.81907002e-01]"
O1,-15.3,14.0,1.4648571577135856,"[2.89424532e-01 1.53033162e-02 3.40563851e-02 2.07795151e-01
 1.72218686e-01 2.56524242e-91 1.45712195e-85 2.13781136e-70
 6.91790846e-29 7.65208540e-14 1.07649590e-06 2.81200852e-01]"
O1,-15.3,15.0,1.4788099605214542,"[2.86694018e-01 1.53964126e-02 3.15819293e-02 2.05762117e-01
 1.79442256e-01 8.95568801e-91 1.67875513e-87 6.55318508e-73
 1.80939159e-30 1.24841503e-14 4.72929413e-07 2.81122794e-01]"
O1,-15.3,16.0,1.4915085835279749,"[2.84273521e-01 1.56651804e-02 2.87204145e-02 2.04168345e-01
 1.85724942e-01 5.29668413e-89 1.26694766e-88 6.66960575e-75
 5.91677841e-32 2.19798678e-15 2.17035829e-07 2.81447380e-01]"
O1,-15.3,17.0,1.5029460374132602,"[2.82176920e-01 1.59151538e-02 2.59086284e-02 2.02742434e-01
 1.91164253e-01 2.92447241e-85 2.15759850e-88 5.91485263e-76
 3.63046674e-33 4.97110305e-16 1.10762300e-07 2.82092501e-01]"
O1,-15.3,18.0,1.513282906962111,"[2.80417194e-01 1.61841480e-02 2.29453661e-02 2.01578249e-01
 1.95925598e-01 3.44083119e-80 4.76873395e-87 2.95400490e-76
 5.10189364e-34 1.28779813e-16 5.87990758e-08 2.82949386e-01]"
O1,-15.3,20.0,1.4766048150273543,"[2.10037241e-01 7.88172040e-03 1.06525464e-01 1.63108753e-01
 2.17265943e-01 6.02622516e-53 3.33144681e-63 1.22420276e-57
 2.44908237e-27 1.16728418e-13 1.09075246e-06 2.95179788e-01]"
O1,-15.3,21.0,1.4858785730144184,"[2.09944082e-01 7.94964512e-03 1.03222350e-01 1.62540294e-01
 2.20228908e-01 1.07462021e-45 6.95843084e-59 9.27625220e-56
 1.76728652e-27 7.71765462e-14 8.71920674e-07 2.96113849e-01]"
O1,-15.3,22.0,1.4942525926238348,"[2.10030879e-01 8.03154222e-03 9.98508800e-02 1.62057003e-01
 2.22939987e-01 1.06904943e-37 2.60152204e-54 2.06523446e-53
 1.67680547e-27 5.62971491e-14 7.24012540e-07 2.97088985e-01]"
O1,-15.3,23.0,1.5018078369335583,"[2.10267158e-01 8.10236742e-03 9.64946789e-02 1.61635427e-01
 2.25413028e-01 4.90841113e-29 3.62572974e-49 1.11423527e-50
 1.97197517e-27 4.44934314e-14 6.15439232e-07 2.98086725e-01]"
O1,-15.3,24.0,1.5087149633359584,"[2.10667706e-01 8.20843822e-03 9.31730972e-02 1.61277686e-01
 2.27585136e-01 1.16551146e-19 2.09539310e-43 1.76207853e-47
 3.10610941e-27 3.93223545e-14 5.51536335e-07 2.99087385e-01]"
O1,-15.3,26.0,1.5207440030609591,"[2.11580064e-01 8.40052603e-03 8.66822981e-02 1.61227928e-01
 2.29093273e-01 4.35564838e-03 2.30209858e-33 2.99884611e-42
 2.39236309e-27 2.30275451e-14 3.34407470e-07 2.98659929e-01]"
O1,-15.3,28.0,1.531447022022152,"[2.12958161e-01 8.60579206e-03 7.96539544e-02 1.62609414e-01
 2.22148414e-01 2.41530123e-02 2.14070250e-35 5.90201347e-46
 1.72234272e-30 4.73740771e-16 5.41617778e-08 2.89871198e-01]"
O1,-15.3,30.0,1.5414178185883833,"[2.14406594e-01 8.84789510e-03 7.28032684e-02 1.63799126e-01
 2.16273234e-01 4.07731371e-02 2.69470952e-37 3.70563725e-49
 1.18716368e-33 9.47305740e-18 8.49347367e-09 2.83096736e-01]"
O1,-15.3,32.0,1.5507405745153005,"[2.15980204e-01 9.08683965e-03 6.60622589e-02 1.64880054e-01
 2.11221578e-01 5.49207190e-02 4.78899137e-39 1.99117357e-52
 9.91409291e-37 1.93675750e-19 1.30625148e-09 2.77848345e-01]"
O1,-15.3,34.0,1.559479578702791,"[2.17659164e-01 9.34457306e-03 5.93990107e-02 1.65897426e-01
 2.06822184e-01 6.70997048e-02 1.97581004e-40 2.70804971e-55
 1.09712202e-39 4.37767402e-21 3.21402965e-10 2.73777938e-01]"
O1,-15.3,37.0,1.5711253646461139,"[2.20281186e-01 9.67770501e-03 4.96063302e-02 1.67253621e-01
 2.01250067e-01 8.25161304e-02 1.26450830e-41 1.41899760e-58
 1.12143314e-43 2.31220432e-23 2.70860720e-11 2.69414961e-01]"
