operator,binding_energy,repressor,inducer_uM,m1p0,m2p0,m3p0,m0p1,m1p1,m0p2,m2p1,m1p2,m0p3
O1,-15.3,2.0,50,13.795781266293963,266.7485440476674,6535.064102691791,8531.497320154138,129304.70590887939,92729149.73973069,2686977.571819718,1471188767.811847,1074320720287.8124
O1,-15.3,2.0,75,14.049114851093584,272.6704275835794,6692.899860037689,8688.162177237697,133605.59731028392,95821193.72495936,2784978.0912373723,1539493770.6253784,1124811670059.738
O1,-15.3,2.0,100,14.153789462471018,275.12006056391095,6758.230989644326,8752.8943603022,135399.09462504138,97110668.50706398,2825901.737764863,1568214864.9475691,1146052111691.7502
O1,-15.3,2.0,250,14.300217502489225,278.54947587146034,6849.732025496538,8843.447430287384,137923.9941275403,98926071.35161674,2883569.3584882673,1608881728.7753303,1176136658332.444
O1,-15.3,2.0,500,14.336147487382027,279.3914398688119,6872.203587276881,8865.666987540737,138546.3841958167,99373582.07538302,2897794.1936459187,1618947637.5289369,1183584952309.2234
O1,-15.3,2.0,1000,14.351583759524337,279.75322025216775,6881.8601163474395,8875.212999312484,138814.11887183617,99566090.40912504,2903914.4794090413,1623282729.3196855,1186792925554.7905
O1,-15.3,2.0,5000,14.362699221097614,280.01375475243776,6888.81453958519,8882.086945318682,139007.0387226815,99704805.44473472,2908324.969618597,1626408304.0840757,1189105936758.8481
O1,-15.3,3.0,0,3.076117840673286,36.97172271318274,687.0338339435627,1902.3130706465793,7904.58836489359,5647892.426264138,107167.82913198056,27883994.391679548,19798940744.406837
O1,-15.3,3.0,0.1,3.0870311773300756,37.15665916126231,691.1269578524862,1909.062022719734,7957.558909952034,5685737.111103351,108035.09629604075,28152297.1373915,19990132327.709827
O1,-15.3,3.0,5,5.237121434659981,77.18194671497297,1628.8220296037082,3238.7069461603546,21566.30447576965,15415534.190489065,353697.9431269831,117424839.82326116,83913494644.06828
O1,-15.3,3.0,10,8.12562959345129,137.84391498083207,3151.73390119641,5024.999388410743,49060.24152752573,35107433.72709062,912228.7492559407,378044154.1701205,272313258089.91058
O1,-15.3,3.0,25,12.101577803480088,227.41914541737452,5490.850463025956,7483.779204518502,102028.59199527868,73126201.87661768,2070568.9609908678,1058032223.1740552,769696148186.8953
O1,-15.3,3.0,50,13.507043585024244,260.0110681196842,6355.667978947786,8352.938031079168,124471.92279928768,89255022.84545809,2577096.316876277,1395416064.837669,1018349520581.0248
O1,-15.3,3.0,75,13.874465634424016,268.58682313726837,6584.044387664356,8580.156777678592,130634.50227881658,93685154.17684397,2717257.529632307,1492221415.2597485,1089864455965.6571
O1,-15.3,3.0,100,14.028149282800618,272.1799767539751,6679.822513325773,8675.196785070739,133247.523104213,95563753.62429293,2776811.5806316077,1533776181.3999362,1120583966840.205
O1,-15.3,3.0,250,14.245001122312107,277.25592280858234,6815.2131214279225,8809.300843420326,136969.69647683742,98239921.15815881,2861766.1492755436,1593479651.2517073,1164741168891.965
O1,-15.3,3.0,500,14.29854707988133,278.51033660561427,6848.687487625013,8842.414415137371,137895.0855665459,98905285.57619707,2882908.7413902846,1608414587.484096,1175791011139.618
O1,-15.3,3.0,1000,14.32159252904995,279.05034451805153,6863.099603940457,8856.666030649196,138294.12428494505,99192201.50862058,2892028.287542032,1614865872.4118059,1180564553458.644
O1,-15.3,3.0,5000,14.338202513327714,279.43960125744144,6873.489056706873,8866.93785328886,138582.01589579103,99399202.01113346,2898608.6732250606,1619524400.5010793,1184011748748.3042
O1,-15.3,5.0,0,2.017957671825831,20.320194449006074,334.4878642621451,1247.9324693031995,3579.949058031463,2558825.767981087,40892.17100792241,8972629.029561544,6348551082.34307
O1,-15.3,5.0,0.1,2.0257877883469653,20.432683258912295,336.7353441675213,1252.7747187295154,3605.9547885093484,2577398.4599972763,41255.90077476732,9065832.26193724,6414678294.866413
O1,-15.3,5.0,5,3.6766996234634037,47.47246587726927,923.8894352725604,2273.720981567922,11067.276958785096,7907854.219983642,160583.25352655232,45178282.92239909,32137952905.0315
O1,-15.3,5.0,10,6.295073294385466,98.74567108953869,2160.917937631097,3892.9586803945563,30469.3556974546,21787702.256951258,528671.4832919321,192250333.35731947,137794975573.47113
O1,-15.3,5.0,25,10.933124432111978,200.62696534397597,4784.370042564848,6761.191968347861,84790.3789511828,60744720.23965178,1686627.0692992627,816827222.6864899,592584528058.831
O1,-15.3,5.0,50,12.964369948456088,247.3848961850901,6020.017684770411,8017.341433609187,115591.22612308373,82871912.96435466,2375885.4082202245,1258978530.1823504,917678703208.7793
O1,-15.3,5.0,75,13.53787795395787,260.7299373032688,6374.799738247586,8372.006450546518,124984.47823932732,89623466.06320417,2588737.721829782,1403402393.3620934,1024246773100.9966
O1,-15.3,5.0,100,13.7834438414962,266.4603944866376,6527.387735459769,8523.867677526852,129096.69403226634,92579609.85562772,2682242.787090781,1467905832.6442225,1071894824303.815
O1,-15.3,5.0,250,14.135837624209039,274.6998320403162,6747.021919837132,8741.792700624275,135090.828515085,96889030.161424,2818865.455198433,1563268440.575913,1142393608588.055
O1,-15.3,5.0,500,14.22393494754546,276.7625190225249,6802.048137185241,8796.273272122347,136606.31017840657,97978646.32948221,2853466.0838485765,1587624860.5097811,1160409836652.7502
O1,-15.3,5.0,1000,14.261984603008347,277.65374811065345,6825.82853463342,8819.80367502566,137262.93851739692,98450763.95514335,2868465.0023756274,1598208384.4899652,1168239627968.7104
O1,-15.3,5.0,5000,14.289458934312211,278.29740132127876,6843.004828956149,8836.794169139512,137737.8479034558,98792229.21921243,2879315.6964630717,1605874358.6938112,1173911478473.2173
O1,-15.3,7.0,0,1.5014654495398225,13.340136417928631,200.29465255153815,928.526668844473,2066.759747530909,1478129.7140053236,20856.167215519577,4105428.945035222,2898975573.946504
O1,-15.3,7.0,0.1,1.507535232111361,13.41672611749418,201.70189943859293,932.2803033613203,2082.211104537645,1489165.4577451781,21047.549025048884,4149021.246876038,2929831964.369684
O1,-15.3,7.0,5,2.8326884756792667,32.90927531893196,597.9496003178049,1751.7730494198718,6766.899181580009,4835124.1145350775,88810.43313048275,22315372.215572305,15832732238.659363
O1,-15.3,7.0,10,5.137653556454209,75.20501248853652,1580.7447831175878,3177.1946726261035,20801.778195664694,14868572.393158616,339059.2571983889,111521667.24913433,79672340358.63269
O1,-15.3,7.0,25,9.970440487943238,178.80928585786307,4212.79432638157,6165.855278587973,71605.87773383997,51279801.54090955,1396862.2305507113,644377086.0589195,466371170144.4916
O1,-15.3,7.0,50,12.463618156901767,235.77987625453432,5712.187802097942,7707.669817470631,107635.24224570188,77154567.62520085,2196473.3242014935,1139972910.9885426,829995996266.3972
O1,-15.3,7.0,75,13.217234380909082,253.2620394452884,6176.1629519297885,8173.716168853956,119696.1496075429,85822222.05309334,2468773.0974551835,1321584077.7859488,963853980212.4578
O1,-15.3,7.0,100,13.547129260787234,260.9456509529833,6380.5411138051495,8377.7275889286,125138.42701840242,89734129.34119773,2592234.8635679055,1405803448.767853,1026019831241.7335
O1,-15.3,7.0,250,14.028334547495342,272.18431039977133,6679.938061789879,8675.311356489594,133250.68560882064,95566027.12194934,2776883.7014283584,1533826652.306667,1120621282569.0146
O1,-15.3,7.0,500,14.150097450354874,275.0336316310113,6755.925547914819,8750.611175448106,135335.67314117253,97065069.26545085,2824454.0404654066,1567196872.5555444,1145299162939.3738
O1,-15.3,7.0,1000,14.202870774430915,276.2692265946128,6788.8870904879195,8783.246899425847,136243.34280775787,97717673.72398074,2845176.915034363,1581782419.45905,1156087863824.3845
O1,-15.3,7.0,5000,14.2410456190794,277.16327290969616,6812.740948399121,8806.854743643029,136901.43606916745,98190842.41456802,2860206.9136089096,1592379435.7960374,1163927225890.905
O1,-15.3,11.0,0,0.9931010202429261,7.46429564957966,98.30756531332784,614.1472001276983,972.5198021077256,696446.4030109885,8293.097738504819,1420076.9010427534,1000361087.1209985
O1,-15.3,11.0,0.1,0.9972744480572651,7.507824108568389,99.01097514125519,616.7281044766949,979.8826296961413,701707.8858064316,8369.642517290942,1435119.921174979,1010980746.9868993
O1,-15.3,11.0,5,1.941376421591246,19.22984301121336,312.82668917759895,1200.5735851346706,3330.3986720140806,2380603.148051232,37431.088668798046,8093453.846505437,5724893473.642466
O1,-15.3,11.0,10,3.7563569571729847,48.910870356827886,956.9605893917814,2322.982156782682,11524.255657058373,8234462.146666586,168541.17520335503,47876377.29038383,34065436932.038193
O1,-15.3,11.0,25,8.47751536303328,145.55645317733956,3350.036075760705,5242.610297736142,53074.87747332046,37985834.43461566,997273.8678856851,422513736.54123545,304628234146.19836
O1,-15.3,11.0,50,11.569842477624986,215.1884722277086,5167.780176821394,7154.946948447313,94019.65929068423,67372899.78499329,1891554.5124687946,943884164.9091632,685803186385.3619
O1,-15.3,11.0,75,12.619452867119051,239.38642904706566,5807.780769288377,7804.040077955734,110086.30274951948,78915834.03423448,2251655.604354624,1176300764.7259398,856749108477.387
O1,-15.3,11.0,100,13.098003618928166,250.48947783137166,6102.480704554322,8099.982276247456,117753.3505604744,84425850.54619709,2424784.7726603555,1291853861.9284935,941922218920.1991
O1,-15.3,11.0,250,13.818160240178045,267.2712815982757,6548.990842461547,8545.336761774553,129682.36313935631,93000648.86713165,2695575.039697969,1477154017.504395,1078728884770.5061
O1,-15.3,11.0,500,14.004698605549754,271.63146782108697,6665.198235927264,8660.694577373124,132847.46116593253,95276127.95991401,2767689.030600199,1527394718.3951557,1115865649943.9238
O1,-15.3,11.0,1000,14.0861011565505,273.53581178757736,6715.976745137779,8711.035004952597,134238.22920329924,96276033.33291736,2799409.6014814894,1549608935.4687574,1132291595422.9016
O1,-15.3,11.0,5000,14.145196577940787,274.9189068001351,6752.865378488775,8747.580409252858,135251.50405132215,97004552.71537976,2822532.810714891,1565846120.2068732,1144300100735.4917
O1,-15.3,16.0,0,0.697782874521483,4.610444862507426,54.535801948796376,431.5184460671719,520.4328875602274,373271.65723394445,3890.77043358133,597277.7295837399,420002902.61761034
O1,-15.3,16.0,0.1,0.7007800631565535,4.63704867053956,54.919407683766394,433.3719484411133,524.3354692161662,376062.79702666955,3925.8575872460447,603433.6860785638,424340248.7877908
O1,-15.3,16.0,5,1.3933502693443265,11.999738337552452,175.9494697467598,861.6667728569049,1800.9178324173777,1288253.0466934002,17616.287130694374,3378012.9758794024,2384219375.816872
O1,-15.3,16.0,10,2.8114932144667155,32.56144160049923,590.3997947876098,1738.6656163301652,6671.8308008784925,4767211.432541969,87301.24387993196,21867401.000061672,15513841619.410822
O1,-15.3,16.0,25,7.14095134845997,116.5754774231842,2609.364151152646,4416.061091082773,38572.26350928094,27591087.277134806,693442.1222362486,268839161.83634275,193138866525.7433
O1,-15.3,16.0,50,10.618056196845316,193.45852781487747,4596.164083174493,6566.349542935179,80371.96636844774,57572294.494550705,1589098.8340203888,757801077.4378847,549341734307.4288
O1,-15.3,16.0,75,11.94419626810368,223.79289778217043,5394.972113664424,7386.452353539273,99629.95359780174,71402974.39476913,2016847.876494592,1023480335.6878097,744288594505.6462
O1,-15.3,16.0,100,12.576807704543157,238.3990190262465,5781.60242610606,7777.66773281509,109413.31031492341,78432228.76394325,2236495.8554666224,1166296024.8841274,849380094846.7714
O1,-15.3,16.0,250,13.564135718562232,261.34222812000723,6391.096835878693,8388.244608990884,125421.6265642549,89937706.63232484,2598668.8015182912,1410223210.8213391,1029283772116.311
O1,-15.3,16.0,500,13.827098736004665,267.4800921083765,6554.554275471197,8550.864444517061,129833.3289568109,93109179.12873182,2699012.245808322,1479540346.051635,1080492393126.5405
O1,-15.3,16.0,1000,13.942811727571394,270.1843321458239,6626.620694461135,8622.422914477133,131794.00293496676,94518751.52904679,2743675.165959796,1510624104.5449498,1103467192127.6807
O1,-15.3,16.0,5000,14.027184498066788,272.15740859775434,6679.220770789088,8674.600160954435,133231.05479843888,95551913.67549193,2776436.019916242,1533513355.364456,1120389633238.9106
O1,-15.3,25.0,0,0.4545030804101847,2.6286030150653543,27.657958288463576,281.07091449341226,250.91580083966338,180391.26585735206,1634.8157972854685,222332.60850309202,156061931.1034057
O1,-15.3,25.0,0.1,0.45649009141541164,2.643304303873203,27.843155244304107,282.29970920625885,252.73765819573282,181696.25687575754,1648.7655909142425,224491.01718706946,157579522.36393744
O1,-15.3,25.0,5,0.9239004229347266,6.755027870922639,86.9832227083676,571.3526099188132,854.3784400589831,612016.363381149,7084.0115385570925,1185391.2542992034,834719929.4898117
O1,-15.3,25.0,10,1.9352677217903707,19.143646478021687,311.1240760725452,1196.7958836139594,3310.867814008219,2366654.7490026783,37162.50618243428,8025826.193641114,5676929405.259378
O1,-15.3,25.0,25,5.5624079678567515,83.7118588177001,1788.5398211310019,3439.8685428525005,24154.522550833575,17267493.719193332,403758.9065773766,138056609.75754666,98748542905.79517
O1,-15.3,25.0,50,9.248566096676663,162.63167842613197,3791.623863760003,5719.438447598999,62347.683299751276,44636582.996022604,1195925.4716842147,530297955.1202886,383104887674.4979
O1,-15.3,25.0,75,10.89484285864833,199.75461721776992,4761.446714703752,6737.518121089531,84248.23271956608,60355431.502674006,1674638.9596033473,809520133.6013542,587229054266.6051
O1,-15.3,25.0,100,11.736195378534422,219.00830142669307,5268.5841450900925,7257.821812780825,96496.09255715726,69151727.47613965,1946796.6949447177,978805169.0528829,711454394485.5454
O1,-15.3,25.0,250,13.129673672220852,251.22568901871333,6122.042403908157,8119.56746700352,118268.13870144622,84795844.59781028,2436435.9671394527,1299714157.4560592,947720007364.6147
O1,-15.3,25.0,500,13.51851684739598,260.27853627877545,6362.786018384675,8360.033280803462,124662.54217577347,89392046.48963274,2581425.4027740858,1398384784.1698818,1020541619349.5068
O1,-15.3,25.0,1000,13.692104985014781,264.327836123673,6470.586663941659,8467.38250665805,127560.8906163484,91475539.77978975,2647299.246794244,1443726708.9957547,1054030318003.641
O1,-15.3,25.0,5000,13.81965155651629,267.30611917859335,6549.919025022031,8546.259003812069,129707.54566193082,93018752.61396082,2696148.382041098,1477552008.0597892,1079022998789.6487
O1,-15.3,37.0,0,0.3102701410188823,1.6316604093574614,15.730356531578805,191.87530403629273,135.4532862598434,97620.71480374853,799.1407388466047,98745.32119368116,69228755.76498993
O1,-15.3,37.0,0.1,0.31164066915211397,1.6404638148617332,15.829656985233541,192.7228573573464,136.39431107735393,98296.00006713187,805.5146052816214,99636.03566457766,69854024.9337158
O1,-15.3,37.0,5,0.6375117535290092,4.08639221812984,47.09100255406024,394.245965939497,444.9545592869627,319281.84505578043,3224.372177504663,481981.2711723548,338786805.1844784
O1,-15.3,37.0,10,1.3671542414647622,11.68190402961177,170.25898901669598,845.4667931626608,1739.1834835773752,1244157.7404781885,16878.95023319226,3215401.1979315174,2269185474.4993067
O1,-15.3,37.0,25,4.296158049720623,58.90268265794345,1190.0897864671567,2656.802455007991,14848.113031282648,10610542.996719446,227868.63887430844,68838908.55746381,49059484907.284386
O1,-15.3,37.0,50,7.891470199123081,132.74244232555807,3021.0094399752275,4880.192065557675,46465.67688946574,33247547.177436553,857619.2243318447,350060179.0816423,251998815546.27487
O1,-15.3,37.0,75,9.752445660801044,173.90608692694235,4084.8841163624897,6031.044348993323,68752.33362867052,49231950.00189026,1334683.1876526983,608565865.5089765,440211589405.6192
O1,-15.3,37.0,100,10.775874045009962,197.045980015087,4690.304790480397,6663.94622288805,82572.72199726038,59152376.60917271,1637626.619631661,787050767.540011,570764906426.4766
O1,-15.3,37.0,250,12.591911673347097,238.74869858725606,5790.872597122967,7787.008241583193,109651.47640308873,78603371.09925835,2241860.046806244,1169834013.5491965,851985902136.8451
O1,-15.3,37.0,500,13.127880433522124,251.183998275378,6120.934580611501,8118.458504168375,118238.96576724513,84774876.55182084,2435775.6092752866,1299268374.887236,947391176427.2162
O1,-15.3,37.0,1000,13.371525768014662,256.8534347046377,6271.6584969550495,8269.132030772726,122229.3211835789,87643009.14285082,2526196.727177114,1360614677.069601,992657253646.1353
O1,-15.3,37.0,5000,13.552308682516543,261.06642629349807,6383.755731025709,8380.930605671565,125224.64976059867,89796110.97208406,2594193.6410424644,1407148710.015725,1027013286797.0745
O1,-15.3,55.0,0,0.21020826083677482,1.0252973146324873,9.201769935232337,129.99567681806792,74.86961720187838,54102.2380769769,408.0236066329735,46337.98820687293,32461362.795416344
O1,-15.3,55.0,0.1,0.21114341240859213,1.0306255231337718,9.256235514256224,130.5739873930906,75.36154865206956,54456.05385131413,411.02855983952406,46720.36910937437,32729442.721279927
O1,-15.3,55.0,5,0.435171475378044,2.4869140271774155,25.885817943840316,269.11598729021097,233.5183482354869,167928.2701619623,1502.6888931191502,202022.5604503936,141783321.27909312
O1,-15.3,55.0,10,0.9491904511729493,7.011483028140875,91.04738390783616,586.992305851282,896.6912716379626,642256.7466855416,7512.8182097898525,1267974.3941185253,892999161.8244718
O1,-15.3,55.0,25,3.202583639499269,39.12892302782111,734.9684949919638,1980.5212327407942,8528.713148960616,6093811.114855414,117451.83985653639,31094098.26400512,22086983955.220413
O1,-15.3,55.0,50,6.467868302223946,102.35000613086282,2251.033042051914,3999.8174424787726,32054.813231264714,22922947.503784105,560556.9498106696,206646709.7743438,148184576330.50375
O1,-15.3,55.0,75,8.427003995931662,144.44608217893028,3321.439207139127,5211.373388328768,52490.12908939516,37566542.9589544,984847.567888112,415950555.48253727,299856470563.49585
O1,-15.3,55.0,100,9.597849279576906,170.43797950680346,3994.5439255997467,5935.439869389092,66758.78528670511,47801426.44472926,1291370.029933027,583885733.8702936,422194036346.79987
O1,-15.3,55.0,250,11.863083693541723,221.9259882895656,5345.640474402286,7336.291245993401,98402.93765166689,70521508.23428683,1989401.682294775,1005924804.2797587,731383703826.1025
O1,-15.3,55.0,500,12.582497238971625,238.5307352951221,5785.094213426415,7781.18622112012,109503.00052830885,78496678.79108152,2238515.8490307415,1167628053.2577467,850361152883.1293
O1,-15.3,55.0,1000,12.9178489415695,246.30485096132125,5991.340642171433,7988.572198146215,114842.3657091613,82333718.27750583,2358962.666972002,1247644428.6500194,909322575577.7479
O1,-15.3,55.0,5000,13.170141670061037,252.16666920929936,6147.0486647808,8144.593408706758,118927.25995312307,85269581.60821302,2451358.6026564334,1309796609.981627,955157602858.3041
O1,-15.3,81.0,0,0.1434054038205837,0.6617540730316535,5.6265203925001614,88.68388166381108,43.36196052281828,31415.16752457083,222.7777609384347,23621.587005163285,16542021.672329871
O1,-15.3,81.0,0.1,0.14404638440470652,0.6650801261984384,5.657888095801526,89.08027290404627,43.630194861830056,31608.578238750193,224.2886680651915,23798.893393609178,16666219.715223022
O1,-15.3,81.0,5,0.2983787761898318,1.5558333757870741,14.880034982641664,184.52152243325386,127.41452070148928,91851.37602403961,745.0320294448376,91224.92974136087,63949969.18493509
O1,-15.3,81.0,10,0.6584317338263435,4.265912429704927,49.61684514932343,407.18316409175605,470.5049745406684,337559.7998988427,3447.2911471903612,520194.04140507925,365700083.893178
O1,-15.3,81.0,25,2.341619217330099,25.11681715877349,432.235981468474,1448.089161833416,4730.265932913826,3380379.4447309384,57472.024720849484,13362438.112923775,9465285070.563156
O1,-15.3,81.0,50,5.130890417125541,75.07094590202601,1577.4893317778128,3173.012255078797,20750.256226100537,14831713.770918982,338075.3436139886,111127088.89446585,79388912451.6401
O1,-15.3,81.0,75,7.044149515974365,114.51254306971323,2557.1558463864044,4356.197524613017,37601.82880008483,26895872.905416258,673487.0191260653,259285402.05189306,186226127456.93332
O1,-15.3,81.0,100,8.288960273804118,141.41705554418542,3243.5085330322463,5126.005288802072,50906.501184779474,36431077.768533066,951260.3030801137,398322053.0412933,287043823820.9656
O1,-15.3,81.0,250,10.947789593457582,200.96124817971534,4793.155671026075,6770.261106021533,84998.45460349902,60894130.84930502,1691229.6402694238,819636405.4646256,594643584440.3746
O1,-15.3,81.0,500,11.870192592185987,222.08955287119224,5349.961719315867,7340.687496660273,98510.22502991295,70598580.37295862,1991800.5591306784,1007456567.3077042,732509565874.8019
O1,-15.3,81.0,1000,12.314348008608643,232.3295998021913,5620.801055071111,7615.359171488764,105308.68197270847,75482866.1973488,2144171.9856313714,1105772822.5326285,804820710916.8064
O1,-15.3,81.0,5000,12.654685062755203,240.2024538918034,5829.419091552677,7825.828148851248,110643.58157243476,79316295.04462074,2264213.4662342677,1184602449.590829,862864401061.1807
O1,-15.3,122.0,0,0.09553124134545367,0.42242049142780425,3.4424212525958477,59.07784874828116,25.19745753089337,18300.966193662873,123.65250232954193,12375.926040023114,8666710.839680135
O1,-15.3,122.0,0.1,0.09595967762505477,0.42448205844012643,3.4605871129444243,59.34279950737324,25.343642019823875,18406.66802437311,124.42278911835652,12459.933407880975,8725527.650079085
O1,-15.3,122.0,5,0.19949195903239822,0.9647051974224181,8.586376802819041,123.36856990219589,69.33254964807486,50119.07044129038,374.4223443642775,42089.02182085392,29482728.105059013
O1,-15.3,122.0,10,0.44397209631360407,2.551115293907332,26.685911015194794,274.5584104382874,241.36482114684642,173549.52808513507,1562.0345209254665,211114.60294255073,148174971.11154726
O1,-15.3,122.0,25,1.6444751375103024,15.181001995398196,234.5655296456847,1016.9658013205869,2445.629051264454,1748721.0184365415,25638.028323586317,5213669.486661879,3683693981.590565
O1,-15.3,122.0,50,3.8695462520036448,50.97150440205171,1004.5673873177794,2392.9799483718975,12188.524042901912,8709251.265931051,180201.55407968108,51881072.530518815,36927421960.97418
O1,-15.3,122.0,75,5.59605802218803,84.3927797826294,1805.2712779884828,3460.6781896530856,24429.907658992535,17464566.357486952,409128.1948291683,140308688.9051007,100368958572.53065
O1,-15.3,122.0,100,6.821908910454928,109.79740942717751,2438.1261885993376,4218.760942600494,35415.72965766168,25329937.068049937,628741.6579247452,238132026.8825814,170929174089.92563
O1,-15.3,122.0,250,9.760283134093111,174.08211176806014,4089.472339217492,6035.891144913772,68854.06673964544,49304954.33611817,1336896.351328335,609832853.437858,441136785238.33606
O1,-15.3,122.0,500,10.897375206661426,199.81231209506774,4762.962636835674,6739.084159757608,84284.05100557374,60381150.59659273,1675430.804648234,810002343.7602556,587582454293.8147
O1,-15.3,122.0,1000,11.469383847541224,212.88470929478703,5107.028538097608,7092.821982225084,92537.13911849757,66308067.128076695,1858533.359073588,923143017.7099401,670573821499.2539
O1,-15.3,122.0,5000,11.919063742017183,223.21429233370793,5379.680730474002,7370.910067822754,99249.09409404946,71129368.15906183,2008326.1732213604,1018022478.1000568,740276249451.41
O1,-15.3,181.0,0,0.06453065545923378,0.2771594854827055,2.1933599990467623,39.90666481151206,15.405551315107875,11212.085345952646,73.25156946729476,7027.810456374938,4922513.288668594
O1,-15.3,181.0,0.1,0.06482069040683103,0.27848255869574357,2.20445133971019,40.08602642801296,15.489977107880721,11273.290959287808,73.67530447231817,7071.410359158032,4953036.94672395
O1,-15.3,181.0,5,0.13507365570984203,0.6188107351896712,5.223924065337751,83.53141532357155,39.93547686720622,28943.96353666161,203.58990205135512,21383.71816541854,14974543.411297461
O1,-15.3,181.0,10,0.3022873835615896,1.5806470679762403,15.15730327490089,186.93865875524122,130.0318697049973,93729.9551551662,762.5817715974223,93655.94588691294,65656287.711963974
O1,-15.3,181.0,25,1.1512509018863093,9.171430492364532,126.55976047975133,711.9492354588074,1270.3795742842615,909269.6345390065,11490.313107239039,2064969.6814255707,1455834194.5052521
O1,-15.3,181.0,50,2.85836895594261,33.33201341443815,607.1424590584631,1767.6542102841024,6882.944527025661,4918022.778064713,90658.0762429472,22865919.289287835,16224679343.514666
O1,-15.3,181.0,75,4.31852750682622,59.32529782214196,1200.0688766778758,2670.636038534072,14994.312330624247,10715073.652239557,230530.13432840092,69811766.62770715,49756081777.52115
O1,-15.3,181.0,100,5.437123169267204,81.18543597655147,1726.584285939375,3362.3907277665153,23141.775722143226,16542787.193029186,384081.8623635174,129867172.17561488,92857839392.53195
O1,-15.3,181.0,250,8.442487323491516,144.786331810625,3330.2004613021645,5220.948490893936,52669.07272732354,37694852.29322942,988648.8684703028,417955943.0222014,301314400232.82153
O1,-15.3,181.0,500,9.747774081539244,173.8011754555816,4082.1496544522406,6028.155381622405,68691.72532235648,49188457.02440154,1333364.808933435,607811392.2912004,439660655849.1727
O1,-15.3,181.0,1000,10.438665472080794,189.38879612114314,4489.486019185625,6455.411903531142,77900.8900949257,55798283.076720364,1534732.8691418625,725321847.6405249,525565673886.5874
O1,-15.3,181.0,5000,10.998987478214378,202.1286938917586,4823.844702752574,6801.922560406864,85726.5471346047,61416953.66717009,1707341.4944234346,829486786.4001784,601864387059.9923
O1,-15.3,271.0,0,0.04316399623633991,0.1815774393169013,1.4068784607819163,26.69323216971325,9.559502215412016,6969.0954740727775,44.43331563993999,4129.026700868376,2892980.490892473
