operator,binding_energy,repressor,inducer_uM,m1p0,m2p0,m3p0,m0p1,m1p1,m0p2,m2p1,m1p2,m0p3
O1,-15.3,1.0,0,6.467484619742715,102.34197993499221,2250.8320440942953,3999.580176015787,32051.252733114958,22920398.012425117,560485.1334359652,206614044.8473338,148160995980.87894
O1,-15.3,1.0,0.1,6.483548129856751,102.67809096585913,2259.2502950990706,4009.514062995124,32200.472342020475,23027251.692148294,563495.701599238,207984321.52733344,149150240274.643
O1,-15.3,1.0,5,9.098674203179366,159.29469719661788,3705.0700594777495,5626.743281418632,60494.59427492147,43307240.163712725,1156001.184582012,508218396.5648024,367012561339.76166
O1,-15.3,1.0,10,11.45732759798682,212.6083837341523,5099.7439236653145,7085.3662331355745,92359.87776459305,66180751.005398035,1854587.6405720974,920671376.1920419,668759302933.9513
O1,-15.3,1.0,25,13.549668497539997,261.00486116489554,6382.117076025719,8379.297882142571,125180.6951656299,89764514.07748394,2593195.0860902327,1406462882.0764704,1026506814058.663
O1,-15.3,1.0,50,14.097133280340088,273.79397366151187,6722.86162485035,8717.857422170775,134427.15929840074,96411868.42542407,2803720.2433293844,1552633091.9642553,1134528026177.5369
O1,-15.3,1.0,75,14.228216982645364,276.8628057631036,6804.723901574725,8798.921344271594,136680.1430172435,98031732.10610671,2855152.383552838,1588813984.964511,1161289521672.8381
O1,-15.3,1.0,100,14.281700535326596,278.11563094359246,6838.154007212854,8831.996274243884,137603.6733246917,98695756.2099956,2876249.8578998367,1603707553.1665907,1172308279333.2107
O1,-15.3,1.0,250,14.355863700563168,279.85353588557524,6884.537816359667,8877.85976077216,138888.38890132908,99619492.47613297,2905612.384098416,1624485820.0166972,1187683237796.3955
O1,-15.3,1.0,500,14.373946118206208,280.27738770164973,6895.8519391204,8889.042179186366,139202.3482440861,99845239.3122877,2912790.463560846,1629574187.2093048,1191448842482.0713
O1,-15.3,1.0,1000,14.381700830944547,280.4591716707367,6900.704594924068,8893.837811328045,139337.07757459418,99942114.08651851,2915871.080782866,1631759020.5630252,1193065760186.495
O1,-15.3,1.0,5000,14.387279766411897,280.5899573882614,6904.195965212509,8897.287890583597,139434.03710561793,100011831.3021641,2918088.1971638673,1633331832.7291322,1194229763889.1062
O1,-15.3,2.0,0,4.169231673547817,56.51702685154718,1133.9274212047396,2578.3094725213546,14031.229385352108,10026511.055008397,213072.6398833225,63479027.664534874,45222745444.23866
O1,-15.3,2.0,0.1,4.182592204979205,56.76714616554009,1139.8018668787206,2586.571806445089,14116.200078005293,10087258.634997535,214605.62093331164,64030475.780923724,45617398438.86645
O1,-15.3,2.0,5,6.647815421470964,106.12510370997643,2345.725691551858,4111.099172962007,33744.26611080549,24132808.6913742,594735.376486857,222312867.45077872,159497916963.15506
O1,-15.3,2.0,10,9.508063488242064,168.42737175325274,3942.222050801764,5879.915125763681,65612.52875342997,46978957.26667718,1266514.7432021473,569823720.3432853,411932280229.52155
O1,-15.3,2.0,25,12.784748616671479,243.21687811950625,5909.381004873512,7906.261174749702,112710.77705331313,80801830.38589272,2310832.5624068105,1215531774.8677142,885653217975.5891
