operator,binding_energy,repressor,inducer_uM,m1p0,m2p0,m3p0,m0p1,m0p2,m0p3,m1p1,m2p1,m1p2
O1,-15.3,1.0,0.0,8.550958449642582,166.1675232502622,4148.276140650964,8550.95844964265,81066016.50884707,836794889488.9285,81057.46555039735,1619745.4655612872,836632766.0068697
O1,-15.3,1.0,0.1,8.572196744306156,166.69986849734556,4163.152346231871,8572.196744306244,81450479.80247171,842497200372.2571,81441.90760572744,1628499.7689081691,842334307.9848478
O1,-15.3,1.0,1.0,8.911774353343095,175.24448875988173,4402.412967113265,8911.77435334315,87712658.5725965,936971537208.3967,87703.74679824329,1771699.6066469522,936796120.8030266
O1,-15.3,1.0,5.0,12.029775028493617,256.0495052379565,6700.23903490739,12029.775028493623,155073159.34388027,2116198721185.7593,155061.12956885213,3365833.7354383795,2115888586.896851
O1,-15.3,1.0,7.5,13.839205025027493,304.3733766699812,8095.893554494256,13839.205025027662,202006387.91469565,3081577750421.3315,201992.54870967122,4515293.887674753,3081173751.4847145
O1,-15.3,1.0,10.0,15.148259003537273,339.7976476805263,9125.963319385926,15148.259003537452,239390138.09502688,3919143409696.717,239374.9898360239,5445795.2216160875,3918664644.568785
O1,-15.3,1.0,25.0,17.91463902508167,415.6266792083099,11345.57483406147,17914.6390250821,327468327.2470926,6094270317152.029,327450.4126080691,7675220.376208532,6093615398.412172
O1,-15.3,1.0,50.0,18.638467356976594,435.64247611344825,11934.111937557951,18638.467356977137,352479183.2177366,6757253498613.365,352460.5447503791,8315661.170518811,6756548558.885371
O1,-15.3,1.0,75.0,18.811779160186823,440.4442046568254,12075.439415608917,18811.779160186983,358585547.1024772,6921894878320.321,358566.7353233194,8472436.955571365,6921177726.03791
O1,-15.3,1.0,100.0,18.882492196915976,442.40434108159843,12133.146234081112,18882.49219691634,361089994.52542484,6989727978372.098,361071.1120332316,8536781.351189366,6989005817.265539
O1,-15.3,1.0,250.0,18.980546708544896,445.1232997378958,12213.206992090658,18980.546708545167,364575220.93754035,7084420753284.886,364556.2403908333,8626366.660957845,7083691621.823573
O1,-15.3,1.0,500.0,19.004454321193545,445.78639739074896,12232.734609414218,19004.454321193705,365427173.7025957,7107620119553.616,365408.169248276,8648273.000904167,7106889284.210673
O1,-15.3,1.0,1000.0,19.014707214222945,446.07078934596456,12241.109985216423,19014.707214223286,365792800.04672796,7117582668357.006,365773.7853395151,8657675.281630846,7116851101.77162
O1,-15.3,1.0,5000.0,19.022083364458048,446.2753941772852,12247.13572991077,19022.08336445835,366055936.826182,7124754911193.789,366036.9147428189,8664442.320019653,7124022818.342237
O1,-15.3,2.0,0.0,5.512332672815718,93.23412379722781,2155.634977539251,5512.332672815745,35017209.30374796,250017361744.1353,35011.69697107519,614965.6074287947,249947332.83786035
O1,-15.3,2.0,0.1,5.529997241822756,93.6347528443124,2166.251468921791,5529.997241822774,35232290.72502014,252233731706.2933,35226.76072777834,619376.4240981909,252163272.65484077
O1,-15.3,2.0,1.0,5.81592508511442,100.16619493540634,2340.0016673220775,5815.925085114437,38801094.98169298,289864388488.72565,38795.27905660804,693102.2036472633,289786792.11468726
O1,-15.3,2.0,5.0,8.789382073526031,172.15775040573712,4315.877044009857,8789.382073526103,85430703.24200085,902200650155.3264,85421.91385992768,1719387.220543483,902029797.5382257
O1,-15.3,2.0,7.5,10.865258749527133,225.4414171452948,5823.503186755943,10865.258749527238,127869887.22620606,1607202215034.3699,127859.02196745663,2712224.9346634755,1606946486.1251748
O1,-15.3,2.0,10.0,12.571047408572518,270.41639650142537,7113.852767062632,12571.047408572627,168525189.05942047,2382235055734.5366,168512.61801201256,3692781.2927765073,2381898017.9274645
O1,-15.3,2.0,25.0,16.903303285091987,387.77284587108755,10528.264789201798,16903.30328509203,293870930.50823826,5233845768139.189,293854.0272049559,6819601.294466766,5233258043.181478
O1,-15.3,2.0,50.0,18.240036042061384,424.6169365994077,11609.802381748908,18240.03604206159,338613316.69160515,6387410401276.354,338595.07665556454,7960259.513292303,6386733192.883038
O1,-15.3,2.0,75.0,18.574979973627595,433.88437740697316,11882.379573059756,18574.979973627895,350253645.9787493,6697514415472.228,350235.0709987756,8258561.442082395,6696813926.755252
O1,-15.3,2.0,100.0,18.71337509316689,437.7174271990712,11995.1768083661,18713.37509316701,355112883.11237574,6828133035971.073,355094.1697372849,8383260.061503148,6827422828.918226
O1,-15.3,2.0,250.0,18.906974357705582,443.08310759545117,12153.131244764378,18906.974357705814,361958831.2314068,7013301992004.558,361939.9242570497,8559109.56346583,7012578093.249071
O1,-15.3,2.0,500.0,18.954478991145123,444.40036203988393,12191.918235337156,18954.478991145428,363647268.66458523,7059175066895.329,363628.31418559456,8602509.475296661,7058447791.3125
O1,-15.3,2.0,1000.0,18.97488802510223,444.9663606886788,12208.585421637048,18974.888025102602,364373697.9337517,7078936099725.121,364354.7230457295,8621185.30987108,7078207371.304116
O1,-15.3,2.0,5000.0,18.989584280987888,445.37395693135073,12220.588503591778,18989.584280988172,364897176.03091556,7093185456536.769,364878.18644663494,8634644.777782382,7092455681.174271
O1,-15.3,3.0,0.0,4.0670766720173726,61.786121902865816,1340.6042680902356,4067.0766720173874,19577208.99146598,108156868618.13086,19573.141914793978,310536.25343486783,108117718.26722473
O1,-15.3,3.0,0.1,4.081505688724761,62.0852691313321,1348.1520911024745,4081.505688724775,19710056.94594834,109215394238.76645,19705.975440259634,313028.5177600614,109175978.20638016
O1,-15.3,3.0,1.0,4.316442091120691,67.00289395484745,1472.889136408341,4316.442091120694,21934116.74785909,127398897723.01071,21929.800305767978,355147.6028685196,127355033.80595717
O1,-15.3,3.0,5.0,6.9242387574590865,126.22443106233588,3044.025566888021,6924.238757459088,54173379.92948216,468775879578.0013,54166.45569072482,1020381.3532147866,468667539.74238133
O1,-15.3,3.0,7.5,8.943388469950841,176.04305646448734,4424.819063462781,8943.388469950914,88306640.8478961,946085890844.8948,88297.6974594264,1785339.9053486157,945909286.5065863
O1,-15.3,3.0,10.0,10.74326805782499,222.2614078782668,5732.8049878581605,10743.26805782506,125159350.79089427,1558757387580.8345,125148.60752283661,2647731.9445161535,1558507079.62252
O1,-15.3,3.0,25.0,16.000051804082503,363.0196761481941,9803.800149171426,16000.051804082666,265217646.81482938,4529308663482.728,265201.64676302567,6094743.638493624,4528778244.18915
O1,-15.3,3.0,50.0,17.85828260261749,414.0709751691437,11299.872333312509,17858.28260261791,325554554.488173,6044311038087.856,325536.6962055715,7626332.547694594,6043659946.837171
O1,-15.3,3.0,75.0,18.344068245306374,427.4939338923213,11694.399964147602,18344.068245306527,342210525.34198564,6482817068218.834,342192.18127374264,8052380.19187014,6482132665.512236
O1,-15.3,3.0,100.0,18.547260422895086,433.1169119814038,11859.798993376851,18547.26042289526,349283853.2353101,6671527526227.043,349265.30597489065,8233686.465138678,6670828977.067839
O1,-15.3,3.0,250.0,18.833970166516256,441.05926954734787,12093.546132418094,18833.970166516454,359370677.90967965,6943141032127.658,359351.8439395153,8492605.798636043,6942422309.605799
O1,-15.3,3.0,500.0,18.904765808393588,443.021872935861,12151.328262975458,18904.76580839404,361880416.06155354,7011173489053.246,361861.5112957448,8557094.247389762,7010449747.125863
O1,-15.3,3.0,1000.0,18.935235260251396,443.8667229070394,12176.204595774296,18935.23526025179,362962888.772059,7040571493674.066,362943.9535368007,8584916.649125623,7039845586.831765
O1,-15.3,3.0,5000.0,18.957196056984635,444.4757110769141,12194.13702777337,18957.196056984907,363743942.55275565,7061804027108.818,363724.98535670293,8604994.749582067,7061076558.180935
O1,-15.3,4.0,0.0,3.2222484935089715,44.918808189972054,923.794226974642,3222.24849350898,12561121.423990656,57128304566.333206,12557.899175497167,183453.40402157803,57103185.54573373
O1,-15.3,4.0,0.1,3.234327067711245,45.15017615429716,929.3784845050518,3234.327067711247,12650800.318386603,57714996581.29636,12647.565991318901,185012.35221295012,57689698.21498667
O1,-15.3,4.0,1.0,3.4316751115890063,48.97328890654523,1022.2454068238105,3431.6751115890165,14159930.168623893,67860135749.88617,14156.498493512318,211532.78979572153,67831819.321224
O1,-15.3,4.0,5.0,5.712106150412961,97.78467123814251,2276.5051094032115,5712.106150413019,37486276.96731906,275815360863.9159,37480.56486116868,665825.1306273816,275740394.0220875
O1,-15.3,4.0,7.5,7.59922181143164,142.58497723137145,3493.225917330605,7599.221811431695,64715323.52862784,605428129847.1504,64707.7243068167,1251969.100066491,605298706.7993153
O1,-15.3,4.0,10.0,9.379523369187222,187.11048374472787,4736.093745437331,9379.523369187267,96690753.29929985,1077467742494.1355,96681.37377593093,1978861.5007476206,1077274370.3670597
O1,-15.3,4.0,25.0,15.188436605179538,340.8901411180525,9157.809754626272,15188.436605179606,240582023.81596515,3946756103439.032,240566.83537936135,5475641.470682569,3946274954.5798507
O1,-15.3,4.0,50.0,17.492181331153695,403.9748129735822,11003.424101773666,17492.181331153814,313241300.14548564,5725569325766.173,313223.8079641552,7312208.439309703,5724942860.658073
O1,-15.3,4.0,75.0,18.11882710438632,421.2665764394442,11511.3107191064,18118.827104386335,334442958.4666441,6277283383310.534,334424.8396395397,7853533.745575722,6276614515.512434
O1,-15.3,4.0,100.0,18.384068933707688,428.6004938354063,11726.943394356145,18384.068933708182,343598040.6765269,6519719340362.679,343579.65660759324,8087928.299514315,6519032162.665376
O1,-15.3,4.0,250.0,18.76152757890488,439.0515951746313,12034.445913377072,18761.527578905327,356810355.02927566,6873921715574.903,356791.59350169805,8426844.320559135,6873208113.626376
O1,-15.3,4.0,500.0,18.855312715680785,441.6508703246392,12110.96289054418,18855.312715681095,360126488.23687166,6963610295112.335,360107.6329241571,8512023.842977786,6962890060.991158
O1,-15.3,4.0,1000.0,18.895747878491076,442.7718457591384,12143.966595726619,18895.747878491205,361560307.89497733,7002486269202.963,361541.41214709973,8548867.539343918,7001763167.48293
O1,-15.3,4.0,5000.0,18.924918126175612,443.5806401659816,12167.780806487232,18924.91812617587,362596201.19771194,7030609217406.837,362577.276279589,8575491.277482387,7029884043.929349
O1,-15.3,5.0,0.0,2.6680345157725682,34.656275358886845,680.8084499006774,2668.0345157725674,8781570.467504326,34194747123.223053,8778.902432988563,119765.56628266844,34177186.65032256
O1,-15.3,5.0,0.1,2.6783870697453773,34.841235739968454,685.0975654723142,2678.3870697453804,8846130.838392109,34555103514.50697,8843.45245132236,120816.38856249434,34537413.93121726
O1,-15.3,5.0,1.0,2.8479199150623957,37.90816002091759,756.7346821170667,2847.9199150623995,9936179.778015045,40811991748.326614,9933.331858099986,138769.44306065826,40792122.236690484
O1,-15.3,5.0,5.0,4.861133424410139,78.7193725135445,1774.5797830572665,4861.133424410159,27529992.837932922,176757930662.15585,27525.131704508574,464029.29007864336,176702875.5376134
O1,-15.3,5.0,7.5,6.606311400545962,118.6390780658782,2837.4952681211653,6606.311400546002,49515539.75831084,411862786343.355,49508.9334469103,919752.3546741296,411763761.87014925
O1,-15.3,5.0,10.0,8.323005510938494,160.46971830587475,3989.2852318874234,8323.005510938521,76993092.9002066,777100518807.8799,76984.76989469571,1527284.742422584,776946540.9450849
O1,-15.3,5.0,25.0,14.455185940974227,320.99961499787264,8578.711363735223,14455.185940974388,219245144.9847244,3460785528591.3433,219230.68979878316,4942959.830120636,3460347052.7565613
O1,-15.3,5.0,50.0,17.140788940044217,394.3010699544525,10719.632416444912,17140.788940044535,301617733.2965168,5429051061017.785,301600.5925075772,7016374.011360442,5428447842.691973
O1,-15.3,5.0,75.0,17.899050202389503,415.19631364885106,11332.931215103512,17899.050202389648,326938468.7251876,6080427119481.23,326920.56967498537,7661683.272458172,6079773260.442826
O1,-15.3,5.0,100.0,18.223724138151,424.16595164948757,11596.543046473082,18223.72413815127,338050779.7027598,6372525212948.524,338032.55597862275,7945858.763289928,6371849129.612827
O1,-15.3,5.0,250.0,18.68964013928146,437.0598969832959,11975.824934279943,18689.640139281877,354277463.93084466,6805628211623.8545,354258.77429070574,8361814.2838713275,6804919675.385627
O1,-15.3,5.0,500.0,18.80611767721879,440.28729507716287,12070.820335128814,18806.117677219238,358385359.093976,6916480464421.081,358366.5529762991,8467294.83081562,6915763712.509007
O1,-15.3,5.0,1000.0,18.8564248473089,441.6816992553617,12111.870517210093,18856.424847309354,360165891.2662519,6964677873729.578,360147.03484140453,8513036.2378368,6963957560.803455
