,operator,binding_energy,repressor,inducer_uM,lambda_m1p0,lambda_m2p0,lambda_m3p0,lambda_m0p1,lambda_m1p1,lambda_m0p2,lambda_m2p1,lambda_m1p2,lambda_m0p3
0,O1,-15.3,1.0,0.0,-0.4003628765900293,0.010760835374367993,-0.00013592615279654964,-4.4148497564647956e-05,2.23496561110879e-05,1.9910334641863556e-08,-5.413460650990565e-07,9.857349648199748e-10,-4.63310474323835e-12
1,O1,-15.3,1.0,0.1,-0.39910505270904667,0.010703342830693623,-0.00013510360093659855,-4.500404862528971e-05,2.2228673589785642e-05,2.0222011710634303e-08,-5.396077274871145e-07,9.884222752219862e-10,-4.638417482856742e-12
2,O1,-15.3,1.0,5.0,-0.21125176304139537,0.0023523288217182177,-1.8905606802346166e-05,-0.00020374083773720437,8.333042752376829e-06,6.03569940560669e-08,-3.7408876042392907e-07,1.2846576530726046e-09,-5.211516392629199e-12
3,O1,-15.3,1.0,10.0,-0.03706654928187533,-0.005249645121389275,8.182657589539455e-05,-0.00037109662383636143,6.647104965761553e-07,8.777174674266738e-08,-3.130565318094668e-07,1.4572477243983138e-09,-5.582971582073844e-12
4,O1,-15.3,1.0,25.0,0.1665925810871069,-0.014133247926327109,0.00019451871518948237,-0.0005416037688866461,-4.904876288629353e-06,1.109105276507905e-07,-2.769741390854294e-07,1.6033754038179972e-09,-5.96962868601148e-12
5,O1,-15.3,1.0,50.0,0.2383225430074504,-0.01724665608562025,0.00023299754900086135,-0.0005908440300717938,-6.351700756952877e-06,1.1723747574287665e-07,-2.672318070165252e-07,1.6444002625005736e-09,-6.091611673139779e-12
6,O1,-15.3,1.0,75.0,0.25743298982020496,-0.018073554742632256,0.00024314768893551832,-0.0006029502805473196,-6.705746350533021e-06,1.1878426878160168e-07,-2.6476923777882995e-07,1.6545814132053255e-09,-6.122549138860278e-12
7,O1,-15.3,1.0,100.0,0.26548162242604406,-0.018421590430877516,0.0002474118847373114,-0.0006079211793488303,-6.850752670672368e-06,1.1941751361677887e-07,-2.6374259195611955e-07,1.6587331526239276e-09,-6.135254949718234e-12
8,O1,-15.3,1.0,250.0,0.27690104366507096,-0.01891478992376848,0.00025343901785794467,-0.0006148610189602359,-7.052947120500264e-06,1.2030177581616253e-07,-2.6226333559656916e-07,1.664473842349907e-09,-6.153165910237916e-12
9,O1,-15.3,1.0,500.0,0.27973316626911776,-0.01903706845974082,0.00025493300515212557,-0.000616557164885228,-7.102567114850004e-06,1.205179508992828e-07,-2.6190368659996965e-07,1.6658950893208827e-09,-6.1575689822445934e-12
