,operator,binding_energy,repressor,inducer_uM,lambda_m1p0,lambda_m2p0,lambda_m3p0,lambda_m0p1,lambda_m1p1,lambda_m0p2,lambda_m2p1,lambda_m1p2,lambda_m0p3
0,O1,-15.3,1.0,0.0,-0.3570833367904731,0.011116878065019061,-0.00016076407365220256,-0.001174016814305477,5.63100206192486e-06,3.196875638696493e-07,-3.9706022018757533e-07,2.346518504976902e-09,-2.6740100521117032e-11
1,O1,-15.3,1.0,0.1,-0.35587017667995696,0.011057477997777385,-0.00015990541318238128,-0.0011735036249949102,5.571046132556086e-06,3.190727451043744e-07,-3.952437538865821e-07,2.3402384678973633e-09,-2.663640678980929e-11
2,O1,-15.3,1.0,5.0,-0.174790188867545,0.002454468187500701,-4.032542274489241e-05,-0.0011459881495951044,-3.580057909038036e-07,2.531283465002908e-07,-2.143038613170323e-07,1.6372279049011244e-09,-1.62299792575368e-11
3,O1,-15.3,1.0,10.0,-0.007275070541432172,-0.005298037121381033,6.226965147679242e-05,-0.0011748959166279613,-2.360576464169653e-06,2.2420870227041873e-07,-1.436351674316164e-07,1.2901087727553385e-09,-1.2082905089913887e-11
4,O1,-15.3,1.0,25.0,0.1886207223198339,-0.014276051105594007,0.00017739528130429998,-0.0012304422956834957,-2.8347710544299922e-06,2.1016931342451608e-07,-1.0348917312229684e-07,1.0630901975104202e-09,-9.99725764086011e-12
5,O1,-15.3,1.0,50.0,0.25764796350273483,-0.017413850807853386,0.000216890171526026,-0.0012502285028403119,-2.768420666864569e-06,2.077782112933457e-07,-9.383335375471468e-08,1.0063991360062343e-09,-9.59383725531996e-12
6,O1,-15.3,1.0,75.0,0.2760410287128561,-0.01824717884744303,0.00022731941518791126,-0.001255362983714312,-2.738824373732023e-06,2.0727708994762575e-07,-9.146478712205593e-08,9.925953303922463e-10,-9.50394135890845e-12
7,O1,-15.3,1.0,100.0,0.28379815045921813,-0.018599793331558766,0.00023173973389661369,-0.001257658136358311,-2.721459326913778e-06,2.0709982760847951e-07,-9.053858608072688e-08,9.868741770809108e-10,-9.468748696390167e-12
8,O1,-15.3,1.0,250.0,0.2947866097870614,-0.019095706435530768,0.0002379207856972614,-0.001260527343392784,-2.7032359871220913e-06,2.0681447116703366e-07,-8.914887880831239e-08,9.790048579121163e-10,-9.418684506599993e-12
9,O1,-15.3,1.0,500.0,0.29751840621316705,-0.019219732479851027,0.00023947726789785482,-0.0012613429522211062,-2.696070872324245e-06,2.067604298991579e-07,-8.887254759447028e-08,9.770966017063274e-10,-9.407181137584143e-12
10,O1,-15.3,1.0,1000.0,0.2986933112002559,-0.019272828746160337,0.00024013922543837416,-0.0012616598995968118,-2.693769383804845e-06,2.0673296917289702e-07,-8.87290434458995e-08,9.762667787696227e-10,-9.402076940936036e-12
11,O1,-15.3,1.0,5000.0,0.29954071636928753,-0.019311122680301378,0.00024061658181359454,-0.001261888272475046,-2.6921063531507474e-06,2.0671327842832734e-07,-8.862557154552845e-08,9.75669498040303e-10,-9.398410372870312e-12
12,O1,-15.3,2.0,0.0,-0.569475648416119,0.02221644369093466,-0.00033155902799055816,-0.0013341824942973085,2.24328837024633e-05,4.683792706948605e-07,-9.333362886859764e-07,3.83115298260801e-09,-5.567691664215529e-11
13,O1,-15.3,2.0,0.1,-0.5678816138065098,0.0221266731206398,-0.00033008572478113293,-0.001332444520830357,2.2250702738236413e-05,4.669416724785679e-07,-9.273524840173391e-07,3.817732572278287e-09,-5.536380989134549e-11
14,O1,-15.3,2.0,5.0,-0.34357300450988,0.010457254812490428,-0.00015127691895257454,-0.0011688256162810176,4.978286630118903e-06,3.130560129962145e-07,-3.7714545590751437e-07,2.2776216012129763e-09,-2.5621722282802657e-11
15,O1,-15.3,2.0,10.0,-0.1472529330171182,0.0011734578250451096,-2.311476616868785e-05,-0.0011482263594472055,-8.509773985244801e-07,2.467209418831029e-07,-1.9854718230333762e-07,1.5649267709802928e-09,-1.5297585768564843e-11
16,O1,-15.3,2.0,25.0,0.1076108526959856,-0.010575033854649278,0.00013034077256981991,-0.0012067193676090306,-2.787678270817103e-06,2.1434137679184482e-07,-1.1710861079779259e-07,1.142301579736206e-09,-1.0646829027865216e-11
