operator,binding_energy,repressor,inducer_uM,lambda_m0p1,lambda_m0p2,m0p3,m1p0,m1p1,m1p2,m2p0,m2p1,m3p0
O1,-15.3,1.0,0.0,0.00020540022358159275,-3.973532683183593e-08,148160995980.87894,6.467484619742716,32051.25273311496,206614044.84733382,102.3419799349922,560485.1334359653,2250.8320440942953
O1,-15.3,1.0,0.1,0.00020575557385008075,-3.9626169231340644e-08,149150240274.643,6.483548129856751,32200.472342020472,207984321.52733344,102.67809096585913,563495.701599238,2259.2502950990706
O1,-15.3,1.0,5.0,0.0002506293324168292,-2.782793070391129e-08,367012561339.7617,9.098674203179367,60494.594274921474,508218396.56480235,159.29469719661788,1156001.184582012,3705.0700594777495
O1,-15.3,1.0,10.0,0.00028280516101710017,-2.2694146711787866e-08,668759302933.9513,11.45732759798682,92359.87776459305,920671376.192042,212.6083837341523,1854587.6405720972,5099.743923665314
O1,-15.3,1.0,25.0,0.00031173099008312147,-2.0119962008598343e-08,1026506814058.663,13.549668497539995,125180.6951656299,1406462882.0764706,261.00486116489554,2593195.0860902327,6382.117076025719
O1,-15.3,1.0,50.0,0.0003199220534335947,-1.965030835523231e-08,1134528026177.5369,14.097133280340087,134427.15929840074,1552633091.9642553,273.79397366151187,2803720.2433293844,6722.86162485035
O1,-15.3,1.0,75.0,0.0003218792167099718,-1.954574097183705e-08,1161289521672.838,14.228216982645366,136680.1430172435,1588813984.964511,276.8628057631036,2855152.383552838,6804.7239015747255
O1,-15.3,1.0,100.0,0.0003226823513732739,-1.950411657435392e-08,1172308279333.2107,14.281700535326594,137603.67332469168,1603707553.166591,278.11563094359246,2876249.8578998367,6838.154007212854
O1,-15.3,1.0,250.0,0.0003238005407022377,-1.9447380249590335e-08,1187683237796.3955,14.355863700563168,138888.38890132908,1624485820.0166972,279.85353588557524,2905612.384098416,6884.537816359667
O1,-15.3,1.0,500.0,0.00032407397051446645,-1.943371767626143e-08,1191448842482.0713,14.373946118206208,139202.34824408608,1629574187.2093046,280.27738770164973,2912790.463560846,6895.8519391204
O1,-15.3,1.0,1000.0,0.0003241913390012034,-1.942787937003584e-08,1193065760186.495,14.381700830944547,139337.07757459418,1631759020.5630252,280.4591716707367,2915871.080782866,6900.704594924068
O1,-15.3,1.0,5000.0,0.0003242758061397978,-1.9423686415889185e-08,1194229763889.1062,14.387279766411893,139434.03710561793,1633331832.7291322,280.58995738826144,2918088.1971638673,6904.195965212509
O1,-15.3,2.0,0.0,0.0001237131031654461,-6.577016317464899e-08,45222745444.23866,4.1692316735478165,14031.229385352108,63479027.66453488,56.517026851547186,213072.6398833225,1133.9274212047396
O1,-15.3,2.0,0.1,0.0001245046936725687,-6.552627695237426e-08,45617398438.86645,4.182592204979205,14116.200078005293,64030475.78092373,56.7671461655401,214605.62093331164,1139.8018668787206
O1,-15.3,2.0,5.0,0.00020930089130506184,-3.854574609768848e-08,159497916963.15506,6.647815421470964,33744.26611080549,222312867.45077872,106.12510370997644,594735.3764868571,2345.725691551858
O1,-15.3,2.0,10.0,0.0002567176177655501,-2.671003578238684e-08,411932280229.5216,9.508063488242065,65612.52875342997,569823720.3432852,168.42737175325274,1266514.743202147,3942.222050801764
O1,-15.3,2.0,25.0,0.00030089559642286576,-2.0909128284140557e-08,885653217975.5891,12.78474861667148,112710.77705331313,1215531774.8677142,243.21687811950628,2310832.5624068105,5909.381004873512
O1,-15.3,2.0,50.0,0.0003154807564249518,-1.990487253718953e-08,1074320720287.8124,13.795781266293965,129304.70590887939,1471188767.811847,266.7485440476674,2686977.571819718,6535.064102691791
O1,-15.3,2.0,75.0,0.00031920902138941437,-1.9689532837768057e-08,1124811670059.738,14.049114851093586,133605.59731028392,1539493770.6253786,272.6704275835794,2784978.0912373727,6692.899860037689
O1,-15.3,2.0,100.0,0.00032076601265965224,-1.9604664209078765e-08,1146052111691.7502,14.153789462471018,135399.09462504135,1568214864.9475694,275.1200605639109,2825901.7377648633,6758.230989644326
O1,-15.3,2.0,250.0,0.00032296104983471115,-1.9489844507717826e-08,1176136658332.444,14.300217502489224,137923.9941275403,1608881728.7753305,278.5494758714604,2883569.3584882673,6849.732025496538
O1,-15.3,2.0,500.0,0.0003235027573941414,-1.9462353103906795e-08,1183584952309.2234,14.336147487382028,138546.3841958167,1618947637.5289366,279.3914398688119,2897794.1936459187,6872.203587276881
O1,-15.3,2.0,1000.0,0.0003237358702536143,-1.945062388900032e-08,1186792925554.7903,14.351583759524337,138814.11887183617,1623282729.3196855,279.7532202521677,2903914.4794090413,6881.86011634744
O1,-15.3,2.0,5000.0,0.00032390386499486367,-1.9442207628583064e-08,1189105936758.848,14.362699221097614,139007.0387226815,1626408304.0840757,280.01375475243776,2908324.969618597,6888.814539585191
O1,-15.3,3.0,0.0,2.5866939504112697e-05,-9.288097997660127e-08,19798940744.40684,3.0761178406732865,7904.58836489359,27883994.39167955,36.97172271318274,107167.82913198057,687.0338339435627
O1,-15.3,3.0,0.1,2.731042513179098e-05,-9.252069688411391e-08,19990132327.709827,3.087031177330076,7957.558909952034,28152297.137391496,37.15665916126231,108035.09629604076,691.1269578524863
O1,-15.3,3.0,5.0,0.00017179289052712875,-5.047941816775108e-08,83913494644.06827,5.237121434659982,21566.30447576965,117424839.82326116,77.18194671497297,353697.9431269831,1628.8220296037082
O1,-15.3,3.0,10.0,0.00023616127415276202,-3.114586507961957e-08,272313258089.91055,8.12562959345129,49060.24152752573,378044154.17012054,137.84391498083207,912228.7492559408,3151.73390119641
O1,-15.3,3.0,25.0,0.0002914988404475419,-2.175383675038219e-08,769696148186.8953,12.101577803480088,102028.59199527868,1058032223.1740552,227.41914541737447,2070568.960990868,5490.850463025956
O1,-15.3,3.0,50.0,0.0003111165779492894,-2.0160030280000554e-08,1018349520581.0248,13.507043585024245,124471.92279928767,1395416064.837669,260.0110681196842,2577096.316876277,6355.667978947786
O1,-15.3,3.0,75.0,0.0003166328362352735,-1.9836454713166698e-08,1089864455965.6572,13.874465634424016,130634.50227881658,1492221415.2597485,268.5868231372684,2717257.5296323067,6584.044387664356
O1,-15.3,3.0,100.0,0.0003188983449525383,-1.9706815341252422e-08,1120583966840.205,14.028149282800618,133247.523104213,1533776181.3999364,272.1799767539751,2776811.580631608,6679.822513325773
O1,-15.3,3.0,250.0,0.00032213097136984145,-1.9532614558925883e-08,1164741168891.965,14.245001122312107,136969.69647683742,1593479651.2517073,277.2559228085824,2861766.1492755436,6815.2131214279225
O1,-15.3,3.0,500.0,0.00032293589775737294,-1.9491129233075704e-08,1175791011139.618,14.29854707988133,137895.0855665459,1608414587.484096,278.51033660561427,2882908.741390285,6848.687487625013
O1,-15.3,3.0,1000.0,0.00032328317754767193,-1.9473458117508767e-08,1180564553458.644,14.32159252904995,138294.12428494505,1614865872.411806,279.0503445180516,2892028.287542032,6863.099603940456
O1,-15.3,3.0,5000.0,0.00032353378421149233,-1.9460789056611308e-08,1184011748748.3042,14.338202513327715,138582.01589579106,1619524400.5010793,279.43960125744144,2898608.6732250606,6873.489056706872
O1,-15.3,5.0,0.0,-0.00022644396474971498,-1.4019025972722255e-07,6348551082.34307,2.017957671825831,3579.949058031463,8972629.029561544,20.320194449006074,40892.171007922414,334.48786426214514
O1,-15.3,5.0,0.1,-0.00022443429984077596,-1.3940791067557957e-07,6414678294.866413,2.0257877883469653,3605.954788509349,9065832.26193724,20.432683258912295,41255.90077476732,336.7353441675213
O1,-15.3,5.0,5.0,8.874567688583248e-05,-7.598467446919971e-08,32137952905.0315,3.676699623463404,11067.276958785094,45178282.92239909,47.47246587726928,160583.25352655232,923.8894352725604
O1,-15.3,5.0,10.0,0.00020148135323933504,-4.0948580360177914e-08,137794975573.47113,6.295073294385466,30469.3556974546,192250333.35731947,98.74567108953869,528671.4832919321,2160.917937631097
O1,-15.3,5.0,25.0,0.0002758150967983647,-2.3581640655011918e-08,592584528058.831,10.933124432111976,84790.3789511828,816827222.6864898,200.626965343976,1686627.0692992627,4784.370042564848
O1,-15.3,5.0,50.0,0.00030340622563277336,-2.0709929718805902e-08,917678703208.7792,12.964369948456087,115591.22612308373,1258978530.1823506,247.3848961850901,2375885.4082202245,6020.0176847704115
O1,-15.3,5.0,75.0,0.0003115608874586635,-2.0131000987777163e-08,1024246773100.9966,13.53787795395787,124984.47823932732,1403402393.3620934,260.7299373032688,2588737.721829782,6374.799738247585
O1,-15.3,5.0,100.0,0.00031512554215044365,-1.9907832971755754e-08,1071894824303.815,13.783443841496199,129096.69403226634,1467905832.6442225,266.4603944866376,2682242.787090781,6527.387735459769
O1,-15.3,5.0,250.0,0.0003204982928872998,-1.9619053136918828e-08,1142393608588.055,14.135837624209039,135090.828515085,1563268440.5759132,274.6998320403162,2818865.4551984333,6747.021919837132
O1,-15.3,5.0,500.0,0.0003218150249834989,-1.9549099038525375e-08,1160409836652.7502,14.223934947545462,136606.31017840654,1587624860.5097814,276.7625190225249,2853466.083848576,6802.04813718524
O1,-15.3,5.0,1000.0,0.0003223859863353432,-1.9519392071448933e-08,1168239627968.7104,14.261984603008347,137262.93851739692,1598208384.4899652,277.6537481106534,2868465.0023756274,6825.8285346334205
O1,-15.3,5.0,5000.0,0.00032279908528192266,-1.949812822509422e-08,1173911478473.2173,14.289458934312213,137737.8479034558,1605874358.6938114,278.2974013212788,2879315.6964630717,6843.004828956148
