operator,binding_energy,repressor,inducer_uM,num_mom,lambda_m0p1,lambda_m0p2,lambda_m0p3,lambda_m0p4,lambda_m0p5,lambda_m0p6
O1,-15.3,0.0,0.0,2,0.0021144524536980437,-1.1447688873313263e-07,0.0,0.0,0.0,0.0
O1,-15.3,0.0,0.1,2,0.0021144524536980437,-1.1447688873313263e-07,0.0,0.0,0.0,0.0
O1,-15.3,0.0,5.0,2,0.0021144524536980437,-1.1447688873313263e-07,0.0,0.0,0.0,0.0
O1,-15.3,0.0,10.0,2,0.0021144524536980437,-1.1447688873313263e-07,0.0,0.0,0.0,0.0
O1,-15.3,0.0,25.0,2,0.0021144524536980437,-1.1447688873313263e-07,0.0,0.0,0.0,0.0
O1,-15.3,0.0,50.0,2,0.0021144524536980437,-1.1447688873313263e-07,0.0,0.0,0.0,0.0
O1,-15.3,0.0,75.0,2,0.0021144524536980437,-1.1447688873313263e-07,0.0,0.0,0.0,0.0
O1,-15.3,0.0,100.0,2,0.0021144524536980437,-1.1447688873313263e-07,0.0,0.0,0.0,0.0
O1,-15.3,0.0,250.0,2,0.0021144524536980437,-1.1447688873313263e-07,0.0,0.0,0.0,0.0
O1,-15.3,0.0,500.0,2,0.0021144524536980437,-1.1447688873313263e-07,0.0,0.0,0.0,0.0
O1,-15.3,0.0,1000.0,2,0.0021144524536980437,-1.1447688873313263e-07,0.0,0.0,0.0,0.0
O1,-15.3,0.0,5000.0,2,0.0021144524536980437,-1.1447688873313263e-07,0.0,0.0,0.0,0.0
O1,-15.3,22.0,0.0,2,-0.003005416373331194,-3.966945648462302e-08,0.0,0.0,0.0,0.0
O1,-15.3,22.0,0.1,2,-0.002992232797135562,-3.9500478459811845e-08,0.0,0.0,0.0,0.0
O1,-15.3,22.0,5.0,2,0.0048974603454477565,-3.880202519235537e-06,0.0,0.0,0.0,0.0
O1,-15.3,22.0,10.0,2,0.003662693759271539,-1.3517997426337279e-06,0.0,0.0,0.0,0.0
O1,-15.3,22.0,25.0,2,0.0020763117826268196,-2.690601881068216e-07,0.0,0.0,0.0,0.0
O1,-15.3,22.0,50.0,2,0.0018798679080083301,-1.5124642137948608e-07,0.0,0.0,0.0,0.0
O1,-15.3,22.0,75.0,2,0.001891755028019779,-1.3117490549249146e-07,0.0,0.0,0.0,0.0
O1,-15.3,22.0,100.0,2,0.0019085629169567824,-1.23873187068484e-07,0.0,0.0,0.0,0.0
O1,-15.3,22.0,250.0,2,0.0019997175661658523,-1.1752182682162262e-07,0.0,0.0,0.0,0.0
O1,-15.3,22.0,500.0,2,0.0020290243601979725,-1.1621143689676617e-07,0.0,0.0,0.0,0.0
O1,-15.3,22.0,1000.0,2,0.0020438790600283015,-1.1575189225077118e-07,0.0,0.0,0.0,0.0
O1,-15.3,22.0,5000.0,2,0.0020552255963905788,-1.1544769452394666e-07,0.0,0.0,0.0,0.0
