operator,binding_energy,repressor,inducer_uM,lambda_m1p0,lambda_m2p0,lambda_m3p0,m0p1,m0p2,m0p3,m0p4,m0p5,m0p6,m1p1,m1p2,m1p3,m1p4,m1p5,m2p1,m2p2,m2p3,m2p4,m3p1,m3p2,m3p3,m4p0,m4p1,m4p2,m5p0,m5p1,m6p0
O1,-15.3,0.0,0.0,0.14924287263222366,-0.006136510679246625,2.6351279848145158e-05,7732.570561413995,62400265.46076602,525839559145.8225,4622234122585021.0,4.2271716644178256e+19,4.0072749140140825e+23,127212.93461480034,1093397282.9768786,9793618240328.744,9.106553856187549e+16,8.751674462205342e+20,2815367.804986068,25548465557.90069,240038427563272.4,2.324187094927579e+18,78666437.9511033,743549004143.9283,7223463902511011.0,278504.3623029047,2639464950.845814,25649526852448.31,10548925.498051256,102309446716.37187,452611127.29861337
O1,-15.3,0.0,0.1,0.14924287263222366,-0.006136510679246625,2.6351279848145158e-05,7732.570561413995,62400265.46076602,525839559145.8225,4622234122585021.0,4.2271716644178256e+19,4.0072749140140825e+23,127212.93461480034,1093397282.9768786,9793618240328.744,9.106553856187549e+16,8.751674462205342e+20,2815367.804986068,25548465557.90069,240038427563272.4,2.324187094927579e+18,78666437.9511033,743549004143.9283,7223463902511011.0,278504.3623029047,2639464950.845814,25649526852448.31,10548925.498051256,102309446716.37187,452611127.29861337
O1,-15.3,0.0,5.0,0.14924287263222366,-0.006136510679246625,2.6351279848145158e-05,7732.570561413995,62400265.46076602,525839559145.8225,4622234122585021.0,4.2271716644178256e+19,4.0072749140140825e+23,127212.93461480034,1093397282.9768786,9793618240328.744,9.106553856187549e+16,8.751674462205342e+20,2815367.804986068,25548465557.90069,240038427563272.4,2.324187094927579e+18,78666437.9511033,743549004143.9283,7223463902511011.0,278504.3623029047,2639464950.845814,25649526852448.31,10548925.498051256,102309446716.37187,452611127.29861337
O1,-15.3,0.0,10.0,0.14924287263222366,-0.006136510679246625,2.6351279848145158e-05,7732.570561413995,62400265.46076602,525839559145.8225,4622234122585021.0,4.2271716644178256e+19,4.0072749140140825e+23,127212.93461480034,1093397282.9768786,9793618240328.744,9.106553856187549e+16,8.751674462205342e+20,2815367.804986068,25548465557.90069,240038427563272.4,2.324187094927579e+18,78666437.9511033,743549004143.9283,7223463902511011.0,278504.3623029047,2639464950.845814,25649526852448.31,10548925.498051256,102309446716.37187,452611127.29861337
O1,-15.3,0.0,25.0,0.14924287263222366,-0.006136510679246625,2.6351279848145158e-05,7732.570561413995,62400265.46076602,525839559145.8225,4622234122585021.0,4.2271716644178256e+19,4.0072749140140825e+23,127212.93461480034,1093397282.9768786,9793618240328.744,9.106553856187549e+16,8.751674462205342e+20,2815367.804986068,25548465557.90069,240038427563272.4,2.324187094927579e+18,78666437.9511033,743549004143.9283,7223463902511011.0,278504.3623029047,2639464950.845814,25649526852448.31,10548925.498051256,102309446716.37187,452611127.29861337
O1,-15.3,0.0,50.0,0.14924287263222366,-0.006136510679246625,2.6351279848145158e-05,7732.570561413995,62400265.46076602,525839559145.8225,4622234122585021.0,4.2271716644178256e+19,4.0072749140140825e+23,127212.93461480034,1093397282.9768786,9793618240328.744,9.106553856187549e+16,8.751674462205342e+20,2815367.804986068,25548465557.90069,240038427563272.4,2.324187094927579e+18,78666437.9511033,743549004143.9283,7223463902511011.0,278504.3623029047,2639464950.845814,25649526852448.31,10548925.498051256,102309446716.37187,452611127.29861337
O1,-15.3,0.0,75.0,0.14924287263222366,-0.006136510679246625,2.6351279848145158e-05,7732.570561413995,62400265.46076602,525839559145.8225,4622234122585021.0,4.2271716644178256e+19,4.0072749140140825e+23,127212.93461480034,1093397282.9768786,9793618240328.744,9.106553856187549e+16,8.751674462205342e+20,2815367.804986068,25548465557.90069,240038427563272.4,2.324187094927579e+18,78666437.9511033,743549004143.9283,7223463902511011.0,278504.3623029047,2639464950.845814,25649526852448.31,10548925.498051256,102309446716.37187,452611127.29861337
O1,-15.3,0.0,100.0,0.14924287263222366,-0.006136510679246625,2.6351279848145158e-05,7732.570561413995,62400265.46076602,525839559145.8225,4622234122585021.0,4.2271716644178256e+19,4.0072749140140825e+23,127212.93461480034,1093397282.9768786,9793618240328.744,9.106553856187549e+16,8.751674462205342e+20,2815367.804986068,25548465557.90069,240038427563272.4,2.324187094927579e+18,78666437.9511033,743549004143.9283,7223463902511011.0,278504.3623029047,2639464950.845814,25649526852448.31,10548925.498051256,102309446716.37187,452611127.29861337
O1,-15.3,0.0,250.0,0.14924287263222366,-0.006136510679246625,2.6351279848145158e-05,7732.570561413995,62400265.46076602,525839559145.8225,4622234122585021.0,4.2271716644178256e+19,4.0072749140140825e+23,127212.93461480034,1093397282.9768786,9793618240328.744,9.106553856187549e+16,8.751674462205342e+20,2815367.804986068,25548465557.90069,240038427563272.4,2.324187094927579e+18,78666437.9511033,743549004143.9283,7223463902511011.0,278504.3623029047,2639464950.845814,25649526852448.31,10548925.498051256,102309446716.37187,452611127.29861337
O1,-15.3,0.0,500.0,0.14924287263222366,-0.006136510679246625,2.6351279848145158e-05,7732.570561413995,62400265.46076602,525839559145.8225,4622234122585021.0,4.2271716644178256e+19,4.0072749140140825e+23,127212.93461480034,1093397282.9768786,9793618240328.744,9.106553856187549e+16,8.751674462205342e+20,2815367.804986068,25548465557.90069,240038427563272.4,2.324187094927579e+18,78666437.9511033,743549004143.9283,7223463902511011.0,278504.3623029047,2639464950.845814,25649526852448.31,10548925.498051256,102309446716.37187,452611127.29861337
O1,-15.3,0.0,1000.0,0.14924287263222366,-0.006136510679246625,2.6351279848145158e-05,7732.570561413995,62400265.46076602,525839559145.8225,4622234122585021.0,4.2271716644178256e+19,4.0072749140140825e+23,127212.93461480034,1093397282.9768786,9793618240328.744,9.106553856187549e+16,8.751674462205342e+20,2815367.804986068,25548465557.90069,240038427563272.4,2.324187094927579e+18,78666437.9511033,743549004143.9283,7223463902511011.0,278504.3623029047,2639464950.845814,25649526852448.31,10548925.498051256,102309446716.37187,452611127.29861337
O1,-15.3,0.0,5000.0,0.14924287263222366,-0.006136510679246625,2.6351279848145158e-05,7732.570561413995,62400265.46076602,525839559145.8225,4622234122585021.0,4.2271716644178256e+19,4.0072749140140825e+23,127212.93461480034,1093397282.9768786,9793618240328.744,9.106553856187549e+16,8.751674462205342e+20,2815367.804986068,25548465557.90069,240038427563272.4,2.324187094927579e+18,78666437.9511033,743549004143.9283,7223463902511011.0,278504.3623029047,2639464950.845814,25649526852448.31,10548925.498051256,102309446716.37187,452611127.29861337
O1,-15.3,1.0,0.0,-0.25427550486218714,0.007893810803665904,-0.00011906737607241587,3470.06309747992,13022731.825571733,52734924805.6762,229623952595639.44,1.0701703485481606e+18,5.309287230785129e+21,26561.295474626684,109876499.67362031,488670292902.8237,2322033411021801.0,1.1711413837078063e+19,474309.2247311021,2089782492.408353,9826943107678.953,4.897507699294445e+16,11807358.932678966,54537026739.24305,266679100707965.72,81606.72887030813,368148454.75286514,1757179407501.9424,2922316.1832024264,13557285437.421837,120208504.76347873
O1,-15.3,1.0,0.1,-0.25324657059702893,0.007845148475329777,-0.0001183575431309389,3478.6738135959185,13086336.295824507,53115178278.14519,231797377851610.9,1.0826388496890392e+18,5.382401667171044e+21,26690.998984184007,110668295.11254296,493290721809.187,2349048245650828.5,1.1872414121822482e+19,477018.3740310011,2106523427.186814,9927544229113.348,4.9582146024007096e+16,11880398.675081516,54998641292.46185,269525108168658.1,81946.35369100457,370539739.6345692,1772565399211.7488,2935170.3846142264,13648322096.2133,120758862.91733237
O1,-15.3,1.0,5.0,-0.07538361651319575,-0.0006666050122187083,1.5757980620107336e-06,4881.784885566909,25441083.67614879,141338512347.90338,834761222187813.1,5.220401203491303e+18,3.4399918621913317e+22,51882.22706648411,294277661.19665515,1773657167151.5437,1.1297274536288348e+16,7.559990031120425e+19,1028055.5539122431,6187721058.613315,39297381208094.98,2.617033752708953e+17,27115292.741976026,170590085931.5066,1123662094499208.0,141500.65888716574,877503660.7447798,5691238361503.857,5213604.828426962,33172215286.64783,219123478.70598263
O1,-15.3,1.0,10.0,-0.004703800737004237,-0.0017146016863986357,-4.343491845796099e-06,6147.300233835998,39922693.12596905,273753761354.39615,1977949305818937.2,1.5007330778544243e+19,1.190484997106515e+23,81402.87408966545,569623728.9660907,4197058145437.981,3.240663174953417e+16,2.6084436666338935e+20,1711963.5036587722,12679510936.871885,98213153379696.16,7.912076052899945e+17,46600899.25223626,360099714019.65857,2888265403119764.5,200414.73021418735,1538385051.7507088,12237339735787.46,7497428.51927556,58965236654.69823,318719761.89014083
O1,-15.3,1.0,25.0,0.0645758638292436,-0.0028929043851728072,-8.347139475257264e-06,7269.921303772993,55350122.756253794,441444073832.3282,3683001370444073.0,3.205231681421645e+19,2.8984102432012524e+23,112845.56955140374,918088202.3105383,7806727876232.216,6.909480599966918e+16,6.335626937102745e+20,2465308.1539364858,21190332912.513046,189114412587591.1,1.7438246347948948e+18,68435148.49758998,612949388374.3627,5658384556703791.0,255333.1335550843,2286891435.5985785,21065651032021.133,9641353.007719615,88396281561.76416,412718329.4296503
O1,-15.3,1.0,50.0,0.08588170960980938,-0.003280663551270309,-9.356013491764446e-06,7563.659898384047,59779924.92495846,493944114679.0664,4261674045402569.5,3.829052542209883e+19,3.5692742373747666e+23,121873.07412033768,1027147358.0013789,9030976117127.816,8.250812648081187e+16,7.797603297363911e+20,2684903.813579649,23896685136.65006,220434598066852.1,2.0974914451483497e+18,74848114.26767041,693980028156.0321,6620122415946347.0,270012.90879951755,2507772874.0837193,23908226447531.93,10216156.433927007,97109606508.50073,437978208.7290095
O1,-15.3,1.0,75.0,0.09128539007138721,-0.003380997405588411,-9.59606747404091e-06,7633.993892297621,60864550.49465153,507072024883.573,4409280985403264.0,3.991200745683563e+19,3.746792712313504e+23,124083.39406236047,1054415924.165248,9343202814466.084,8.599369240656013e+16,8.18431999781515e+20,2738857.1957717985,24575888100.93695,228452361444913.88,2.1897356634200148e+18,76426464.93831101,714352738256.1831,6866763984497553.0,273544.4506972125,2562194091.2965,24623688194585.12,10354529.248174516,99258001527.1314,444062104.874141
O1,-15.3,1.0,100.0,0.14197427570386423,-0.005960530406862534,2.563787968585096e-05,7662.689173631147,61309728.22647402,512490862663.4214,4470536291379471.0,4.0588335260719235e+19,3.8211953695733194e+23,124990.5962250822,1065671363.7030457,9472767597403.152,8.744743373825014e+16,8.346387251147926e+20,2761022.168078458,24856514860.1632,231782823604244.5,2.2282465260359624e+18,77075174.49707519,722774180294.4242,6969264357881906.0,274987.0339727085,2584567790.0952744,24919523520034.934,10411062.346930984,100141424167.8321,446548050.2647131
O1,-15.3,1.0,250.0,0.14610595326332734,-0.006060798439826026,2.6043965183482082e-05,7702.478689331537,61929568.1615057,520065137486.035,4556473242599598.0,4.154050600911133e+19,3.926293208555329e+23,126253.72602731347,1081403621.0212727,9654532393536.652,8.949398805758931e+16,8.575300695154925e+20,2791902.64480592,25249025912.756115,236458294732648.0,2.2824984213640087e+18,77979245.26570743,734557071018.777,7113206824861044.0,276988.98619604483,2615754795.41388,25333524791253.4,10489525.832773495,101373003313.00346,449998661.81334174
