operator,binding_enery,repressor,channcap,pc
O1,-15.3,0.0,0.0,"[0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333
 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333]"
O1,-15.3,1.0,1.0704721757096725,"[4.06531421e-01 4.67437940e-03 3.20256759e-02 1.59514449e-01
 1.22194153e-82 8.05414210e-49 9.36104674e-31 7.35596966e-22
 9.84478153e-08 5.38444410e-04 2.36876982e-02 3.73027833e-01]"
O1,-15.3,2.0,1.3198294654115275,"[3.38136586e-01 1.30224733e-02 3.38607405e-02 2.55435791e-01
 4.27123185e-59 2.10099354e-47 7.12635777e-33 2.42417631e-24
 3.82092013e-09 1.18219145e-04 1.17008098e-02 3.47725377e-01]"
O1,-15.3,3.0,1.430546462363994,"[3.08349468e-01 1.14517816e-02 5.53302087e-02 2.47645339e-01
 5.18863435e-02 2.42113208e-37 6.45030071e-33 1.37822211e-26
 4.96183460e-11 1.07909520e-05 3.49206622e-03 3.21834002e-01]"
O1,-15.3,4.0,1.5040460811141458,"[2.87590153e-01 1.02945379e-02 7.22086878e-02 2.21478426e-01
 1.16665542e-01 5.03567951e-56 5.33785436e-50 1.49573260e-40
 1.30315905e-16 3.12043033e-08 2.89541377e-04 2.91473081e-01]"
O1,-15.3,5.0,1.561572658242931,"[2.73863149e-01 9.82688335e-03 7.59285328e-02 2.09933945e-01
 1.50834884e-01 1.17645788e-70 3.59392148e-64 1.72923565e-52
 1.14260472e-21 1.35347975e-10 2.64270082e-05 2.79586178e-01]"
O1,-15.3,6.0,1.607825949512879,"[2.63780074e-01 9.66496683e-03 7.51335633e-02 2.03442100e-01
 1.72679728e-01 9.19168129e-79 2.69860411e-73 9.70381002e-61
 1.36928537e-25 1.75106200e-12 3.83819743e-06 2.75295730e-01]"
O1,-15.3,8.0,1.6747270481972159,"[2.50231237e-01 9.71273303e-03 6.90407387e-02 1.96240975e-01
 2.00045647e-01 2.04750122e-73 1.29071551e-74 6.67086140e-65
 1.00031653e-29 9.57038342e-15 3.37257870e-07 2.74728332e-01]"
O1,-15.3,9.0,1.6984383742383684,"[2.45684937e-01 9.88331094e-03 6.52836899e-02 1.94092656e-01
 2.09271479e-01 3.05922974e-60 6.31932355e-67 6.59628273e-61
 4.93878586e-30 3.52270113e-15 1.92072544e-07 2.75783734e-01]"
O1,-15.3,10.0,1.7170605948154678,"[2.42272664e-01 1.00374064e-02 6.14863949e-02 1.92444001e-01
 2.16610627e-01 2.91735497e-40 1.30309949e-53 8.50920700e-53
 3.80439288e-29 3.82030165e-15 1.67279538e-07 2.77148739e-01]"
