operator,binding_enery,repressor,channcap,pc
O1,-15.3,12.0,1.7427148732041948,"[2.37905116e-01 1.05722566e-02 5.33707383e-02 1.91439787e-01
 2.19320495e-01 1.38835701e-02 7.86841496e-29 1.42601252e-38
 7.28207613e-29 6.74568242e-16 5.11563748e-08 2.73507986e-01]"
O1,-15.3,14.0,1.7622683061966389,"[2.35216309e-01 1.12286394e-02 4.44460459e-02 1.92476684e-01
 2.07738017e-01 4.76217157e-02 3.51113773e-34 2.05938658e-47
 6.44907427e-37 2.26482780e-20 3.93633457e-10 2.61272589e-01]"
O1,-15.3,16.0,1.7786537079700364,"[2.33326364e-01 1.19428272e-02 3.58637040e-02 1.92762625e-01
 1.99335043e-01 7.26928616e-02 7.37469683e-39 7.74405621e-56
 4.08616040e-45 5.37248774e-25 2.50777788e-12 2.54076576e-01]"
O1,-15.3,19.0,1.7496219023503055,"[1.71406225e-01 5.86386627e-03 9.69165801e-02 1.65230545e-01
 2.00584789e-01 1.02289472e-01 3.45002404e-31 9.25627826e-48
 2.12649028e-41 2.26783019e-23 1.19552942e-11 2.57708522e-01]"
O1,-15.3,22.0,1.7712690597034173,"[1.73157938e-01 6.16004878e-03 8.53940243e-02 1.64417401e-01
 1.93722220e-01 1.22294514e-01 6.84738144e-30 2.00790688e-49
 1.82033086e-46 1.10852824e-26 2.59435259e-13 2.54853854e-01]"
O1,-15.3,26.0,1.7944045183070105,"[1.76269113e-01 6.59243096e-03 7.08868576e-02 1.63514757e-01
 1.87454451e-01 1.41316830e-01 4.69391401e-23 3.21998279e-45
 6.14187477e-50 1.19342862e-29 6.20501288e-15 2.53965560e-01]"
O1,-15.3,30.0,1.8120854493280054,"[1.80236805e-01 7.08001666e-03 5.68760237e-02 1.63241052e-01
 1.83009269e-01 1.54890567e-01 1.11080551e-10 8.61355225e-34
 1.04252503e-49 4.80467249e-31 6.36929682e-16 2.54666267e-01]"
O1,-15.3,35.0,1.8265351663123588,"[2.07674607e-001 9.71390379e-003 7.53242864e-202 1.80213646e-001
 1.80704890e-001 1.50434081e-001 2.00968634e-002 3.74097974e-028
 1.30494442e-056 6.31857840e-037 3.32822025e-019 2.51162009e-001]"
O1,-15.3,41.0,1.8438954667214384,"[2.04842079e-001 9.82833842e-003 3.41538374e-198 1.72939610e-001
 1.82090566e-001 1.32667077e-001 5.24554960e-002 1.12488630e-027
 4.36451796e-063 2.84036407e-042 4.40787699e-022 2.45176834e-001]"
O1,-15.3,48.0,1.8587878745376054,"[2.02384060e-001 9.96996625e-003 3.60180426e-194 1.65470964e-001
 1.82556299e-001 1.18291734e-001 7.92545490e-002 3.04506136e-024
 5.58060033e-067 9.64886635e-047 8.10119667e-025 2.42072427e-001]"
O1,-15.3,56.0,1.870391380700137,"[2.00421001e-001 1.01705375e-002 1.33576882e-189 1.57945166e-001
 1.82285857e-001 1.06920557e-001 1.01006471e-001 1.14395974e-016
 1.66988516e-066 1.94179159e-049 7.16240181e-027 2.41250411e-001]"
O1,-15.3,60.0,1.8746806349882896,"[1.99686415e-001 1.02825608e-002 2.53560517e-187 1.54461004e-001
 1.81979544e-001 1.02617030e-001 1.09622486e-001 2.34470664e-012
 6.75972851e-065 4.24660346e-050 1.31218774e-027 2.41350960e-001]"
O1,-15.3,66.0,1.8793750634559399,"[1.98878182e-001 1.04548290e-002 5.77086073e-184 1.49557336e-001
 1.81401321e-001 9.75274032e-002 1.20060084e-001 9.85085655e-005
 5.37252120e-061 1.81019636e-050 1.89571708e-028 2.42022336e-001]"
O1,-15.3,77.0,1.884994221116082,"[1.97851159e-001 1.08137597e-002 1.17527035e-177 1.41641883e-001
 1.77102495e-001 1.13434978e-001 6.89956839e-002 5.48599796e-002
 2.10821481e-067 2.78315376e-058 2.74507038e-033 2.35300062e-001]"
O1,-15.3,90.0,1.8213099191831188,"[2.15198862e-001 3.49980350e-002 2.62578121e-002 1.68787552e-020
 2.20730440e-001 1.18763302e-001 4.45627496e-002 9.60688248e-002
 9.26958831e-118 6.24954039e-106 4.62903744e-061 2.43419974e-001]"
O1,-15.3,105.0,1.8349280729967832,"[2.14053211e-001 3.46647416e-002 2.42485236e-002 8.01422918e-014
 2.15046952e-001 1.29440829e-001 8.76783011e-003 1.33802592e-001
 1.45784258e-118 1.71337282e-112 3.00938293e-066 2.39975319e-001]"
O1,-15.3,123.0,1.845980593932725,"[2.13703493e-001 3.46492511e-002 2.13537065e-002 3.12268518e-008
 2.10596680e-001 1.29898020e-001 2.07559601e-010 1.49743024e-001
 4.67133103e-102 1.46900786e-109 1.77658776e-067 2.40055793e-001]"
O1,-15.3,124.0,1.846443078147025,"[2.13707057e-001 3.46581269e-002 2.11878952e-002 5.70270941e-008
 2.10395002e-001 1.29748059e-001 6.11014443e-011 1.50183873e-001
 9.64906546e-101 3.73766220e-109 1.95468190e-067 2.40119930e-001]"
O1,-15.3,143.0,1.8528143065629854,"[2.14325900e-01 3.52517502e-02 1.68046031e-02 9.56592410e-04
 2.06625859e-01 1.27152834e-01 6.23908578e-20 1.57335232e-01
 5.78228748e-73 2.67287605e-99 1.38060157e-65 2.41547230e-01]"
O1,-15.3,167.0,1.8561462506062139,"[2.20307742e-01 3.59967565e-02 1.51045181e-03 9.20061223e-03
 2.00751521e-01 1.24729203e-01 5.56176349e-29 1.63897703e-01
 3.89927871e-35 2.44785255e-85 6.95256393e-63 2.43606010e-01]"
O1,-15.3,195.0,1.8555503447886532,"[2.20643642e-01 3.57769023e-02 5.77152969e-07 9.49736514e-03
 1.96267747e-01 1.22832608e-01 1.04331662e-31 1.66752678e-01
 5.60963426e-03 3.74381690e-73 6.87325412e-61 2.42618847e-01]"
O1,-15.3,228.0,1.8519365748751095,"[2.21348183e-01 3.47347222e-02 2.88645351e-11 9.09944121e-03
 1.91281851e-01 1.22453226e-01 1.35182501e-24 1.62438321e-01
 2.46779351e-02 4.34346178e-81 1.19567760e-68 2.33966321e-01]"
O1,-15.3,260.0,1.8468152664814343,"[2.22145746e-01 3.38878663e-02 4.32578410e-15 8.86476052e-03
 1.86903158e-01 1.21635931e-01 2.46877660e-19 1.59693148e-01
 3.81352901e-02 4.04643951e-87 1.36999110e-74 2.28734100e-01]"
O1,-15.3,266.0,1.8457265094305568,"[2.22303646e-01 3.37411842e-02 8.97890014e-16 8.83925505e-03
 1.86113351e-01 1.21455013e-01 1.89249836e-18 1.59267599e-01
 4.03420809e-02 3.02309706e-88 1.23358894e-75 2.27937871e-01]"
O1,-15.3,311.0,1.8365620148527293,"[2.23552371e-01 3.27117651e-02 1.28565353e-20 8.88201319e-03
 1.80472893e-01 1.19962123e-01 1.47502987e-13 1.56896702e-01
 5.35812523e-02 1.67143197e-93 6.52545603e-82 2.23940880e-01]"
O1,-15.3,363.0,1.7517129745737414,"[2.03313742e-01 1.64924059e-02 4.60810997e-86 1.24665905e-01
 2.01809411e-42 2.08658500e-01 3.99248643e-57 1.40374965e-01
 7.65606031e-02 3.29040860e-81 7.80891772e-72 2.29933879e-01]"
O1,-15.3,424.0,1.7484315145077374,"[2.04311114e-01 1.67479625e-02 1.72840466e-85 1.22834964e-01
 1.26591607e-36 2.05907832e-01 8.78158434e-55 1.37430625e-01
 8.53733503e-02 4.74078116e-84 3.31562419e-75 2.27394152e-01]"
O1,-15.3,495.0,1.7428407108307518,"[2.05697393e-01 1.70518178e-02 7.24348215e-85 1.20909148e-01
 5.96237558e-31 2.02872912e-01 9.64883783e-53 1.34578664e-01
 9.29045259e-02 2.99442403e-86 8.32579851e-79 2.25985539e-01]"
O1,-15.3,578.0,1.7341150330237953,"[2.07556645e-01 1.74323507e-02 3.44036877e-84 1.18982238e-01
 9.08180029e-25 1.99638318e-01 2.28842877e-50 1.31713697e-01
 9.91643601e-02 3.22026211e-87 1.44791778e-81 2.25512391e-01]"
O1,-15.3,675.0,1.7225414671692316,"[2.09860590e-01 1.78677586e-02 1.60050074e-83 1.17047905e-01
 8.21590156e-18 1.96168695e-01 4.76406825e-48 1.28890979e-01
 1.04282973e-01 2.21682222e-87 1.03369374e-83 2.25881100e-01]"
O1,-15.3,789.0,1.7077449850914643,"[2.12642667e-01 1.84029299e-02 8.68209551e-83 1.15099128e-01
 5.01016224e-10 1.92403987e-01 3.03014938e-45 1.26154944e-01
 1.08357934e-01 1.30627105e-86 5.16261846e-85 2.26938410e-01]"
O1,-15.3,921.0,1.6622527809530205,"[2.36698812e-001 2.44443245e-002 3.28156339e-067 3.95048968e-002
 1.22960359e-001 2.11421899e-300 1.72092504e-001 5.02316599e-002
 1.23335642e-001 7.02520345e-097 2.88040705e-095 2.30731801e-001]"
O1,-15.3,1075.0,1.6491838227805606,"[2.39150876e-001 2.51139756e-002 9.70903034e-067 3.75662738e-002
 1.24493383e-001 3.53238267e-287 1.66204362e-001 5.16408609e-002
 1.23496157e-001 7.11170851e-094 7.89063516e-095 2.32334111e-001]"
O1,-15.3,1220.0,1.636460397518793,"[2.41578344e-001 2.57767862e-002 2.80359340e-066 3.55509811e-002
 1.26317098e-001 3.95270972e-275 1.60057150e-001 5.39077664e-002
 1.22746004e-001 3.84694211e-091 3.51738946e-094 2.34065870e-001]"
O1,-15.3,1256.0,1.6332861904300928,"[2.42193350e-001 2.59460219e-002 3.68462105e-066 3.50124883e-002
 1.26837666e-001 3.50334252e-272 1.58373468e-001 5.46806286e-002
 1.22431939e-001 1.88664294e-090 5.48379138e-094 2.34524438e-001]"
O1,-15.3,1467.0,1.6148282010831685,"[2.45829569e-001 2.69825943e-002 2.01819196e-065 3.15847778e-002
 1.30369404e-001 4.00605132e-255 1.47452011e-001 6.05283297e-002
 1.19968406e-001 8.28666255e-087 1.00671113e-092 2.37284908e-001]"
O1,-15.3,1713.0,1.5881236143326825,"[2.55916818e-001 3.05883341e-002 1.09144577e-059 3.66871420e-003
 1.73632970e-001 1.37222578e-198 4.94065646e-324 1.98012282e-001
 8.98833538e-002 2.66803712e-067 8.19913357e-083 2.48297528e-001]"
O1,-15.3,1740.0,1.5861929587445185,"[2.56252009e-001 3.06898635e-002 1.06921916e-059 3.51758475e-003
 1.73725150e-001 3.02984518e-197 4.94065646e-324 1.97578110e-001
 8.97001618e-002 3.70700521e-067 9.02977091e-083 2.48537121e-001]"
O1,-15.3,2000.0,1.567941180724303,"[2.59422185e-001 3.17201618e-002 9.40706923e-060 1.95346372e-003
 1.74719219e-001 1.76235440e-184 4.94065646e-324 1.93494765e-001
 8.77993721e-002 3.00294850e-066 2.02898359e-082 2.50890833e-001]"
O2,-13.9,0.0,0.0,"[0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333
 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333]"
O2,-13.9,1.0,0.6613197111044031,"[4.94700500e-001 5.04033113e-006 9.82276053e-312 1.25922478e-258
 1.26326159e-093 9.96693859e-035 9.60832059e-020 1.55739234e-013
 7.79395808e-005 1.06847046e-002 8.85346970e-002 4.05997119e-001]"
O2,-13.9,2.0,0.9687655420707632,"[4.09231685e-01 8.27618209e-06 1.41165305e-01 8.58796555e-21
 8.11982971e-77 2.56394235e-36 1.16326763e-21 4.22756258e-15
 1.93736539e-05 5.53468267e-03 6.43404970e-02 3.79700180e-01]"
O2,-13.9,3.0,1.1531196182860208,"[3.59243948e-01 2.45439127e-05 1.62243066e-01 1.11603354e-01
 4.80031133e-92 1.12390914e-46 3.80386522e-28 1.20803155e-19
 6.35248340e-07 1.17985752e-03 3.11734337e-02 3.34531161e-01]"
O2,-13.9,4.0,1.2893424892594565,"[3.34839845e-01 1.09293052e-04 1.57426615e-01 1.71312575e-01
 7.01795321e-92 1.07591196e-50 4.02233990e-31 7.48346374e-22
 1.07050971e-07 5.21866963e-04 2.12848336e-02 3.14504865e-01]"
O2,-13.9,5.0,1.39094076758296,"[3.16625491e-01 2.12805056e-04 1.55145602e-01 2.03180077e-01
 1.15990534e-75 1.96960719e-49 1.98100833e-31 2.30165266e-22
 5.42007585e-08 3.72023940e-04 1.80846102e-02 3.06379337e-01]"
O2,-13.9,6.0,1.4668270313694736,"[3.02842799e-01 2.43630622e-04 1.54824887e-01 2.21994194e-01
 9.80549190e-43 1.93125496e-43 1.34013115e-29 1.31605389e-21
 5.61339248e-08 3.55925585e-04 1.74421813e-02 3.02296327e-01]"
O2,-13.9,8.0,1.5690854337682059,"[2.82276772e-01 8.74061702e-04 1.60407118e-01 2.23694234e-01
 5.56973266e-02 5.17338233e-39 7.52916088e-30 1.26027508e-22
 1.06689295e-08 1.48387990e-04 1.10375386e-02 2.65864551e-01]"
O2,-13.9,9.0,1.6086928475779974,"[2.73328539e-01 2.03119334e-03 1.61778225e-01 2.20415822e-01
 8.59584831e-02 1.63914408e-41 6.93043925e-32 3.41624080e-24
 2.79999635e-09 7.89368788e-05 8.10951481e-03 2.48299284e-01]"
O2,-13.9,10.0,1.6434427663572209,"[2.64921111e-01 3.74009315e-03 1.61669537e-01 2.18486536e-01
 1.08173466e-01 1.58694836e-43 1.53807583e-33 1.79656467e-25
 9.34716273e-10 4.71766278e-05 6.33136394e-03 2.36630714e-01]"
O2,-13.9,12.0,1.7021410440638447,"[2.51680255e-01 5.82208830e-03 1.59297557e-01 2.16364882e-01
 1.38372515e-01 6.10326639e-51 1.78619316e-39 5.04177805e-30
 2.08001563e-11 8.47435051e-06 2.96035451e-03 2.25493874e-01]"
O2,-13.9,14.0,1.7499430642637483,"[2.42787792e-01 5.69485884e-03 1.55533504e-01 2.14935348e-01
 1.58117736e-01 1.00575662e-60 1.91698682e-47 3.36310605e-36
 1.11473544e-13 8.13752710e-07 1.07714277e-03 2.21852805e-01]"
O2,-13.9,16.0,1.789515939412752,"[2.35451797e-01 5.59481617e-03 1.51260956e-01 2.13595846e-01
 1.72393400e-01 5.57190236e-67 4.97850781e-53 9.84781971e-41
 1.83670500e-15 1.25954192e-07 4.81555483e-04 2.21221502e-01]"
O2,-13.9,19.0,1.8369581909120332,"[2.26644988e-01 5.49016469e-03 1.44726726e-01 2.11552726e-01
 1.88121361e-01 4.40751996e-69 1.52607272e-56 3.10487649e-44
 3.38293779e-17 1.88503579e-08 2.10092306e-04 2.23253923e-01]"
O2,-13.9,22.0,1.8732565055423216,"[2.19819572e-01 5.45896735e-03 1.38492428e-01 2.09590654e-01
 1.99783539e-01 4.70171014e-62 4.21460694e-54 9.45178444e-44
 7.59450479e-18 7.80111260e-09 1.39410182e-04 2.26715421e-01]"
O2,-13.9,26.0,1.9083204513594836,"[2.13110444e-01 5.45460702e-03 1.30846656e-01 2.07316126e-01
 2.11426288e-01 4.50485093e-40 2.05276625e-42 1.27097504e-37
 2.35584167e-17 8.09238954e-09 1.31159555e-04 2.31714711e-01]"
O2,-13.9,30.0,1.9317368499871514,"[2.08366335e-01 5.55084526e-03 1.23928127e-01 2.05575084e-01
 2.20067331e-01 3.30869347e-05 3.46410335e-22 4.20959722e-26
 1.10924907e-15 2.26314040e-08 1.80370518e-04 2.36298798e-01]"
O2,-13.9,35.0,1.9534708838610602,"[2.03964290e-01 5.70490520e-03 1.15813182e-01 2.04044967e-01
 2.12040799e-01 3.88885349e-02 2.77918117e-26 4.48514228e-33
 1.03455478e-20 6.13309996e-11 1.21193306e-05 2.19531202e-01]"
O2,-13.9,41.0,1.976276427295876,"[1.99618670e-01 5.90416791e-03 1.06510146e-01 2.01537921e-01
 2.06050580e-01 7.18799151e-02 3.81953745e-33 8.31586362e-43
 2.29527240e-27 2.54122096e-14 3.53234738e-07 2.08498247e-01]"
O2,-13.9,48.0,1.9996156777324035,"[1.95505963e-01 6.20565676e-03 9.61999529e-02 1.98437713e-01
 2.02139656e-01 9.84253471e-02 2.32157278e-39 2.45334396e-52
 1.31242248e-34 4.26579455e-18 6.63841699e-09 2.03085705e-01]"
O2,-13.9,56.0,2.0226479545182743,"[1.91913578e-01 6.61655211e-03 8.51364543e-02 1.95032956e-01
 1.99675751e-01 1.19820297e-01 5.38021287e-42 2.88875072e-58
 4.07005152e-41 1.02066254e-21 1.33480559e-10 2.01804411e-01]"
O2,-13.9,60.0,2.0328158027481837,"[1.90513071e-01 6.83425981e-03 7.98908060e-02 1.93465415e-01
 1.98878465e-01 1.28231610e-01 3.46729877e-41 7.78426800e-59
 1.90933021e-43 3.62928273e-23 2.62724161e-11 2.02186373e-01]"
O2,-13.9,66.0,2.046490836847162,"[1.88831784e-01 7.21378778e-03 7.23640132e-02 1.91319745e-01
 1.97995103e-01 1.38840285e-01 4.64757374e-37 2.41942310e-56
 9.84309271e-46 6.81693205e-25 3.39224783e-12 2.03435283e-01]"
O2,-13.9,77.0,2.0169083630733198,"[1.33747856e-01 3.90152078e-03 1.11092285e-01 1.73858243e-01
 2.04197427e-01 1.59205931e-01 5.01635349e-16 4.78811402e-32
 3.54547970e-36 4.42854544e-21 1.13160679e-10 2.13996736e-01]"
O2,-13.9,90.0,2.0393013055841913,"[1.35220373e-01 4.09585113e-03 9.88037674e-02 1.69429970e-01
 2.04015798e-01 1.60102180e-01 1.59471192e-02 1.63444599e-16
 3.96038998e-35 3.34450594e-22 1.60805656e-11 2.12384942e-01]"
O2,-13.9,105.0,2.0594691877404467,"[1.37604060e-01 4.36660679e-03 8.56514043e-02 1.65459428e-01
 2.04508839e-01 1.49570800e-01 4.49124195e-02 2.38707008e-11
 4.79551133e-38 1.96733709e-25 2.29769663e-13 2.07926443e-01]"
O2,-13.9,123.0,2.078268051578491,"[1.41223532e-01 4.74784737e-03 7.08485595e-02 1.62082014e-01
 2.03820385e-01 1.42443637e-01 6.37930419e-02 6.12009195e-03
 1.92665543e-39 1.00108988e-28 2.02463993e-15 2.04920892e-01]"
O2,-13.9,124.0,2.0791895740152864,"[1.41440462e-01 4.77538734e-03 7.00464180e-02 1.61933904e-01
 2.03695910e-01 1.42946617e-01 6.18454548e-02 9.05363943e-03
 8.03855644e-40 4.62828480e-29 1.32624497e-15 2.04262208e-01]"
O2,-13.9,143.0,2.095665782657048,"[1.45928942e-01 5.23049634e-03 5.51569148e-02 1.59654613e-01
 2.01071306e-01 1.51633100e-01 2.96348924e-02 5.70448001e-02
 3.14538795e-49 1.36760064e-36 1.25744593e-19 1.94644935e-01]"
O2,-13.9,167.0,2.1110483979884633,"[1.72691551e-001 7.61813962e-003 1.49616815e-210 1.72114167e-001
 1.97508090e-001 1.57981516e-001 8.27580474e-003 9.37223311e-002
 1.03536562e-063 1.05955740e-048 3.24921369e-026 1.90088400e-001]"
O2,-13.9,195.0,2.130859749399304,"[1.69489293e-001 7.62747772e-003 2.40796282e-207 1.64262748e-001
 1.93432102e-001 1.59843911e-001 2.07415632e-005 1.16077615e-001
 2.46795910e-065 8.05217646e-053 2.51114508e-029 1.89246112e-001]"
O2,-13.9,228.0,2.1475141997569356,"[1.66697248e-001 7.68686671e-003 1.73158930e-203 1.56169771e-001
 1.89180265e-001 1.59388115e-001 8.01322008e-011 1.29696518e-001
 2.38084606e-057 8.14637429e-053 2.31657379e-030 1.91181216e-001]"
O2,-13.9,260.0,2.1583535307726085,"[1.64764768e-001 7.80042681e-003 1.68234620e-199 1.49263816e-001
 1.85471823e-001 1.59185457e-001 2.76896407e-015 1.39686894e-001
 8.91187006e-042 5.61831504e-049 2.01925144e-030 1.93826816e-001]"
O2,-13.9,266.0,2.1598533180610713,"[1.64475753e-001 7.83015384e-003 1.05624097e-198 1.48061270e-001
 1.84832215e-001 1.59166238e-001 5.68217309e-016 1.41283938e-001
 3.78998240e-038 7.22152335e-048 3.02128942e-030 1.94350432e-001]"
O2,-13.9,311.0,2.1670898822295324,"[1.62958012e-001 8.06091546e-003 7.19078794e-193 1.39740709e-001
 1.80467733e-001 1.59096305e-001 6.37923774e-020 1.51343636e-001
 7.13560437e-006 5.61411442e-037 4.12178442e-028 1.98325554e-001]"
O2,-13.9,363.0,2.0796371965797666,"[1.65421675e-01 2.35791745e-02 4.96488010e-02 2.90991406e-10
 2.06762428e-01 1.68986481e-01 4.93388483e-13 1.61294382e-01
 2.44419997e-02 3.11620845e-71 9.87208225e-56 1.99865058e-01]"
O2,-13.9,424.0,2.0948820340555394,"[1.65667493e-01 2.39476431e-02 4.55846038e-02 1.73932886e-08
 2.02159962e-01 1.65462262e-01 5.47223810e-03 1.55377456e-01
 4.76248906e-02 9.60207086e-87 8.41368313e-69 1.88703434e-01]"
O2,-13.9,495.0,2.107041084441924,"[1.66503434e-001 2.44798671e-002 4.11065814e-002 5.22146519e-007
 1.97611810e-001 1.60059154e-001 1.39647471e-002 1.48076556e-001
 6.70673262e-002 3.19511572e-103 1.34604599e-082 1.81130002e-001]"
O2,-13.9,578.0,2.1159270992564703,"[1.67800031e-001 2.51972533e-002 3.63267994e-002 3.22802871e-005
 1.92883050e-001 1.54877868e-001 1.95786895e-002 1.43791810e-001
 8.28070956e-002 7.34535943e-119 4.65678885e-096 1.76705124e-001]"
O2,-13.9,675.0,2.1212196445867115,"[1.70111983e-001 2.63437877e-002 2.96465931e-002 1.09842648e-003
 1.87857346e-001 1.49921137e-001 2.30012332e-002 1.41438779e-001
 9.57132762e-002 1.80026404e-131 8.96736380e-108 1.74867438e-001]"
O2,-13.9,789.0,2.1225780593959573,"[1.75359091e-001 2.78011373e-002 1.71573240e-002 5.92655018e-003
 1.81905781e-001 1.45153926e-001 2.47071561e-002 1.40484933e-001
 1.06611409e-001 2.77834312e-141 2.09247724e-118 1.74892692e-001]"
O2,-13.9,921.0,2.119776220764232,"[1.81986589e-001 2.93099470e-002 2.49503215e-003 1.24005901e-002
 1.75484882e-001 1.40560769e-001 2.51441693e-002 1.40425357e-001
 1.15888229e-001 4.05056871e-147 8.94517498e-127 1.76304435e-001]"
O2,-13.9,1075.0,2.1126945884244313,"[1.83746694e-001 2.96367377e-002 6.55623890e-007 1.22037007e-002
 1.70181443e-001 1.35921304e-001 2.46711592e-002 1.40929865e-001
 1.23941814e-001 1.03424651e-144 4.97991842e-128 1.78766627e-001]"
O2,-13.9,1220.0,2.103836297780434,"[1.85149922e-001 2.90586994e-002 5.36513478e-011 1.11787111e-002
 1.65825388e-001 1.32113059e-001 2.37873972e-002 1.41585027e-001
 1.29859311e-001 4.78682235e-140 2.59765637e-128 1.81442486e-001]"
O2,-13.9,1256.0,2.101330190108828,"[1.85531761e-001 2.89007746e-002 5.24024831e-012 1.09878715e-002
 1.64802427e-001 1.31250856e-001 2.35457135e-002 1.41753522e-001
 1.31116669e-001 1.37428842e-138 5.24072722e-128 1.82110405e-001]"
O2,-13.9,1467.0,1.9963783954182572,"[1.67769950e-01 1.29788354e-02 6.40585572e-92 1.15959315e-01
 5.69845467e-33 2.00318972e-01 1.88115542e-33 1.59547443e-01
 1.45353219e-01 8.37685604e-96 1.34656004e-93 1.98072266e-01]"
O2,-13.9,1713.0,1.9908570429998937,"[1.69114520e-01 1.32684878e-02 8.50295842e-91 1.14175803e-01
 5.46368683e-32 1.96583714e-01 2.81494419e-40 1.56142243e-01
 1.50114153e-01 8.25788941e-89 7.56416728e-92 2.00601080e-01]"
O2,-13.9,1740.0,1.990065461907313,"[1.69291976e-01 1.32917956e-02 1.04644988e-90 1.13995604e-01
 6.84599279e-32 1.96207676e-01 6.09807192e-41 1.55790177e-01
 1.50544610e-01 4.71413162e-88 1.21438092e-91 2.00878161e-01]"
O2,-13.9,2000.0,1.9810312527395144,"[1.71040952e-01 1.36254956e-02 1.28652449e-89 1.12408429e-01
 1.69128446e-30 1.92846330e-01 3.17223157e-46 1.52540252e-01
 1.54027483e-01 1.05967972e-80 3.16247269e-89 2.03511058e-01]"
O3,-9.7,0.0,0.0,"[0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333
 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333]"
O3,-9.7,1.0,0.000466832852640673,"[0.21555425 0.21018912 0.03778859 0.0396614  0.05507115 0.06078716
 0.06225983 0.06287243 0.0637331  0.06394512 0.0640362  0.06410163]"
O3,-9.7,2.0,0.0019351564605973623,"[0.24500501 0.23518447 0.01707092 0.02296648 0.0467644  0.05729481
 0.060164   0.06137619 0.06309794 0.06352485 0.0637091  0.06384184]"
O3,-9.7,3.0,0.004466350220433187,"[0.26265964 0.23788704 0.00069348 0.00284756 0.02808137 0.05260761
 0.06112721 0.06498395 0.07073294 0.07220962 0.07285199 0.07331761]"
O3,-9.7,4.0,0.007922723417214683,"[2.77392742e-01 2.24070060e-01 1.11951061e-06 4.06803639e-05
 9.04414894e-03 3.92809174e-02 5.57790447e-02 6.43467253e-02
 7.84307386e-02 8.23053819e-02 8.40247418e-02 8.52836993e-02]"
O3,-9.7,5.0,0.012295417827344304,"[3.00146056e-01 2.01696597e-01 3.36556924e-11 3.93184504e-08
 1.32138153e-03 2.23281219e-02 4.38489592e-02 5.77269253e-02
 8.44897150e-02 9.27053031e-02 9.64680675e-02 9.92688344e-02]"
O3,-9.7,6.0,0.01755140511469388,"[3.27286278e-01 1.74902400e-01 6.70135577e-17 5.87284968e-12
 1.09442933e-04 1.02819208e-02 3.04158671e-02 4.73185120e-02
 8.72779035e-02 1.01315266e-01 1.08003001e-01 1.13089409e-01]"
