operator,binding_energy,repressor,channcap,pc
O1,-15.3,0.0,0.0,"[0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333
 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333]"
O1,-15.3,1.0,0.8138557594234261,"[5.11853052e-01 5.28192459e-04 6.35650288e-60 9.82089138e-81
 3.69369766e-79 4.82637455e-35 1.00154722e-20 2.10813836e-14
 3.53988382e-05 7.45421752e-03 7.82905745e-02 4.01838564e-01]"
O1,-15.3,2.0,1.0664372564668851,"[3.93441492e-01 9.61423563e-04 1.03361971e-01 1.31385282e-01
 1.72878986e-89 2.20893035e-48 1.37520873e-29 8.59763369e-21
 2.45373607e-07 7.96458795e-04 2.71716215e-02 3.42881505e-01]"
O1,-15.3,3.0,1.211750999552703,"[3.55432987e-01 3.55750685e-03 8.94549592e-02 2.07396310e-01
 3.78836277e-78 1.11806118e-50 2.53476099e-32 5.07555473e-23
 3.16338523e-08 2.95536104e-04 1.72835125e-02 3.26579157e-01]"
O1,-15.3,4.0,1.312282515466775,"[3.31394764e-01 6.17987116e-03 8.89525345e-02 2.33564240e-01
 4.20343132e-38 3.55819000e-43 2.98969426e-30 2.54061763e-22
 2.43718128e-08 2.48745325e-04 1.53457725e-02 3.24314048e-01]"
O1,-15.3,5.0,1.3828823776653782,"[3.13155301e-01 6.59881383e-03 9.88884445e-02 2.31170894e-01
 3.29576976e-02 6.58501379e-36 1.37596855e-28 5.08771282e-22
 1.33618115e-08 1.62747157e-04 1.22882032e-02 3.04777886e-01]"
O1,-15.3,6.0,1.4307413386044865,"[2.98645379e-01 1.33466827e-02 9.77844669e-02 2.23800510e-01
 7.93949646e-02 4.92376746e-50 2.13919442e-40 3.46288901e-31
 5.48040304e-12 4.91070161e-06 2.65323893e-03 2.84369847e-01]"
O1,-15.3,7.0,1.4633347127741079,"[2.93456725e-01 1.04760466e-02 8.77474055e-02 2.22949822e-01
 1.15348783e-01 3.29777548e-54 2.68506338e-44 2.20965979e-34
 2.97271164e-13 1.26304389e-06 1.44171472e-03 2.68578240e-01]"
O1,-15.3,8.0,1.498680474978027,"[2.85505695e-01 1.03971498e-02 8.56400778e-02 2.19863082e-01
 1.38147060e-01 1.49578064e-63 1.07597831e-52 3.80866540e-41
 7.02825442e-16 8.75691003e-08 4.28213720e-04 2.60018634e-01]"
O1,-15.3,9.0,1.5258649271896103,"[2.77789023e-01 1.00467185e-02 8.79134337e-02 2.15244057e-01
 1.51812019e-01 1.31293089e-67 1.26374558e-57 1.72011442e-45
 9.49625925e-18 1.16934635e-08 1.86682779e-04 2.57008054e-01]"
O1,-15.3,10.0,1.5573848191054847,"[2.71130071e-01 9.81033405e-03 8.47722254e-02 2.14277127e-01
 1.66854093e-01 2.20791502e-72 8.54514203e-63 5.39872715e-50
 1.07064071e-19 1.47272441e-09 7.82619023e-05 2.53077886e-01]"
O1,-15.3,11.0,1.5806585808048677,"[2.62512846e-01 9.34195642e-03 9.27751640e-02 2.06427416e-01
 1.76280804e-01 1.84604397e-72 1.35038265e-64 4.36151502e-52
 6.89613761e-21 3.76893896e-10 4.22663757e-05 2.52619547e-01]"
O1,-15.3,12.0,1.6054951943382543,"[2.55474380e-01 8.43445783e-03 9.98110720e-02 1.98744801e-01
 1.85667390e-01 9.87203927e-69 5.68380258e-63 1.77104796e-51
 4.45533217e-21 2.71132241e-10 3.47083300e-05 2.51833191e-01]"
O1,-15.3,13.0,1.625814202385712,"[2.50709848e-01 8.09414448e-03 1.03655047e-01 1.93036329e-01
 1.92051496e-01 2.20268021e-66 3.35525575e-61 5.09456113e-51
 1.83857153e-21 1.55855748e-10 2.65814012e-05 2.52426553e-01]"
O1,-15.3,14.0,1.6349496297657264,"[2.52207324e-01 9.01786846e-03 8.98006930e-02 1.94749160e-01
 1.99310216e-01 8.19249885e-66 2.51621600e-63 5.78940425e-54
 2.46424256e-23 1.76514728e-11 1.00723241e-05 2.54904666e-01]"
O1,-15.3,15.0,1.6483920922791406,"[2.49337657e-01 9.02447572e-03 8.79224427e-02 1.91662038e-01
 2.04038566e-01 1.95913804e-55 5.16648867e-58 2.52534564e-51
 2.69973791e-23 1.40832060e-11 8.64611963e-06 2.58006175e-01]"
O1,-15.3,16.0,1.6599956075257698,"[2.46993452e-01 9.10383550e-03 8.50766774e-02 1.90016316e-01
 2.09084888e-01 1.01497968e-46 1.30769973e-53 2.37423135e-49
 1.62170234e-23 8.77293878e-12 6.78800050e-06 2.59718044e-01]"
O1,-15.3,17.0,1.6702322520748452,"[2.45105701e-01 9.21703957e-03 8.17252536e-02 1.90069472e-01
 2.13675439e-01 2.39841981e-40 1.88943236e-50 3.40593887e-48
 5.24854117e-24 3.94419751e-12 4.58377132e-06 2.60202511e-01]"
O1,-15.3,18.0,1.6798026341683963,"[2.43322581e-01 9.31059168e-03 7.87746985e-02 1.89037754e-01
 2.17648306e-01 6.69868787e-29 7.78553707e-44 9.44825720e-45
 6.88551304e-24 3.12496856e-12 3.85886483e-06 2.61902210e-01]"
O1,-15.3,20.0,1.6289389380332868,"[1.74867826e-01 5.52152060e-03 1.38384154e-01 1.65859144e-01
 2.34046420e-01 6.16803697e-03 2.64600614e-25 3.25066186e-32
 1.29940005e-20 6.14115564e-11 1.29259545e-05 2.75139972e-01]"
O1,-15.3,21.0,1.6383144730433803,"[1.74636456e-01 5.53615119e-03 1.34548861e-01 1.66477152e-01
 2.30812786e-01 1.92561635e-02 2.21639779e-26 3.76626064e-34
 3.53118817e-22 9.43136524e-12 5.42704868e-06 2.68727003e-01]"
O1,-15.3,22.0,1.6468530157412524,"[1.74356989e-01 5.55637179e-03 1.31378097e-01 1.66559436e-01
 2.27810411e-01 3.10076615e-02 1.36979460e-27 3.45307048e-36
 8.57579686e-24 1.32854950e-12 2.17647064e-06 2.63328858e-01]"
O1,-15.3,23.0,1.655929443124861,"[1.74285764e-01 5.58347894e-03 1.27324024e-01 1.68791161e-01
 2.26972086e-01 3.69113758e-02 8.60792110e-31 2.89628347e-37
 5.33473000e-25 2.84803804e-13 1.07049363e-06 2.60131040e-01]"
O1,-15.3,24.0,1.6670354586756413,"[1.74106122e-01 5.60100265e-03 1.23305021e-01 1.70904322e-01
 2.24060483e-01 4.64269878e-02 8.92641848e-32 5.68765583e-39
 1.73763044e-26 4.55508520e-14 4.57661805e-07 2.55595604e-01]"
O1,-15.3,26.0,1.6859394006878894,"[1.73709768e-01 5.62788323e-03 1.17357388e-01 1.72261345e-01
 2.17804452e-01 6.49513426e-02 3.67461360e-32 2.16616363e-41
 2.81214942e-29 1.32184045e-15 8.98606338e-08 2.48287730e-01]"
O1,-15.3,28.0,1.70698283754959,"[1.73090915e-01 5.64963650e-03 1.12201523e-01 1.75878745e-01
 2.12145119e-01 7.86472184e-02 1.63119642e-33 4.56679325e-44
 6.03278873e-32 4.32498421e-17 1.80212430e-08 2.42386825e-01]"
O1,-15.3,30.0,1.7219400179520759,"[1.72800550e-01 5.67345825e-03 1.08454304e-01 1.78436472e-01
 2.07753834e-01 8.74174470e-02 1.34923705e-33 2.46859575e-45
 4.13095131e-34 2.32425495e-18 4.31995436e-09 2.39463930e-01]"
O1,-15.3,32.0,1.7248972066882424,"[1.72108860e-01 5.76555532e-03 1.07819425e-01 1.69670195e-01
 2.05692614e-01 1.01163370e-01 4.82821599e-35 1.29040551e-50
 6.85130064e-37 6.15154967e-20 7.56393617e-10 2.37779980e-01]"
O1,-15.3,34.0,1.7354626131008184,"[1.72150848e-01 5.83585300e-03 1.03617241e-01 1.68832361e-01
 2.03414155e-01 1.09887584e-01 7.98422207e-35 1.76600105e-51
 8.00888617e-39 3.87014686e-21 1.96429169e-10 2.36261958e-01]"
