operator,binding_energy,repressor,inducer_uM,m0p0,m1p0,m2p0,m3p0,m4p0,m5p0,m6p0,m0p1,m1p1,m0p2,m2p1,m1p2,m0p3,m3p1,m2p2,m1p3,m0p4,m4p1,m3p2,m2p3,m1p4,m0p5,m5p1,m4p2,m3p3,m2p4,m1p5,m0p6
O1,-15.3,1.0,0,1.0000025189538926,6.940096675020434,115.72952259484599,2725.563484942377,81606.72887030814,2922316.1832024264,120208504.76347871,3470.06309747992,26561.295474626684,13022731.825571733,474309.2247311021,109876499.67362031,52734924805.6762,11807358.932678964,2089782492.408353,488670292902.8237,229623952595639.44,368148454.75286514,54537026739.24305,9826943107678.951,2322033411021801.0,1.0701703485481606e+18,13557285437.421837,1757179407501.9424,266679100707965.75,4.897507699294445e+16,1.1711413837078065e+19,5.309287230785129e+21
O1,-15.3,1.0,0.1,0.999999954622896,6.957316137286505,116.11549128655265,2736.0086585942863,81946.35369100457,2935170.384614226,120758862.91733237,3478.6738135959185,26690.99898418401,13086336.295824507,477018.3740310011,110668295.11254296,53115178278.14519,11880398.675081514,2106523427.186814,493290721809.187,231797377851610.94,370539739.63456917,54998641292.461845,9927544229113.348,2349048245650828.5,1.0826388496890392e+18,13648322096.213299,1772565399211.7488,269525108168658.12,4.9582146024007096e+16,1.1872414121822484e+19,5.382401667171044e+21
O1,-15.3,1.0,5,0.9999992623748956,9.76352905023694,181.38216889152582,4540.891833346289,141500.65888716577,5213604.828426962,219123478.70598266,4881.784885566909,51882.22706648411,25441083.676148787,1028055.5539122431,294277661.19665515,141338512347.90338,27115292.741976026,6187721058.613315,1773657167151.5435,834761222187813.1,877503660.7447797,170590085931.5066,39297381208094.98,1.1297274536288348e+16,5.220401203491303e+18,33172215286.64783,5691238361503.857,1123662094499207.9,2.6170337527089526e+17,7.559990031120425e+19,3.4399918621913313e+22
O1,-15.3,1.0,10,1.0000004165551686,12.294547098605728,243.09612551023633,6294.305581314907,200414.73021418735,7497428.51927556,318719761.8901408,6147.300233835999,81402.87408966545,39922693.125969045,1711963.5036587722,569623728.9660907,273753761354.39618,46600899.252236255,12679510936.871885,4197058145437.9805,1977949305818937.5,1538385051.7507088,360099714019.65857,98213153379696.17,3.240663174953417e+16,1.5007330778544243e+19,58965236654.69823,12237339735787.459,2888265403119764.5,7.912076052899945e+17,2.6084436666338938e+20,1.190484997106515e+23
O1,-15.3,1.0,25,1.0000003266008957,14.539779875439345,299.2518596267338,7913.065631857971,255333.1335550843,9641353.007719617,412718329.4296503,7269.921303772993,112845.56955140372,55350122.7562538,2465308.1539364858,918088202.3105384,441444073832.3282,68435148.49758998,21190332912.513046,7806727876232.216,3683001370444073.0,2286891435.5985785,612949388374.3627,189114412587591.1,6.909480599966918e+16,3.205231681421645e+19,88396281561.76416,21065651032021.133,5658384556703791.0,1.7438246347948948e+18,6.335626937102745e+20,2.8984102432012524e+23
O1,-15.3,1.0,50,1.000000074630851,15.127245799338663,314.107254412767,8343.968133540759,270012.90879951755,10216156.433927009,437978208.7290095,7563.659898384047,121873.07412033767,59779924.92495846,2684903.813579649,1027147358.001379,493944114679.06635,74848114.2676704,23896685136.65006,9030976117127.816,4261674045402570.0,2507772874.083719,693980028156.0321,220434598066852.06,8.250812648081187e+16,3.829052542209883e+19,97109606508.50073,23908226447531.93,6620122415946347.0,2.0974914451483497e+18,7.79760329736391e+20,3.5692742373747666e+23
O1,-15.3,1.0,75,1.0000005683633957,15.26791574271292,317.67293661532716,8447.536952402981,273544.45069721254,10354529.248174516,444062104.87414104,7633.993892297621,124083.39406236049,60864550.494651526,2738857.1957717985,1054415924.165248,507072024883.57306,76426464.93831101,24575888100.93695,9343202814466.084,4409280985403263.5,2562194091.2964997,714352738256.1831,228452361444913.88,8.599369240656013e+16,3.991200745683563e+19,99258001527.1314,24623688194585.117,6866763984497553.0,2.1897356634200148e+18,8.18431999781515e+20,3.746792712313504e+23
O1,-15.3,1.0,100,1.0000004967892637,15.325306217850047,319.12859227706446,8489.833161766766,274987.0339727085,10411062.346930984,446548050.2647131,7662.689173631148,124990.59622508219,61309728.22647402,2761022.168078458,1065671363.7030455,512490862663.4214,77075174.49707519,24856514860.163197,9472767597403.152,4470536291379470.5,2584567790.0952744,722774180294.4242,231782823604244.5,8.744743373825014e+16,4.0588335260719235e+19,100141424167.8321,24919523520034.938,6969264357881906.0,2.2282465260359624e+18,8.346387251147926e+20,3.8211953695733194e+23
O1,-15.3,1.0,250,1.000000055116135,15.404881962364978,321.147848563661,8548.520224933025,276988.9861960448,10489525.832773497,449998661.81334174,7702.478689331537,126253.72602731347,61929568.1615057,2791902.64480592,1081403621.0212727,520065137486.035,77979245.26570743,25249025912.756115,9654532393536.652,4556473242599598.0,2615754795.41388,734557071018.777,236458294732648.0,8.949398805758931e+16,4.154050600911133e+19,101373003313.00346,25333524791253.402,7113206824861044.0,2.282498421364009e+18,8.575300695154925e+20,3.9262932085553296e+23
O1,-15.3,1.0,500,0.9999998013603513,15.424281811900437,321.6402876544141,8562.834970317415,277477.3551770662,10508668.402839737,450840556.63313895,7712.179249481751,126562.59739163892,62081140.86591338,2799457.2404208807,1085261454.7522979,521922532453.2342,78200466.84943646,25345323413.469135,9699222638567.645,4577603082818266.0,2623387162.6026983,737448529040.6096,237608409876247.1,8.999843442305186e+16,4.177521196246361e+19,101674435562.8057,25435132896016.09,7148623407126109.0,2.2958772391263444e+18,8.631859070229561e+20,3.952261392657896e+23
