operator,binding_energy,repressor,inducer_uM,lambda_m0p1,lambda_m0p2,lambda_m0p3,m1p0,m2p0,m3p0
O1,-15.3,0.0,0.0,0.014170792860775603,-7.160163216058578e-07,-2.8974751202636392e-12,18.720041486789363,432.6067996488456,11706.453789379497
O1,-15.3,0.0,0.1,0.014170792860775603,-7.160163216058578e-07,-2.8974751202636392e-12,18.720041486789363,432.6067996488456,11706.453789379497
O1,-15.3,0.0,5.0,0.014170792860775603,-7.160163216058578e-07,-2.8974751202636392e-12,18.720041486789363,432.6067996488456,11706.453789379497
O1,-15.3,0.0,10.0,0.014170792860775603,-7.160163216058578e-07,-2.8974751202636392e-12,18.720041486789363,432.6067996488456,11706.453789379497
O1,-15.3,0.0,25.0,0.014170792860775603,-7.160163216058578e-07,-2.8974751202636392e-12,18.720041486789363,432.6067996488456,11706.453789379497
O1,-15.3,0.0,50.0,0.014170792860775603,-7.160163216058578e-07,-2.8974751202636392e-12,18.720041486789363,432.6067996488456,11706.453789379497
O1,-15.3,0.0,75.0,0.014170792860775603,-7.160163216058578e-07,-2.8974751202636392e-12,18.720041486789363,432.6067996488456,11706.453789379497
O1,-15.3,0.0,100.0,0.014170792860775603,-7.160163216058578e-07,-2.8974751202636392e-12,18.720041486789363,432.6067996488456,11706.453789379497
O1,-15.3,0.0,250.0,0.014170792860775603,-7.160163216058578e-07,-2.8974751202636392e-12,18.720041486789363,432.6067996488456,11706.453789379497
O1,-15.3,0.0,500.0,0.014170792860775603,-7.160163216058578e-07,-2.8974751202636392e-12,18.720041486789363,432.6067996488456,11706.453789379497
O1,-15.3,0.0,1000.0,0.014170792860775603,-7.160163216058578e-07,-2.8974751202636392e-12,18.720041486789363,432.6067996488456,11706.453789379497
O1,-15.3,0.0,5000.0,0.014170792860775603,-7.160163216058578e-07,-2.8974751202636392e-12,18.720041486789363,432.6067996488456,11706.453789379497
O1,-15.3,1.0,0.0,0.003383582729725364,-3.8735312744527887e-07,-2.296063495846669e-12,8.40078029895354,160.8883397050674,3962.0824621550014
O1,-15.3,1.0,0.1,0.003382743725137577,-3.8625293739757076e-07,-2.291013053794444e-12,8.42164559124139,161.40321477609382,3976.267969780957
O1,-15.3,1.0,5.0,0.0035865365619350167,-2.8730877808155287e-07,-1.7457157761912545e-12,11.818499371194635,247.80988728938598,6394.993687771113
O1,-15.3,1.0,10.0,0.004665484808173767,-2.948102191958909e-07,-1.6301447199798074e-12,14.882214262856165,328.7870508023708,8706.883953891163
O1,-15.3,1.0,25.0,0.008390353017671241,-4.5014656835694734e-07,-1.9903697687209293e-12,17.600009106705553,402.1011220498863,10822.008455499605
O1,-15.3,1.0,50.0,0.011240450723231578,-5.801035078353186e-07,-2.437589235640243e-12,18.311125039055977,421.4523923153213,11382.80344521582
O1,-15.3,1.0,75.0,0.012285157296919699,-6.283993085930253e-07,-2.6021516175086698e-12,18.48139301434305,426.0946673705959,11517.467165107832
O1,-15.3,1.0,100.0,0.012775556445250021,-6.511601367783355e-07,-2.6781958252717006e-12,18.550864137297506,427.9897087349659,11572.452830863014
O1,-15.3,1.0,250.0,0.013532637219109684,-6.86316398197652e-07,-2.7966081737881456e-12,18.64719654428636,430.61836866945373,11648.738144263676
O1,-15.3,1.0,500.0,0.01373152393438532,-6.955656151977319e-07,-2.8281753621324684e-12,18.670684274055656,431.2594437083457,11667.34485860874
O1,-15.3,1.0,1000.0,0.013818815278835283,-6.996297002885421e-07,-2.8418231710935122e-12,18.680757098321603,431.53439044242515,11675.325255923242
O1,-15.3,1.0,5000.0,0.013882303637622297,-7.025832410306592e-07,-2.8519411285145235e-12,18.68800370324222,431.73219991351783,11681.066828021787
O1,-15.3,2.0,0.0,0.003790076045316742,-6.851636355057322e-07,-3.454764604471701e-12,5.415521077757519,90.33585314001093,2061.33466577545
O1,-15.3,2.0,0.1,0.0037857497655710403,-6.821197526415842e-07,-3.444729832626056e-12,5.432875408757696,90.7234970439807,2071.466131301851
O1,-15.3,2.0,5.0,0.003375592843442046,-3.754735363225566e-07,-2.2406266814674683e-12,8.6350165537688,166.6819276541058,4121.898835469674
O1,-15.3,2.0,10.0,0.0036897591880912196,-2.8237033852924965e-07,-1.7023089951622442e-12,12.350265532112504,261.70207394937165,6789.2323378985975
O1,-15.3,2.0,25.0,0.006351432102100622,-3.614541300941007e-07,-1.6585583041177875e-12,16.606435180441412,375.17160565606486,10043.200652803183
O1,-15.3,2.0,50.0,0.009444914309910093,-4.977982647442368e-07,-2.1556384335656832e-12,17.919691264639038,410.7929322480501,11073.782659856206
O1,-15.3,2.0,75.0,0.010904364935307212,-5.646044358062287e-07,-2.385707829650582e-12,18.248752667302398,419.75267235841795,11333.51013992644
O1,-15.3,2.0,100.0,0.011667665705466576,-5.998491516830073e-07,-2.5032915038351894e-12,18.384717191109157,423.4584410564064,11440.989124286154
O1,-15.3,2.0,250.0,0.01295539651039668,-6.595163508807117e-07,-2.7061018920409346e-12,18.574916324575483,428.6459332765692,11591.495424861434
O1,-15.3,2.0,500.0,0.013322643126205838,-6.765512987992038e-07,-2.7635882758318595e-12,18.621586647096414,429.91944069670836,11628.453328752794
O1,-15.3,2.0,1000.0,0.013486449245461975,-6.841681475335402e-07,-2.7893418524804527e-12,18.641637242757387,430.46664180021264,11644.334520502778
O1,-15.3,2.0,5000.0,0.01360704813505213,-6.897740899021766e-07,-2.8085659469664776e-12,18.656075392309813,430.86070113503865,11655.7715526143
O1,-15.3,3.0,0.0,0.004256106050144914,-1.0520054168935152e-06,-4.5653147185715634e-12,3.995647713858928,59.901655367503224,1283.2828084325713
O1,-15.3,3.0,0.1,0.0042502023952670056,-1.046733333553879e-06,-4.550034365034086e-12,4.009823317681882,60.191221892480606,1290.4910902931965
O1,-15.3,3.0,5.0,0.0035236605634740878,-5.026401419109006e-07,-2.812783347457507e-12,6.802630240981253,122.25281322753635,2908.9367605456764
O1,-15.3,3.0,10.0,0.003426302374307777,-3.0895470301987244e-07,-1.885950079271826e-12,10.55458697151375,215.13681320427213,5472.804127234467
O1,-15.3,3.0,25.0,0.005295894053308231,-3.166243324757557e-07,-1.68301006496826e-12,15.719047258800625,351.23938113121244,9352.838480083814
O1,-15.3,3.0,50.0,0.008234372655834156,-4.4316931140848826e-07,-1.965636766294839e-12,17.544642456716005,400.5970571106215,10778.459681550115
O1,-15.3,3.0,75.0,0.009849882437029181,-5.162737790086534e-07,-2.2181542703764593e-12,18.021896378676733,413.57441204205406,11154.392483913212
O1,-15.3,3.0,100.0,0.010764426981525535,-5.581579899597416e-07,-2.364247163483014e-12,18.221519947477983,419.0106905260059,11311.994150300681
