operator,binding_energy,repressor,inducer_uM,lambda_m0p1,lambda_m0p2,lambda_m0p3,lambda_m0p4,lambda_m0p5,lambda_m0p6,m1p0,m1p1,m1p2,m1p3,m1p4,m1p5,m2p0,m2p1,m2p2,m2p3,m2p4,m3p0,m3p1,m3p2,m3p3,m4p0,m4p1,m4p2,m5p0,m5p1,m6p0
O1,-15.3,0,0.0,0.0020535795226151008,-1.1053973287844627e-07,-1.4799650254399544e-13,4.733705213532427e-18,-4.5165268650283544e-23,-2.8277419453279157e-28,18.35564531144841,179156.54637716638,1831262170.696489,19547291616597.89,2.170286796774684e+17,2.4952049208126603e+21,443.52710992172587,4528181.626964586,48094829178.47831,529784036614411.8,6.031397245960472e+18,13165.533414816013,138608628.82847604,1509787458022.991,1.6970894308631252e+16,458334.8945590935,4925226723.812039,54547196634162.39,18131938.37105347,197557618739.4,797770582.7872816
O1,-15.3,0,0.1,0.0020535795226151008,-1.1053973287844627e-07,-1.4799650254399544e-13,4.733705213532427e-18,-4.5165268650283544e-23,-2.8277419453279157e-28,18.35564531144841,179156.54637716638,1831262170.696489,19547291616597.89,2.170286796774684e+17,2.4952049208126603e+21,443.52710992172587,4528181.626964586,48094829178.47831,529784036614411.8,6.031397245960472e+18,13165.533414816013,138608628.82847604,1509787458022.991,1.6970894308631252e+16,458334.8945590935,4925226723.812039,54547196634162.39,18131938.37105347,197557618739.4,797770582.7872816
O1,-15.3,0,0.12528388390776227,0.0020535795226151008,-1.1053973287844627e-07,-1.4799650254399544e-13,4.733705213532427e-18,-4.5165268650283544e-23,-2.8277419453279157e-28,18.35564531144841,179156.54637716638,1831262170.696489,19547291616597.89,2.170286796774684e+17,2.4952049208126603e+21,443.52710992172587,4528181.626964586,48094829178.47831,529784036614411.8,6.031397245960472e+18,13165.533414816013,138608628.82847604,1509787458022.991,1.6970894308631252e+16,458334.8945590935,4925226723.812039,54547196634162.39,18131938.37105347,197557618739.4,797770582.7872816
O1,-15.3,0,0.15696051567013652,0.0020535795226151008,-1.1053973287844627e-07,-1.4799650254399544e-13,4.733705213532427e-18,-4.5165268650283544e-23,-2.8277419453279157e-28,18.35564531144841,179156.54637716638,1831262170.696489,19547291616597.89,2.170286796774684e+17,2.4952049208126603e+21,443.52710992172587,4528181.626964586,48094829178.47831,529784036614411.8,6.031397245960472e+18,13165.533414816013,138608628.82847604,1509787458022.991,1.6970894308631252e+16,458334.8945590935,4925226723.812039,54547196634162.39,18131938.37105347,197557618739.4,797770582.7872816
O1,-15.3,0,0.19664623023319885,0.0020535795226151008,-1.1053973287844627e-07,-1.4799650254399544e-13,4.733705213532427e-18,-4.5165268650283544e-23,-2.8277419453279157e-28,18.35564531144841,179156.54637716638,1831262170.696489,19547291616597.89,2.170286796774684e+17,2.4952049208126603e+21,443.52710992172587,4528181.626964586,48094829178.47831,529784036614411.8,6.031397245960472e+18,13165.533414816013,138608628.82847604,1509787458022.991,1.6970894308631252e+16,458334.8945590935,4925226723.812039,54547196634162.39,18131938.37105347,197557618739.4,797770582.7872816
O1,-15.3,0,0.2463660347943517,0.0020535795226151008,-1.1053973287844627e-07,-1.4799650254399544e-13,4.733705213532427e-18,-4.5165268650283544e-23,-2.8277419453279157e-28,18.35564531144841,179156.54637716638,1831262170.696489,19547291616597.89,2.170286796774684e+17,2.4952049208126603e+21,443.52710992172587,4528181.626964586,48094829178.47831,529784036614411.8,6.031397245960472e+18,13165.533414816013,138608628.82847604,1509787458022.991,1.6970894308631252e+16,458334.8945590935,4925226723.812039,54547196634162.39,18131938.37105347,197557618739.4,797770582.7872816
O1,-15.3,0,0.3086569370199128,0.0020535795226151008,-1.1053973287844627e-07,-1.4799650254399544e-13,4.733705213532427e-18,-4.5165268650283544e-23,-2.8277419453279157e-28,18.35564531144841,179156.54637716638,1831262170.696489,19547291616597.89,2.170286796774684e+17,2.4952049208126603e+21,443.52710992172587,4528181.626964586,48094829178.47831,529784036614411.8,6.031397245960472e+18,13165.533414816013,138608628.82847604,1509787458022.991,1.6970894308631252e+16,458334.8945590935,4925226723.812039,54547196634162.39,18131938.37105347,197557618739.4,797770582.7872816
O1,-15.3,0,0.3866973986492824,0.0020535795226151008,-1.1053973287844627e-07,-1.4799650254399544e-13,4.733705213532427e-18,-4.5165268650283544e-23,-2.8277419453279157e-28,18.35564531144841,179156.54637716638,1831262170.696489,19547291616597.89,2.170286796774684e+17,2.4952049208126603e+21,443.52710992172587,4528181.626964586,48094829178.47831,529784036614411.8,6.031397245960472e+18,13165.533414816013,138608628.82847604,1509787458022.991,1.6970894308631252e+16,458334.8945590935,4925226723.812039,54547196634162.39,18131938.37105347,197557618739.4,797770582.7872816
O1,-15.3,0,0.4844695199981036,0.0020535795226151008,-1.1053973287844627e-07,-1.4799650254399544e-13,4.733705213532427e-18,-4.5165268650283544e-23,-2.8277419453279157e-28,18.35564531144841,179156.54637716638,1831262170.696489,19547291616597.89,2.170286796774684e+17,2.4952049208126603e+21,443.52710992172587,4528181.626964586,48094829178.47831,529784036614411.8,6.031397245960472e+18,13165.533414816013,138608628.82847604,1509787458022.991,1.6970894308631252e+16,458334.8945590935,4925226723.812039,54547196634162.39,18131938.37105347,197557618739.4,797770582.7872816
O1,-15.3,0,0.6069622310029172,0.0020535795226151008,-1.1053973287844627e-07,-1.4799650254399544e-13,4.733705213532427e-18,-4.5165268650283544e-23,-2.8277419453279157e-28,18.35564531144841,179156.54637716638,1831262170.696489,19547291616597.89,2.170286796774684e+17,2.4952049208126603e+21,443.52710992172587,4528181.626964586,48094829178.47831,529784036614411.8,6.031397245960472e+18,13165.533414816013,138608628.82847604,1509787458022.991,1.6970894308631252e+16,458334.8945590935,4925226723.812039,54547196634162.39,18131938.37105347,197557618739.4,797770582.7872816
O1,-15.3,0,0.7604258568536586,0.0020535795226151008,-1.1053973287844627e-07,-1.4799650254399544e-13,4.733705213532427e-18,-4.5165268650283544e-23,-2.8277419453279157e-28,18.35564531144841,179156.54637716638,1831262170.696489,19547291616597.89,2.170286796774684e+17,2.4952049208126603e+21,443.52710992172587,4528181.626964586,48094829178.47831,529784036614411.8,6.031397245960472e+18,13165.533414816013,138608628.82847604,1509787458022.991,1.6970894308631252e+16,458334.8945590935,4925226723.812039,54547196634162.39,18131938.37105347,197557618739.4,797770582.7872816
O1,-15.3,0,0.952691047705144,0.0020535795226151008,-1.1053973287844627e-07,-1.4799650254399544e-13,4.733705213532427e-18,-4.5165268650283544e-23,-2.8277419453279157e-28,18.35564531144841,179156.54637716638,1831262170.696489,19547291616597.89,2.170286796774684e+17,2.4952049208126603e+21,443.52710992172587,4528181.626964586,48094829178.47831,529784036614411.8,6.031397245960472e+18,13165.533414816013,138608628.82847604,1509787458022.991,1.6970894308631252e+16,458334.8945590935,4925226723.812039,54547196634162.39,18131938.37105347,197557618739.4,797770582.7872816
O1,-15.3,0,1.1935683462065567,0.0020535795226151008,-1.1053973287844627e-07,-1.4799650254399544e-13,4.733705213532427e-18,-4.5165268650283544e-23,-2.8277419453279157e-28,18.35564531144841,179156.54637716638,1831262170.696489,19547291616597.89,2.170286796774684e+17,2.4952049208126603e+21,443.52710992172587,4528181.626964586,48094829178.47831,529784036614411.8,6.031397245960472e+18,13165.533414816013,138608628.82847604,1509787458022.991,1.6970894308631252e+16,458334.8945590935,4925226723.812039,54547196634162.39,18131938.37105347,197557618739.4,797770582.7872816
O1,-15.3,0,1.4953487812212205,0.0020535795226151008,-1.1053973287844627e-07,-1.4799650254399544e-13,4.733705213532427e-18,-4.5165268650283544e-23,-2.8277419453279157e-28,18.35564531144841,179156.54637716638,1831262170.696489,19547291616597.89,2.170286796774684e+17,2.4952049208126603e+21,443.52710992172587,4528181.626964586,48094829178.47831,529784036614411.8,6.031397245960472e+18,13165.533414816013,138608628.82847604,1509787458022.991,1.6970894308631252e+16,458334.8945590935,4925226723.812039,54547196634162.39,18131938.37105347,197557618739.4,797770582.7872816
O1,-15.3,0,1.873431031081332,0.0020535795226151008,-1.1053973287844627e-07,-1.4799650254399544e-13,4.733705213532427e-18,-4.5165268650283544e-23,-2.8277419453279157e-28,18.35564531144841,179156.54637716638,1831262170.696489,19547291616597.89,2.170286796774684e+17,2.4952049208126603e+21,443.52710992172587,4528181.626964586,48094829178.47831,529784036614411.8,6.031397245960472e+18,13165.533414816013,138608628.82847604,1509787458022.991,1.6970894308631252e+16,458334.8945590935,4925226723.812039,54547196634162.39,18131938.37105347,197557618739.4,797770582.7872816
