operator,binding_energy,repressor,inducer_uM,lambda_m0p1,lambda_m0p2,m0p3,m0p4,m0p5,m0p6,m1p0,m1p1,m1p2,m1p3,m1p4,m1p5,m2p0,m2p1,m2p2,m2p3,m2p4,m3p0,m3p1,m3p2,m3p3,m4p0,m4p1,m4p2,m5p0,m5p1,m6p0
O1,-15.3,0.0,0.0,0.0030316405600868596,-1.9492035196492803e-07,525839559145.8225,4622234122585021.0,4.2271716644178256e+19,4.0072749140140825e+23,15.465069672222945,127212.93461480034,1093397282.9768786,9793618240328.744,9.106553856187549e+16,8.751674462205342e+20,322.6757291993396,2815367.804986068,25548465557.90069,240038427563272.4,2.324187094927579e+18,8592.93638553071,78666437.9511033,743549004143.9283,7223463902511011.0,278504.3623029047,2639464950.845814,25649526852448.31,10548925.498051256,102309446716.37187,452611127.29861337
O1,-15.3,0.0,0.1,0.0030316405600868596,-1.9492035196492803e-07,525839559145.8225,4622234122585021.0,4.2271716644178256e+19,4.0072749140140825e+23,15.465069672222945,127212.93461480034,1093397282.9768786,9793618240328.744,9.106553856187549e+16,8.751674462205342e+20,322.6757291993396,2815367.804986068,25548465557.90069,240038427563272.4,2.324187094927579e+18,8592.93638553071,78666437.9511033,743549004143.9283,7223463902511011.0,278504.3623029047,2639464950.845814,25649526852448.31,10548925.498051256,102309446716.37187,452611127.29861337
O1,-15.3,0.0,5.0,0.0030316405600868596,-1.9492035196492803e-07,525839559145.8225,4622234122585021.0,4.2271716644178256e+19,4.0072749140140825e+23,15.465069672222945,127212.93461480034,1093397282.9768786,9793618240328.744,9.106553856187549e+16,8.751674462205342e+20,322.6757291993396,2815367.804986068,25548465557.90069,240038427563272.4,2.324187094927579e+18,8592.93638553071,78666437.9511033,743549004143.9283,7223463902511011.0,278504.3623029047,2639464950.845814,25649526852448.31,10548925.498051256,102309446716.37187,452611127.29861337
O1,-15.3,0.0,10.0,0.0030316405600868596,-1.9492035196492803e-07,525839559145.8225,4622234122585021.0,4.2271716644178256e+19,4.0072749140140825e+23,15.465069672222945,127212.93461480034,1093397282.9768786,9793618240328.744,9.106553856187549e+16,8.751674462205342e+20,322.6757291993396,2815367.804986068,25548465557.90069,240038427563272.4,2.324187094927579e+18,8592.93638553071,78666437.9511033,743549004143.9283,7223463902511011.0,278504.3623029047,2639464950.845814,25649526852448.31,10548925.498051256,102309446716.37187,452611127.29861337
O1,-15.3,0.0,25.0,0.0030316405600868596,-1.9492035196492803e-07,525839559145.8225,4622234122585021.0,4.2271716644178256e+19,4.0072749140140825e+23,15.465069672222945,127212.93461480034,1093397282.9768786,9793618240328.744,9.106553856187549e+16,8.751674462205342e+20,322.6757291993396,2815367.804986068,25548465557.90069,240038427563272.4,2.324187094927579e+18,8592.93638553071,78666437.9511033,743549004143.9283,7223463902511011.0,278504.3623029047,2639464950.845814,25649526852448.31,10548925.498051256,102309446716.37187,452611127.29861337
O1,-15.3,0.0,50.0,0.0030316405600868596,-1.9492035196492803e-07,525839559145.8225,4622234122585021.0,4.2271716644178256e+19,4.0072749140140825e+23,15.465069672222945,127212.93461480034,1093397282.9768786,9793618240328.744,9.106553856187549e+16,8.751674462205342e+20,322.6757291993396,2815367.804986068,25548465557.90069,240038427563272.4,2.324187094927579e+18,8592.93638553071,78666437.9511033,743549004143.9283,7223463902511011.0,278504.3623029047,2639464950.845814,25649526852448.31,10548925.498051256,102309446716.37187,452611127.29861337
O1,-15.3,0.0,75.0,0.0030316405600868596,-1.9492035196492803e-07,525839559145.8225,4622234122585021.0,4.2271716644178256e+19,4.0072749140140825e+23,15.465069672222945,127212.93461480034,1093397282.9768786,9793618240328.744,9.106553856187549e+16,8.751674462205342e+20,322.6757291993396,2815367.804986068,25548465557.90069,240038427563272.4,2.324187094927579e+18,8592.93638553071,78666437.9511033,743549004143.9283,7223463902511011.0,278504.3623029047,2639464950.845814,25649526852448.31,10548925.498051256,102309446716.37187,452611127.29861337
O1,-15.3,0.0,100.0,0.0030316405600868596,-1.9492035196492803e-07,525839559145.8225,4622234122585021.0,4.2271716644178256e+19,4.0072749140140825e+23,15.465069672222945,127212.93461480034,1093397282.9768786,9793618240328.744,9.106553856187549e+16,8.751674462205342e+20,322.6757291993396,2815367.804986068,25548465557.90069,240038427563272.4,2.324187094927579e+18,8592.93638553071,78666437.9511033,743549004143.9283,7223463902511011.0,278504.3623029047,2639464950.845814,25649526852448.31,10548925.498051256,102309446716.37187,452611127.29861337
O1,-15.3,0.0,250.0,0.0030316405600868596,-1.9492035196492803e-07,525839559145.8225,4622234122585021.0,4.2271716644178256e+19,4.0072749140140825e+23,15.465069672222945,127212.93461480034,1093397282.9768786,9793618240328.744,9.106553856187549e+16,8.751674462205342e+20,322.6757291993396,2815367.804986068,25548465557.90069,240038427563272.4,2.324187094927579e+18,8592.93638553071,78666437.9511033,743549004143.9283,7223463902511011.0,278504.3623029047,2639464950.845814,25649526852448.31,10548925.498051256,102309446716.37187,452611127.29861337
O1,-15.3,0.0,500.0,0.0030316405600868596,-1.9492035196492803e-07,525839559145.8225,4622234122585021.0,4.2271716644178256e+19,4.0072749140140825e+23,15.465069672222945,127212.93461480034,1093397282.9768786,9793618240328.744,9.106553856187549e+16,8.751674462205342e+20,322.6757291993396,2815367.804986068,25548465557.90069,240038427563272.4,2.324187094927579e+18,8592.93638553071,78666437.9511033,743549004143.9283,7223463902511011.0,278504.3623029047,2639464950.845814,25649526852448.31,10548925.498051256,102309446716.37187,452611127.29861337
O1,-15.3,0.0,1000.0,0.0030316405600868596,-1.9492035196492803e-07,525839559145.8225,4622234122585021.0,4.2271716644178256e+19,4.0072749140140825e+23,15.465069672222945,127212.93461480034,1093397282.9768786,9793618240328.744,9.106553856187549e+16,8.751674462205342e+20,322.6757291993396,2815367.804986068,25548465557.90069,240038427563272.4,2.324187094927579e+18,8592.93638553071,78666437.9511033,743549004143.9283,7223463902511011.0,278504.3623029047,2639464950.845814,25649526852448.31,10548925.498051256,102309446716.37187,452611127.29861337
O1,-15.3,0.0,5000.0,0.0030316405600868596,-1.9492035196492803e-07,525839559145.8225,4622234122585021.0,4.2271716644178256e+19,4.0072749140140825e+23,15.465069672222945,127212.93461480034,1093397282.9768786,9793618240328.744,9.106553856187549e+16,8.751674462205342e+20,322.6757291993396,2815367.804986068,25548465557.90069,240038427563272.4,2.324187094927579e+18,8592.93638553071,78666437.9511033,743549004143.9283,7223463902511011.0,278504.3623029047,2639464950.845814,25649526852448.31,10548925.498051256,102309446716.37187,452611127.29861337
O1,-15.3,1.0,0.0,0.0035366626453728696,-5.047707393684589e-07,52734924805.6762,229623952595639.44,1.0701703485481606e+18,5.309287230785129e+21,6.940096675020434,26561.295474626684,109876499.67362031,488670292902.8237,2322033411021801.0,1.1711413837078063e+19,115.729522594846,474309.2247311021,2089782492.408353,9826943107678.953,4.897507699294445e+16,2725.563484942377,11807358.932678966,54537026739.24305,266679100707965.72,81606.72887030813,368148454.75286514,1757179407501.9424,2922316.1832024264,13557285437.421837,120208504.76347873
O1,-15.3,1.0,0.1,0.0035313917138990944,-5.027933776776118e-07,53115178278.14519,231797377851610.9,1.0826388496890392e+18,5.382401667171044e+21,6.957316137286504,26690.998984184007,110668295.11254296,493290721809.187,2349048245650828.5,1.1872414121822482e+19,116.11549128655264,477018.3740310011,2106523427.186814,9927544229113.348,4.9582146024007096e+16,2736.0086585942863,11880398.675081516,54998641292.46185,269525108168658.1,81946.35369100457,370539739.6345692,1772565399211.7488,2935170.3846142264,13648322096.2133,120758862.91733237
O1,-15.3,1.0,5.0,0.0030641118909867367,-3.114485001698499e-07,141338512347.90338,834761222187813.1,5.220401203491303e+18,3.4399918621913317e+22,9.76352905023694,51882.22706648411,294277661.19665515,1773657167151.5437,1.1297274536288348e+16,7.559990031120425e+19,181.38216889152585,1028055.5539122431,6187721058.613315,39297381208094.98,2.617033752708953e+17,4540.891833346289,27115292.741976026,170590085931.5066,1123662094499208.0,141500.65888716574,877503660.7447798,5691238361503.857,5213604.828426962,33172215286.64783,219123478.70598263
O1,-15.3,1.0,10.0,0.0029571120524220893,-2.3896819560479306e-07,273753761354.39615,1977949305818937.2,1.5007330778544243e+19,1.190484997106515e+23,12.294547098605726,81402.87408966545,569623728.9660907,4197058145437.981,3.240663174953417e+16,2.6084436666338935e+20,243.09612551023636,1711963.5036587722,12679510936.871885,98213153379696.16,7.912076052899945e+17,6294.305581314908,46600899.25223626,360099714019.65857,2888265403119764.5,200414.73021418735,1538385051.7507088,12237339735787.46,7497428.51927556,58965236654.69823,318719761.89014083
O1,-15.3,1.0,25.0,0.0029761999556367925,-2.0351355328038773e-07,441444073832.3282,3683001370444073.0,3.205231681421645e+19,2.8984102432012524e+23,14.539779875439345,112845.56955140374,918088202.3105383,7806727876232.216,6.909480599966918e+16,6.335626937102745e+20,299.2518596267338,2465308.1539364858,21190332912.513046,189114412587591.1,1.7438246347948948e+18,7913.065631857971,68435148.49758998,612949388374.3627,5658384556703791.0,255333.1335550843,2286891435.5985785,21065651032021.133,9641353.007719615,88396281561.76416,412718329.4296503
O1,-15.3,1.0,50.0,0.0030085167126928133,-1.9774180460161304e-07,493944114679.0664,4261674045402569.5,3.829052542209883e+19,3.5692742373747666e+23,15.127245799338665,121873.07412033768,1027147358.0013789,9030976117127.816,8.250812648081187e+16,7.797603297363911e+20,314.10725441276696,2684903.813579649,23896685136.65006,220434598066852.1,2.0974914451483497e+18,8343.968133540759,74848114.26767041,693980028156.0321,6620122415946347.0,270012.90879951755,2507772874.0837193,23908226447531.93,10216156.433927007,97109606508.50073,437978208.7290095
O1,-15.3,1.0,75.0,0.003017491615434346,-1.9651064576252658e-07,507072024883.573,4409280985403264.0,3.991200745683563e+19,3.746792712313504e+23,15.267915742712919,124083.39406236047,1054415924.165248,9343202814466.084,8.599369240656013e+16,8.18431999781515e+20,317.67293661532716,2738857.1957717985,24575888100.93695,228452361444913.88,2.1897356634200148e+18,8447.536952402981,76426464.93831101,714352738256.1831,6866763984497553.0,273544.4506972125,2562194091.2965,24623688194585.12,10354529.248174516,99258001527.1314,444062104.874141
O1,-15.3,1.0,100.0,0.0030214785212477144,-1.9603469955286988e-07,512490862663.4214,4470536291379471.0,4.0588335260719235e+19,3.8211953695733194e+23,15.325306217850047,124990.5962250822,1065671363.7030457,9472767597403.152,8.744743373825014e+16,8.346387251147926e+20,319.1285922770645,2761022.168078458,24856514860.1632,231782823604244.5,2.2282465260359624e+18,8489.833161766766,77075174.49707519,722774180294.4242,6969264357881906.0,274987.0339727085,2584567790.0952744,24919523520034.934,10411062.346930984,100141424167.8321,446548050.2647131
O1,-15.3,1.0,250.0,0.0030272205336486922,-1.9539354809321726e-07,520065137486.035,4556473242599598.0,4.154050600911133e+19,3.926293208555329e+23,15.404881962364977,126253.72602731347,1081403621.0212727,9654532393536.652,8.949398805758931e+16,8.575300695154925e+20,321.147848563661,2791902.64480592,25249025912.756115,236458294732648.0,2.2824984213640087e+18,8548.520224933025,77979245.26570743,734557071018.777,7113206824861044.0,276988.98619604483,2615754795.41388,25333524791253.4,10489525.832773495,101373003313.00346,449998661.81334174
O1,-15.3,1.0,500.0,0.003028639789619318,-1.9523990652060934e-07,521922532453.2342,4577603082818266.0,4.177521196246361e+19,3.952261392657896e+23,15.424281811900434,126562.59739163892,1085261454.752298,9699222638567.645,8.999843442305186e+16,8.631859070229562e+20,321.6402876544141,2799457.2404208807,25345323413.46913,237608409876247.1,2.2958772391263444e+18,8562.834970317415,78200466.84943646,737448529040.6096,7148623407126109.0,277477.35517706623,2623387162.6026983,25435132896016.09,10508668.402839737,101674435562.8057,450840556.63313895
O1,-15.3,1.0,1000.0,0.003029359788529512,-1.9518101683997953e-07,522720911754.7336,4586690416868515.0,4.187621209989022e+19,3.963442895615559e+23,15.432632064020774,126695.35006708564,1086919872.1710806,9718443595170.213,9.021551607940882e+16,8.656212423705461e+20,321.8521358405842,2802704.272431956,25386724263.167843,238103126149552.25,2.3016353609240456e+18,8568.992123916898,78295552.2039995,738691710392.6034,7163858589440105.0,277687.39768251806,2626667764.5426393,25478820729004.035,10516900.990576254,101804001171.5262,451202614.2185652
O1,-15.3,1.0,5000.0,0.0030296784360662127,-1.9512633132859336e-07,523294504875.5736,4593225244742964.0,4.1948892091656544e+19,3.971493590553997e+23,15.438589771045107,126790.54944657926,1088111207.7946048,9732264741292.908,9.037172221654323e+16,8.673746313476507e+20,322.00350523911175,2805033.6546858423,25416470791.550484,238458910626985.38,2.3057792321504904e+18,8573.393938566569,78363776.108457,739585015535.2501,7174815962198474.0,277837.6037540115,2629021814.2781267,25510214835466.324,10522789.426740453,101896978732.5332,451461615.1276336
O1,-15.3,2.0,0.0,0.004558090130773483,-1.019597110212493e-06,14738230716.275581,43083230338378.15,1.364343204473234e+17,4.6524921903729705e+20,4.473882493180233,11199.276462272688,30725204.29741297,91812784334.37724,296729813050026.5,1.0296922937119698e+18,63.273126314249936,170329.7670911891,499722692.0781464,1584888353284.7424,5391549028199051.0,1348.3332322636059,3852447.137763119,11893265235.982042,39356905726144.58,37730.82735424587,112679269.30007644,360659084025.1054,1286209.3620441956,3963217451.5558314,50951840.76553925
O1,-15.3,2.0,0.1,0.0045490176122310825,-1.0143109034629129e-06,14875969330.07949,43612852553759.32,1.38503235349577e+17,4.736062362480465e+20,4.4882238829684455,11270.036119731716,31012266.806264944,92940740260.05457,301225475179592.8,1.0481682824843114e+18,63.55808028060106,171623.30090643995,505018607.9013482,1606315673261.4524,5479785029955475.0,1355.5129560925982,3884767.6443567257,12028482627.591543,39918516662818.95,37953.13303098628,113685634.2190756,364946644810.9367,1294325.4124432593,4000176410.871097,51289791.21357349
O1,-15.3,2.0,5.0,0.003481119472987815,-4.835600469430775e-07,57107516633.26701,254900480239654.6,1.2167808373332936e+18,6.178252899406552e+21,7.133587649055908,28035.657574212182,118981337.77117328,542402099101.4792,2639655979902795.5,1.3624641119926376e+19,120.07788624119215,505205.07605811313,2282945181.113013,11000900127146.674,5.613722124529482e+16,2843.4250852206837,12641821.5347952,59873170508.15564,299951956387231.2,85443.13614671156,395500245.55045015,1935247148282.4312,3067632.9718925,14599436191.015543,126434128.11906442
O1,-15.3,2.0,10.0,0.0030542435889129795,-2.9703489900277376e-07,160409048300.60638,984876588521950.0,6.393184381444406e+18,4.366621903469656e+22,10.202846115598481,56548.946496997625,333947173.39119685,2092113587488.5376,1.3829833229580432e+16,9.591179206696133e+19,191.94004033892452,1134088.9154281898,7103335952.140447,46870088615463.1,3.238119810326991e+17,4838.375265268986,30105954.05965158,197031065972.91974,1347964039242145.2,151440.2502267391,978289434.2267157,6598473615943.354,5597350.14348591,37088139918.77322,235806211.99512285
O1,-15.3,2.0,25.0,0.0029493785941688273,-2.1372783099918623e-07,374227501213.7241,2971336468937049.0,2.466795394191261e+19,2.132613715353052e+23,13.718970017756927,100785.65813783024,778434577.5757804,6300605867801.77,5.320852953534278e+16,4.6655540082977086e+20,278.60021525575854,2174050.167394764,17751341711.432964,150881212674621.84,1.3281595400486408e+18,7315.7480853708985,59959859.30390141,510368642325.4291,4488754402810760.0,235022.88363291768,1995626886.2797363,17475276503994.89,8847184.011556346,76924186093.93114,377855373.3466873
O1,-15.3,2.0,50.0,0.002989296590888447,-2.0076708341133285e-07,464584139711.5624,3935715334450065.5,3.475263506386716e+19,3.186352085252637e+23,14.803872124276216,116863.15222425653,966159214.7184682,8341414917035.884,7.490172136196029e+16,6.963229993747188e+20,305.9227383732183,2562880.8199661924,22381175425.708485,202769303230068.97,1.8966650934730888e+18,8106.444068101237,71282348.66839956,648574277002.5054,6077324927511984.0,261918.3221225069,2384909036.63969,22314743157582.3,9899125.979354804,92261557303.92293,424043616.9766648
O1,-15.3,2.0,75.0,0.0030052333489936716,-1.9820038628946592e-07,489189342046.9119,4208492600568933.0,3.770923069016814e+19,3.505936622393226e+23,15.075719382846513,121068.09259822824,1017270859.4320422,8918478978830.57,8.125847887755563e+16,7.659611716067488e+20,312.8019608999356,2665272.1701709884,23650921644.07896,217548597420909.56,2.0644523058671488e+18,8306.067725603569,74274069.04260224,686611830172.2673,6531385517488212.0,268720.8616492187,2487985424.140469,23649539450546.25,10165539.999691164,96328604667.43594,435753021.5449893
O1,-15.3,2.0,100.0,0.0030121157932956537,-1.971908167561778e-07,499591431605.0931,4325032466435190.5,3.898508194729803e+19,3.645163330702467e+23,15.188057603820601,122826.13931991252,1038877956.362233,9164999170946.176,8.400120869881573e+16,7.962931723849508e+20,315.64825119483237,2708159.1981497533,24188752714.691284,223874816435734.5,2.1369893339192576e+18,8388.720755187329,75528300.6124748,702738902637.8351,6725929441833171.0,271538.74566134915,2531222876.690332,24215790034377.73,10275937.228605343,98035272555.61992,440606465.37335074
