operator,binding_energy,repressor,channcap,pc
O1,-15.3,195.0,1.677325122892317,"[2.50696011e-01 4.03082886e-02 2.34421416e-09 4.75918498e-03
 2.15482428e-01 1.04294919e-01 4.42018021e-02 9.32500410e-02
 7.73624787e-94 5.21142424e-95 1.92453494e-57 2.47007323e-01]"
O1,-15.3,228.0,1.6843376080728432,"[2.49377918e-01 3.88511430e-02 3.21216170e-13 5.36961560e-03
 2.08990043e-01 1.10795971e-01 1.85089101e-02 1.22620655e-01
 5.23025957e-84 4.15359650e-95 3.47640116e-60 2.45485745e-01]"
O1,-15.3,260.0,1.6877474295430328,"[2.48652065e-01 3.77933692e-02 2.05500290e-16 5.65136387e-03
 2.03859392e-01 1.14000965e-01 3.75241099e-03 1.40623326e-01
 7.60960001e-70 1.75899520e-91 7.39251991e-61 2.45667108e-01]"
O1,-15.3,266.0,1.6880972450805665,"[2.48567504e-01 3.76047607e-02 5.52370688e-17 5.71590293e-03
 2.02984446e-01 1.14345918e-01 1.75822813e-03 1.43218726e-01
 7.36141273e-67 1.63121914e-90 7.85505262e-61 2.45804514e-01]"
O1,-15.3,311.0,1.688482361053802,"[2.48274638e-01 3.65101803e-02 7.84067038e-21 5.83270013e-03
 1.97838890e-01 1.11777565e-01 2.08856683e-08 1.51842409e-01
 3.70124567e-41 8.86121462e-81 2.22059943e-59 2.47923596e-01]"
O1,-15.3,363.0,1.6088363914788308,"[2.27081264e-01 1.88906571e-02 3.34945488e-83 1.29514340e-01
 8.93198770e-44 2.16929132e-01 3.74863270e-53 1.35974160e-01
 1.05617717e-02 9.99942522e-54 1.82502739e-45 2.61048676e-01]"
O1,-15.3,424.0,1.612278667211145,"[2.26836163e-01 1.90288218e-02 5.98123630e-83 1.27620126e-01
 8.48580305e-38 2.14503733e-01 4.58518644e-51 1.32599204e-01
 2.74916023e-02 1.97426029e-58 1.59029784e-50 2.51920349e-01]"
O1,-15.3,495.0,1.6133925609031916,"[2.27003544e-01 1.92119879e-02 1.15212162e-82 1.25707217e-01
 7.51047288e-32 2.11750146e-01 2.95605546e-49 1.29632080e-01
 4.15035824e-02 1.13728207e-62 2.71621166e-55 2.45191442e-01]"
O1,-15.3,578.0,1.6121869218567009,"[2.27575770e-01 1.94461461e-02 2.39499781e-82 1.23761622e-01
 6.11470324e-26 2.08901557e-01 2.81937899e-47 1.26984486e-01
 5.28948732e-02 4.66129045e-66 1.46038402e-59 2.40435545e-01]"
O1,-15.3,675.0,1.6082150297855142,"[2.28582713e-01 1.97584415e-02 5.50623139e-82 1.21843295e-01
 2.64799326e-19 2.05746780e-01 3.92192324e-45 1.24343473e-01
 6.24902173e-02 1.25136004e-68 3.29879658e-63 2.37235080e-01]"
O1,-15.3,789.0,1.6017826682921616,"[2.30013798e-01 2.01482159e-02 1.44493229e-81 1.19825738e-01
 6.26358697e-13 2.02330429e-01 7.46286551e-43 1.22005603e-01
 7.03555917e-02 1.65062864e-70 3.40257832e-66 2.35320624e-01]"
O1,-15.3,921.0,1.592869869219289,"[2.31825748e-01 2.06333968e-02 4.82373872e-81 1.17784322e-01
 1.21451725e-05 1.98643318e-01 4.55041058e-40 1.19806003e-01
 7.67566931e-02 9.82242616e-72 7.85852496e-69 2.34538374e-01]"
O1,-15.3,1075.0,1.5577459352891363,"[2.54371482e-001 2.66597349e-002 5.59063170e-067 4.23461216e-002
 1.25911615e-001 2.36656590e-267 1.79234814e-001 4.26024846e-002
 9.25088270e-002 5.62079157e-080 2.29389046e-077 2.36364921e-001]"
O1,-15.3,1220.0,1.5512921700742441,"[2.55795794e-001 2.72571831e-002 1.51089437e-066 4.00438638e-002
 1.27542742e-001 1.19680024e-258 1.73626735e-001 4.47172586e-002
 9.42613803e-002 3.19330414e-079 2.27907514e-078 2.36755043e-001]"
O1,-15.3,1256.0,1.5496084787686732,"[2.56189304e-001 2.74141141e-002 2.00696187e-066 3.93670114e-002
 1.28136475e-001 1.77602023e-256 1.71617193e-001 4.60123618e-002
 9.42720848e-002 6.64070347e-079 1.77831084e-078 2.36991456e-001]"
O1,-15.3,1467.0,1.5390662848697652,"[2.58562087e-001 2.83138509e-002 8.43085408e-066 3.57403514e-002
 1.31209057e-001 3.68681851e-244 1.61830699e-001 5.14450726e-002
 9.44665234e-002 1.23458991e-077 7.92681971e-079 2.38432358e-001]"
O1,-15.3,1713.0,1.526166599256441,"[2.61467236e-001 2.94158721e-002 4.55318267e-065 3.13850295e-002
 1.35338356e-001 6.98939653e-230 1.49119912e-001 5.95913081e-002
 9.30760871e-002 1.94924531e-075 1.32100483e-078 2.40606199e-001]"
O1,-15.3,1740.0,1.5248934967912633,"[2.61770529e-001 2.95340700e-002 5.47050561e-065 3.08751075e-002
 1.35836515e-001 2.47276575e-228 1.47529351e-001 6.07003664e-002
 9.28504600e-002 2.64519933e-075 7.06502632e-079 2.40903601e-001]"
O1,-15.3,2000.0,1.50673861836169,"[2.70135383e-001 3.29705937e-002 4.58287074e-060 4.35112799e-003
 1.77011928e-001 2.91837095e-181 4.94065646e-324 2.02164032e-001
 6.12373403e-002 4.63719414e-061 1.10853779e-071 2.52129595e-001]"
O2,-13.9,0.0,0.0,"[0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333
 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333]"
O2,-13.9,1.0,0.19837610332259484,"[5.28434530e-001 3.12103105e-004 8.17076705e-223 2.32486637e-166
 8.09048732e-053 2.63673594e-019 3.60609011e-011 7.76558848e-008
 3.24962875e-003 4.29976147e-002 1.29829652e-001 2.95176393e-001]"
O2,-13.9,2.0,0.4683778923849197,"[5.29448632e-001 2.58173267e-005 5.97130373e-314 2.31984826e-257
 4.26310837e-089 1.27320048e-032 1.56574128e-018 9.96489577e-013
 1.31241547e-004 1.26582236e-002 8.86246279e-002 3.69111458e-001]"
