operator,binding_energy,repressor,inducer_uM,num_mom,lambda_m0p1,lambda_m0p2,lambda_m0p3,lambda_m0p4,lambda_m0p5,lambda_m0p6
O1,-15.3,0.0,0.0,2,0.003039450101594155,-1.9550197479127556e-07,0.0,0.0,0.0,0.0
O1,-15.3,0.0,0.1,2,0.003039450101594155,-1.9550197479127556e-07,0.0,0.0,0.0,0.0
O1,-15.3,0.0,5.0,2,0.003039450101594155,-1.9550197479127556e-07,0.0,0.0,0.0,0.0
O1,-15.3,0.0,10.0,2,0.003039450101594155,-1.9550197479127556e-07,0.0,0.0,0.0,0.0
O1,-15.3,0.0,25.0,2,0.003039450101594155,-1.9550197479127556e-07,0.0,0.0,0.0,0.0
O1,-15.3,0.0,50.0,2,0.003039450101594155,-1.9550197479127556e-07,0.0,0.0,0.0,0.0
O1,-15.3,0.0,75.0,2,0.003039450101594155,-1.9550197479127556e-07,0.0,0.0,0.0,0.0
O1,-15.3,0.0,100.0,2,0.003039450101594155,-1.9550197479127556e-07,0.0,0.0,0.0,0.0
O1,-15.3,0.0,250.0,2,0.003039450101594155,-1.9550197479127556e-07,0.0,0.0,0.0,0.0
O1,-15.3,0.0,500.0,2,0.003039450101594155,-1.9550197479127556e-07,0.0,0.0,0.0,0.0
O1,-15.3,0.0,1000.0,2,0.003039450101594155,-1.9550197479127556e-07,0.0,0.0,0.0,0.0
O1,-15.3,0.0,5000.0,2,0.003039450101594155,-1.9550197479127556e-07,0.0,0.0,0.0,0.0
O1,-15.3,22.0,0.0,2,-0.003575657246879088,-4.721561387582902e-08,0.0,0.0,0.0,0.0
O1,-15.3,22.0,0.1,2,-0.00356001209133406,-4.701433587826475e-08,0.0,0.0,0.0,0.0
O1,-15.3,22.0,5.0,2,0.010297860811004797,-9.310120839339178e-06,0.0,0.0,0.0,0.0
O1,-15.3,22.0,10.0,2,0.007137599775756933,-3.1559275784094583e-06,0.0,0.0,0.0,0.0
O1,-15.3,22.0,25.0,2,0.003667895643127165,-5.694017601045761e-07,0.0,0.0,0.0,0.0
O1,-15.3,22.0,50.0,2,0.0029748167518862663,-2.8687344070064036e-07,0.0,0.0,0.0,0.0
O1,-15.3,22.0,75.0,2,0.002886574697537523,-2.396784791825699e-07,0.0,0.0,0.0,0.0
O1,-15.3,22.0,100.0,2,0.0029304720723813014,-2.2603484089967118e-07,0.0,0.0,0.0,0.0
O1,-15.3,22.0,250.0,2,0.002944616748234168,-2.0554200100205152e-07,0.0,0.0,0.0,0.0
O1,-15.3,22.0,500.0,2,0.002991934198039547,-2.0355471134433328e-07,0.0,0.0,0.0,0.0
O1,-15.3,22.0,1000.0,2,0.002999514688251391,-2.01791217611646e-07,0.0,0.0,0.0,0.0
O1,-15.3,22.0,5000.0,2,0.0030053102432697756,-2.0054286326288803e-07,0.0,0.0,0.0,0.0
O1,-15.3,22.0,0.0,2,-0.003575657246879088,-4.721561387582902e-08,0.0,0.0,0.0,0.0
O1,-15.3,22.0,0.1,2,-0.00356001209133406,-4.701433587826475e-08,0.0,0.0,0.0,0.0
O1,-15.3,22.0,5.0,2,0.010297860811004797,-9.310120839339178e-06,0.0,0.0,0.0,0.0
O1,-15.3,22.0,10.0,2,0.007137599775756933,-3.1559275784094583e-06,0.0,0.0,0.0,0.0
O1,-15.3,22.0,25.0,2,0.003667895643127165,-5.694017601045761e-07,0.0,0.0,0.0,0.0
O1,-15.3,22.0,50.0,2,0.0029748167518862663,-2.8687344070064036e-07,0.0,0.0,0.0,0.0
O1,-15.3,22.0,75.0,2,0.002886574697537523,-2.396784791825699e-07,0.0,0.0,0.0,0.0
O1,-15.3,22.0,100.0,2,0.0029304720723813014,-2.2603484089967118e-07,0.0,0.0,0.0,0.0
O1,-15.3,22.0,250.0,2,0.002944616748234168,-2.0554200100205152e-07,0.0,0.0,0.0,0.0
O1,-15.3,22.0,500.0,2,0.002991934198039547,-2.0355471134433328e-07,0.0,0.0,0.0,0.0
O1,-15.3,22.0,1000.0,2,0.002999514688251391,-2.01791217611646e-07,0.0,0.0,0.0,0.0
O1,-15.3,22.0,5000.0,2,0.0030053102432697756,-2.0054286326288803e-07,0.0,0.0,0.0,0.0
O1,-15.3,260.0,0.0,2,-0.04053756298789898,-5.224578867054605e-07,0.0,0.0,0.0,0.0
O1,-15.3,260.0,0.1,2,-0.04035937816143196,-5.201694616791545e-07,0.0,0.0,0.0,0.0
O1,-15.3,260.0,5.0,2,-0.019522335912613056,-2.523776523731327e-07,0.0,0.0,0.0,0.0
O1,-15.3,260.0,10.0,2,-0.008717558073111696,-1.1338765727263082e-07,0.0,0.0,0.0,0.0
O1,-15.3,260.0,25.0,2,0.011318077864072922,-1.304070167409121e-05,0.0,0.0,0.0,0.0
O1,-15.3,260.0,50.0,2,0.007341072754451007,-3.303192061831847e-06,0.0,0.0,0.0,0.0
O1,-15.3,260.0,75.0,2,0.004878693729646424,-1.375079513000984e-06,0.0,0.0,0.0,0.0
O1,-15.3,260.0,100.0,2,0.004303880564822612,-9.306316015215092e-07,0.0,0.0,0.0,0.0
O1,-15.3,260.0,250.0,2,0.003349648034762854,-4.366629270417226e-07,0.0,0.0,0.0,0.0
O1,-15.3,260.0,500.0,2,0.003099832183353915,-3.3823776436942053e-07,0.0,0.0,0.0,0.0
O1,-15.3,260.0,1000.0,2,0.0030073096893346407,-3.007965345104896e-07,0.0,0.0,0.0,0.0
