operator,binding_enery,repressor,channcap,pc
O1,-15.3,0,0.0,"[0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02
 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02
 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02
 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02]"
O1,-15.3,22,1.7366877213308298,"[1.73790245e-01 3.56788557e-02 2.30485645e-02 1.30685431e-02
 6.22709519e-03 2.34972082e-03 6.47335791e-04 1.16559544e-04
 1.18444228e-05 5.61805309e-07 9.92022132e-09 5.19363280e-11
 7.11290633e-14 3.17155831e-17 1.27948962e-20 5.52149366e-23
 1.67428851e-22 1.69885561e-17 6.35676079e-09 2.14884948e-02
 1.06164334e-01 1.64922767e-02 5.95430491e-02 6.15040313e-02
 6.49109191e-02 1.51736251e-02 8.49807675e-02 6.92118775e-02
 9.05260111e-08 3.65925147e-17 3.13959028e-25 5.71296867e-29
 7.72555246e-29 1.84986015e-26 4.56281585e-23 1.72320097e-19
 3.64416627e-16 2.45752091e-13 6.70916304e-11 6.76801417e-09
 2.80360622e-07 5.59405472e-06 6.18479928e-05 4.21211160e-04
 1.93686761e-03 6.55390683e-03 1.72099549e-02 3.72948110e-02
 6.92176235e-02 1.12889088e-01]"
O1,-15.3,260,1.8975280218939716,"[1.00216206e-001 4.41891742e-002 3.52012987e-002 2.61764426e-002
 1.77471431e-002 1.06162476e-002 5.35199148e-003 2.13207164e-003
 6.13263831e-004 1.12353851e-004 1.10481969e-005 4.65283574e-007
 6.34118862e-009 2.04813649e-011 1.18887011e-014 1.09622697e-018
 1.85163022e-023 7.62737431e-029 5.37385539e-035 4.77622448e-043
 1.29257979e-055 5.03291156e-076 2.08310978e-105 3.59914991e-141
 1.68106362e-001 1.00095379e-009 1.95060212e-002 9.65123248e-002
 1.37550694e-002 6.80532972e-002 4.45291201e-002 1.12141083e-002
 5.81104608e-002 6.58880777e-002 5.39206832e-006 1.01444453e-013
 5.53818813e-022 4.12815694e-028 4.30780575e-031 3.54855769e-031
 3.75884739e-029 7.34139452e-026 5.22742232e-022 4.71475126e-018
 2.62905652e-014 6.59377608e-011 6.28486754e-008 2.42526746e-005
 3.41982101e-003 2.08507916e-001]"
O1,-15.3,1740,1.6843650094467906,"[1.07812914e-001 4.67630180e-002 3.70764753e-002 2.73995611e-002
 1.84221955e-002 1.08962909e-002 5.40849163e-003 2.10827336e-003
 5.87947606e-004 1.02992275e-004 9.48028612e-006 3.61897134e-007
 4.26531614e-009 1.12077870e-011 5.02623478e-015 3.79886108e-019
 8.60167112e-024 2.77126149e-028 1.86730942e-031 6.45868956e-032
 9.78855556e-029 3.87242796e-022 1.33047700e-013 1.49441909e-005
 1.42968330e-001 1.39928091e-006 8.62761902e-025 2.47001284e-056
 5.80099660e-096 1.05968495e-136 2.00527727e-001 3.72011648e-011
 2.05464197e-006 1.59597237e-002 7.52119527e-002 7.26971969e-002
 1.57523687e-003 4.08778495e-008 1.26162416e-014 5.28242690e-021
 1.73325806e-025 2.15145498e-027 8.27697078e-027 2.24039358e-024
 6.24395957e-021 8.86804728e-017 1.65582554e-012 2.04513798e-008
 1.13564744e-004 2.34339802e-001]"
O2,-13.9,0,0.0,"[0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02
 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02
 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02
 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02]"
O2,-13.9,22,1.5350329958895252,"[2.31184420e-01 3.22472103e-02 1.87789571e-02 9.32613675e-03
 3.75151298e-03 1.13976671e-03 2.38463543e-04 3.04102520e-05
 2.02583603e-06 5.88827043e-08 6.26337993e-10 2.23583818e-12
 3.25328169e-15 4.43034728e-18 4.13431325e-20 7.99600084e-20
 9.48911994e-16 1.63105241e-08 1.46965841e-02 1.38087279e-01
 2.34855789e-02 6.44328384e-02 2.71080692e-02 1.25928143e-01
 3.46748154e-02 1.34454427e-07 2.98429160e-15 3.87134402e-20
 2.57529163e-21 6.14159755e-20 2.43006892e-17 1.49529900e-14
 6.25401527e-12 9.93542211e-10 5.71868438e-08 1.36010601e-06
 1.58046069e-05 1.04954401e-04 4.50517331e-04 1.38358793e-03
 3.31192491e-03 6.48798211e-03 1.11625232e-02 1.67630446e-02
 2.31860425e-02 2.99121914e-02 3.65385241e-02 4.29561085e-02
 4.88236226e-02 5.37893318e-02]"
O2,-13.9,260,1.99464747512024,"[1.26453476e-001 2.34636045e-002 1.46694300e-002 7.94592339e-003
 3.54701169e-003 1.21640094e-003 2.90113538e-004 4.17467863e-005
 2.95550758e-006 7.67479976e-008 4.79561077e-010 3.95695616e-013
 1.86170768e-017 1.59581359e-023 5.68512093e-032 1.42945204e-043
 3.89706736e-059 2.42819049e-079 8.76031354e-104 3.00142863e-133
 1.02956053e-001 2.67235771e-004 5.16320606e-002 6.62414119e-002
 5.03712974e-002 7.03756744e-002 4.94942809e-002 6.86471269e-002
 4.17400387e-002 1.93676468e-002 1.02119767e-001 3.77502191e-004
 9.45838243e-011 5.57167938e-018 5.77420862e-023 3.52514478e-025
 1.54368325e-024 1.16237644e-022 7.40594655e-020 6.67020631e-017
 4.32896726e-014 1.44948030e-011 2.23079946e-009 1.61068298e-007
 5.76658564e-006 1.07274442e-004 1.19865669e-003 8.42075570e-003
 4.13198827e-002 1.47726665e-001]"
O2,-13.9,1740,1.995927625584799,"[8.00107541e-002 3.87399980e-002 3.16857716e-002 2.43929992e-002
 1.73153550e-002 1.10156652e-002 6.03735514e-003 2.69840656e-003
 9.11789743e-004 2.10151234e-004 2.88619025e-005 1.99970260e-006
 5.84163371e-008 6.29417755e-010 2.62393864e-012 6.86776045e-015
 4.07160831e-017 5.69854451e-018 3.59972338e-016 4.30480403e-011
 1.61435736e-004 4.55433531e-002 6.90871348e-012 7.32890769e-040
 2.84921039e-084 7.60891790e-137 1.75880411e-001 2.06984673e-014
 3.10416082e-002 9.52326349e-002 1.04350053e-002 7.96673222e-002
 2.78252046e-002 1.24555152e-002 8.00230802e-002 3.29406912e-002
 9.80512512e-007 3.48664404e-014 1.71856279e-021 1.76015269e-026
 1.64791296e-028 6.27602065e-028 1.64866451e-025 5.14023002e-022
 4.61491136e-018 4.47670681e-014 2.51437154e-010 6.16046802e-007
 5.69601009e-004 1.95173374e-001]"
O3,-9.7,0,0.0,"[0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02
 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02
 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02
 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02]"
O3,-9.7,22,0.03770337278285504,"[9.13888735e-02 7.25732026e-02 6.80987066e-02 6.26480297e-02
 5.62002525e-02 4.87020995e-02 4.02413244e-02 3.12053457e-02
 2.21431635e-02 1.39476298e-02 7.47006119e-03 3.23588859e-03
 1.07027032e-03 2.58096280e-04 4.50509134e-05 6.16039232e-06
 8.16967338e-07 1.50330323e-07 5.79766905e-08 6.11424527e-08
 1.76503244e-07 1.01798991e-06 7.63585309e-06 5.20595323e-05
 2.63922033e-04 9.41792664e-04 2.42548558e-03 4.79771128e-03
 7.77666738e-03 1.09028925e-02 1.38130628e-02 1.63163357e-02
 1.83349958e-02 1.99036561e-02 2.11314849e-02 2.20638073e-02
 2.27928571e-02 2.33270939e-02 2.37355398e-02 2.40518856e-02
 2.43016616e-02 2.45017935e-02 2.46372571e-02 2.47485189e-02
 2.48559696e-02 2.49263011e-02 2.49824432e-02 2.50179522e-02
 2.50612238e-02 2.50915568e-02]"
