operator,binding_enery,repressor,channcap
O1,-15.3,0.0,0.0
O1,-15.3,1.0,0.2134367074769654
O1,-15.3,2.0,0.35230075100144054
O1,-15.3,3.0,0.4385699160122741
O1,-15.3,4.0,0.4981430867351263
O1,-15.3,5.0,0.5416594424900045
O1,-15.3,6.0,0.5751137859741903
O1,-15.3,8.0,0.6033163374116965
O1,-15.3,9.0,0.6213618786872603
O1,-15.3,10.0,0.6367288561517258
O1,-15.3,12.0,0.6617196245885789
O1,-15.3,14.0,0.6808673333676467
O1,-15.3,16.0,0.6960273325280074
O1,-15.3,19.0,0.7137033471092766
O1,-15.3,22.0,0.7272986266064113
O1,-15.3,26.0,0.7409678218952553
O1,-15.3,30.0,0.7509891728228518
O1,-15.3,35.0,0.7613121001617728
O1,-15.3,41.0,0.7691065386751077
O1,-15.3,48.0,0.7759240710986293
O1,-15.3,56.0,0.7811502535484315
O1,-15.3,60.0,0.7829791083390178
O1,-15.3,66.0,0.7852601249906087
O1,-15.3,77.0,0.7881778198421245
O1,-15.3,90.0,0.789319299465386
O1,-15.3,105.0,0.7893164195638099
O1,-15.3,123.0,0.7876841041510714
O1,-15.3,124.0,0.78759693516713
O1,-15.3,143.0,0.7849476713380185
O1,-15.3,167.0,0.780800311778693
O1,-15.3,195.0,0.7751675958539169
O1,-15.3,228.0,0.7680727903968825
O1,-15.3,260.0,0.7614152785999537
O1,-15.3,266.0,0.7600131678376816
O1,-15.3,311.0,0.750582887435419
O1,-15.3,363.0,0.7392652308028881
O1,-15.3,424.0,0.727786912775066
O1,-15.3,495.0,0.717206996713602
O1,-15.3,578.0,0.6651231035083442
O1,-15.3,675.0,0.6423356979974298
O1,-15.3,789.0,0.6182496991268598
O1,-15.3,921.0,0.5934353686196802
O1,-15.3,1075.0,0.5679602107084567
O1,-15.3,1220.0,0.5465554772469727
O1,-15.3,1256.0,0.5416057412225451
O1,-15.3,1467.0,0.5149068028622689
O1,-15.3,1713.0,0.4876716419342098
O1,-15.3,1740.0,0.48491065590303034
O1,-15.3,2000.0,0.4602006295244812
O2,-13.9,0.0,3.2034265038149176e-16
O2,-13.9,1.0,0.0341491555694231
O2,-13.9,2.0,0.08841067121299276
O2,-13.9,3.0,0.14306251227281674
O2,-13.9,4.0,0.19441953735262604
O2,-13.9,5.0,0.23847933809753893
O2,-13.9,6.0,0.2780209604241974
O2,-13.9,8.0,0.3457293706514123
O2,-13.9,9.0,0.36947475377457706
O2,-13.9,10.0,0.3933679487491891
O2,-13.9,12.0,0.43472679645047885
O2,-13.9,14.0,0.4679321460306834
O2,-13.9,16.0,0.49613797163091705
O2,-13.9,19.0,0.5312837247163366
O2,-13.9,22.0,0.5590637126841678
O2,-13.9,26.0,0.5898082254573034
O2,-13.9,30.0,0.6144279919994788
O2,-13.9,35.0,0.6381856908724401
O2,-13.9,41.0,0.6614496060176847
O2,-13.9,48.0,0.6824772032746295
O2,-13.9,56.0,0.6814735044377056
O2,-13.9,60.0,0.6895933472203037
O2,-13.9,66.0,0.7004416163412276
O2,-13.9,77.0,0.7161476123085001
O2,-13.9,90.0,0.7311820060000335
O2,-13.9,105.0,0.7440791807562165
O2,-13.9,123.0,0.7568178892628914
O2,-13.9,124.0,0.7567822837229522
O2,-13.9,143.0,0.7665739907132975
O2,-13.9,167.0,0.7754760056225167
O2,-13.9,195.0,0.7837437180574427
O2,-13.9,228.0,0.7904411944066261
O2,-13.9,260.0,0.7950561823325515
O2,-13.9,266.0,0.7958119022166781
O2,-13.9,311.0,0.8003822665642235
O2,-13.9,363.0,0.8029358339509368
O2,-13.9,424.0,0.804599742879631
O2,-13.9,495.0,0.8048654056353749
O2,-13.9,578.0,0.8040070633330804
O2,-13.9,675.0,0.8017977236374993
O2,-13.9,789.0,0.7979032962365948
O2,-13.9,921.0,0.7929258596036306
O2,-13.9,1075.0,0.7862421504620504
O2,-13.9,1220.0,0.7798055529868597
O2,-13.9,1256.0,0.7782843440751257
O2,-13.9,1467.0,0.7685600668015163
O2,-13.9,1713.0,0.757426978182186
O2,-13.9,1740.0,0.7558597588758608
O2,-13.9,2000.0,0.744199108040266
O3,-9.7,0.0,0.0
O3,-9.7,1.0,5.487159119045461e-06
O3,-9.7,2.0,2.526202844875579e-05
O3,-9.7,3.0,6.293063638919021e-05
O3,-9.7,4.0,0.00015140701501557878
O3,-9.7,5.0,0.0002476533227948123
O3,-9.7,6.0,0.0003623880614846526
O3,-9.7,8.0,0.0013392570029132202
O3,-9.7,9.0,0.001480169570303297
O3,-9.7,10.0,0.0016393210296943646
O3,-9.7,12.0,0.0020095855255267262
O3,-9.7,14.0,0.002446280983518408
O3,-9.7,16.0,0.00295883194677527
O3,-9.7,19.0,0.0039193123041014275
O3,-9.7,22.0,0.004978912021028042
O3,-9.7,26.0,0.0065843959911515626
O3,-9.7,30.0,0.008388589350080682
O3,-9.7,35.0,0.010935284644671101
O3,-9.7,41.0,0.014350679041977501
O3,-9.7,48.0,0.01877208413879211
O3,-9.7,56.0,0.024319969753861425
O3,-9.7,60.0,0.027257510099168613
O3,-9.7,66.0,0.031847700889315586
O3,-9.7,77.0,0.0407433737976381
O3,-9.7,90.0,0.051172641067771016
O3,-9.7,105.0,0.06435784118146858
O3,-9.7,123.0,0.08059561087040695
O3,-9.7,124.0,0.08150503571207374
O3,-9.7,143.0,0.09882091209222524
O3,-9.7,167.0,0.12053633210945364
O3,-9.7,195.0,0.14501135465197204
O3,-9.7,228.0,0.17273168542682052
O3,-9.7,260.0,0.19777818774015665
O3,-9.7,266.0,0.20233281767912306
O3,-9.7,311.0,0.23492155643311446
O3,-9.7,363.0,0.26833164778034446
O3,-9.7,424.0,0.30335086566461905
O3,-9.7,495.0,0.3389453289594043
O3,-9.7,578.0,0.37486069040710346
O3,-9.7,675.0,0.4100666944592402
O3,-9.7,789.0,0.4493696146335697
O3,-9.7,921.0,0.4853308247184704
O3,-9.7,1075.0,0.5232006354593173
O3,-9.7,1220.0,0.5379223444480473
O3,-9.7,1256.0,0.5430019517097908
O3,-9.7,1467.0,0.572105585491132
O3,-9.7,1713.0,0.5986838666410969
O3,-9.7,1740.0,0.6007776465079074
O3,-9.7,2000.0,0.6239991380713433
